path,sha256,role
/home/billy/ccb-geant4/output_30k.root,f831db709cd7446e4a75c8883a8dd82be4a1b23e05bef3002f2991082214a84f,GEANT4 truth ROOT
reports/S00_data_integrity_pipeline_reproduction/count_match_table.csv,b6227057386a9dc110b8b7c9ee2047ff4725be3c9c62da3fb65129c12a183dcf,S00 experimental raw-ROOT reproduction table
configs/s17a_1781083265_459_750722a1_g4_energy_pid_truth_bridge.json,da37f8ecafd465f96dee26b6f04e56579394e4fcd439d07e5993b245c3fffee2,analysis config
