event,track_id,pdg,particle,y_deuteron,pseudo_run,total_edep_MeV,early_edep_MeV,downstream_edep_MeV,early_fraction,deepest_layer,n_layers_hit,layer_centroid,max_layer_edep_MeV,B2_edep_MeV,B4_edep_MeV,B6_edep_MeV,B8_edep_MeV,edep_l0,edep_l1,edep_l2,edep_l3,edep_l4,edep_l5,edep_l6,edep_l7
9,2,1000010020,deuteron,1,0,74.480043,74.480043,0,1,1,2,0.41795912,43.35043,74.480043,0,0,0,43.35043,31.129613,0,0,0,0,0,0
9,1,2212,proton,0,0,51.137362,51.137362,0,1,1,2,0.25130023,38.286531,51.137362,0,0,0,38.286531,12.850831,0,0,0,0,0,0
22,1,2212,proton,0,0,0.72121367,0.72121367,0,1,0,1,0,0.72121367,0.72121367,0,0,0,0.72121367,0,0,0,0,0,0,0
23,1,2212,proton,0,0,92.224692,26.739751,65.484941,0.28994134,5,6,2.5535874,23.447496,26.739751,33.348,32.136941,0,12.459211,14.28054,16.057934,17.290066,23.447496,8.6894451,0,0
27,2,1000010020,deuteron,1,0,72.641797,72.641797,0,1,1,2,0.37848102,45.148255,72.641797,0,0,0,45.148255,27.493542,0,0,0,0,0,0
31,1,2212,proton,0,0,36.921163,24.994953,11.926211,0.67698172,2,3,0.99258511,12.794976,24.994953,11.926211,0,0,12.199977,12.794976,11.926211,0,0,0,0,0
39,1,2212,proton,0,0,118.29986,22.102635,96.197227,0.18683568,7,8,4.0885291,23.414274,22.102635,23.89479,30.69371,41.608728,11.108715,10.99392,11.206668,12.688121,14.334382,16.359328,18.194454,23.414274
45,2,1000010020,deuteron,1,0,72.856288,72.856288,0,1,1,2,0.37823732,45.299321,72.856288,0,0,0,45.299321,27.556967,0,0,0,0,0,0
53,1,2212,proton,0,0,147.25389,24.866369,122.38752,0.16886731,7,8,4.1611295,30.587413,24.866369,29.945586,37.809054,54.632883,11.695097,13.171272,14.230024,15.715562,16.923528,20.885526,30.587413,24.045471
65,2,1000010020,deuteron,1,0,61.025182,61.025182,0,1,0,1,0,61.025182,61.025182,0,0,0,61.025182,0,0,0,0,0,0,0
