ablation_axis,counterfactual_level,method,n,energy_fractional_bias,energy_fractional_sigma68,delta_sigma68_vs_global,time_sigma68_ns,pileup_miss_rate,false_split_rate
pedestal_windows,q1,gradient_boosted_trees,250,-0.0009419048425520012,0.05284840778422748,-0.013227865529009002,6.958600057475477,0.24615384615384617,0.25833333333333336
pedestal_windows,q2,gradient_boosted_trees,240,-0.0005420381589500143,0.06736950825864918,0.0012932349454126968,6.517351681471482,0.3805309734513274,0.12598425196850394
pedestal_windows,q3,gradient_boosted_trees,256,-0.009968793360339656,0.07223548571725989,0.006159212404023409,7.920662432956791,0.24427480916030533,0.2
pedestal_windows,q4,gradient_boosted_trees,134,0.048184664149270855,0.10559306238277388,0.0395167890695374,9.030788790365733,0.2878787878787879,0.23529411764705882
pileup_masks,pileup_truth_off,gradient_boosted_trees,440,,,,,,0.2
pileup_masks,pileup_truth_on,gradient_boosted_trees,440,0.0007235304109564056,0.06607627331323648,0.0,7.468707717633813,0.2863636363636364,
shape_derivatives,q1,gradient_boosted_trees,264,-0.01667864046731713,0.06797873518026631,0.001902461867029831,7.239753223361243,0.30927835051546393,0.15568862275449102
shape_derivatives,q2,gradient_boosted_trees,226,-0.013559905450799107,0.0704949572597447,0.004418683946508212,6.767590055659284,0.2892561983471074,0.23809523809523808
shape_derivatives,q3,gradient_boosted_trees,237,0.01143138676466054,0.05419071453257625,-0.011885558780660235,7.9023219612029045,0.2463768115942029,0.30303030303030304
shape_derivatives,q4,gradient_boosted_trees,153,0.03097289338283484,0.08043592173571154,0.014359648422475058,8.061288300517756,0.32142857142857145,0.10144927536231885
saturated_bins,0,gradient_boosted_trees,874,0.0005739336912189921,0.06584680297296133,-0.00022947034027515079,7.458571323915185,0.2880184331797235,0.2
saturated_bins,1-2,gradient_boosted_trees,5,0.033331430081158124,0.04498378258684778,-0.021092490726388705,6.087686959731211,0.2,
saturated_bins,3-5,gradient_boosted_trees,1,-0.118296776788859,0.0,-0.06607627331323648,2.3989448853997573,0.0,
saturated_bins,6+,gradient_boosted_trees,0,,,,,,
