stave,n_train_pulses,template_cfd20_sample,template_peak_sample,template_area
B2,864,2.676786543979541,5,9.108200289616052
B4,840,2.990927907206637,6,10.797700244734584
B6,807,3.764346624638159,8,9.834019360424445
B8,485,4.243224975808163,8,9.250838692438856
