min_score,max_log_chi2_ndf,min_pred_sep_sample,max_pred_amp_ratio,n_positive,n_accepted,coverage,abstention_rate,accepted_time_rms_ns,charge_fractional_bias,charge_fractional_res68,bad_recovery_rate,risk_coverage_auc
-1.0,11.513140920418644,0.0,1.2,1300,533,0.41,0.59,12.137490771247457,-0.022729085456536628,0.07364168307523616,0.1801125703564728,0.20411297244849141
-1.0,11.513140920418644,0.0,1.5,1300,590,0.45384615384615384,0.5461538461538461,12.317282392057715,-0.022964280887850172,0.0740341520402644,0.18305084745762712,0.20411297244849141
-1.0,11.513140920418644,0.0,1.8,1300,649,0.49923076923076926,0.5007692307692307,12.606330819397447,-0.022884246388028707,0.07393625928866934,0.19722650231124808,0.20411297244849141
-1.0,11.513140920418644,0.0,2.5,1300,649,0.49923076923076926,0.5007692307692307,12.606330819397447,-0.022884246388028707,0.07393625928866934,0.19722650231124808,0.20411297244849141
-1.0,11.513140920418644,0.5,1.2,1300,532,0.40923076923076923,0.5907692307692308,12.147707210105672,-0.022806665922282667,0.07369101293879637,0.18045112781954886,0.20411297244849141
-1.0,11.513140920418644,0.5,1.5,1300,589,0.4530769230769231,0.546923076923077,12.326678712635635,-0.023044315387671637,0.07418867629772823,0.1833616298811545,0.20411297244849141
-1.0,11.513140920418644,0.5,1.8,1300,648,0.49846153846153846,0.5015384615384615,12.615116850244373,-0.022956803848228166,0.07434838522301095,0.19753086419753085,0.20411297244849141
-1.0,11.513140920418644,0.5,2.5,1300,648,0.49846153846153846,0.5015384615384615,12.615116850244373,-0.022956803848228166,0.07434838522301095,0.19753086419753085,0.20411297244849141
-1.0,11.513140920418644,0.75,1.2,1300,468,0.36,0.64,12.227158238162366,-0.02371868184361036,0.07530881451421798,0.18803418803418803,0.20411297244849141
-1.0,11.513140920418644,0.75,1.5,1300,518,0.3984615384615385,0.6015384615384616,12.239454928914293,-0.024257551051574303,0.07580967587107637,0.1891891891891892,0.20411297244849141
-1.0,11.513140920418644,0.75,1.8,1300,573,0.44076923076923075,0.5592307692307692,12.612330857437044,-0.02376113088641945,0.07575580520175759,0.20593368237347295,0.20411297244849141
-1.0,11.513140920418644,0.75,2.5,1300,573,0.44076923076923075,0.5592307692307692,12.612330857437044,-0.02376113088641945,0.07575580520175759,0.20593368237347295,0.20411297244849141
-1.0,11.513140920418644,1.0,1.2,1300,438,0.33692307692307694,0.6630769230769231,12.325650741530144,-0.025237300420810564,0.07520214612193396,0.19406392694063926,0.20411297244849141
-1.0,11.513140920418644,1.0,1.5,1300,484,0.3723076923076923,0.6276923076923077,12.233241478827061,-0.02601347646804291,0.07581966899084966,0.19421487603305784,0.20411297244849141
-1.0,11.513140920418644,1.0,1.8,1300,537,0.41307692307692306,0.5869230769230769,12.52403314577929,-0.025707293011734137,0.074867907824228,0.21042830540037244,0.20411297244849141
-1.0,11.513140920418644,1.0,2.5,1300,537,0.41307692307692306,0.5869230769230769,12.52403314577929,-0.025707293011734137,0.074867907824228,0.21042830540037244,0.20411297244849141
-1.0,11.513140920418644,1.5,1.2,1300,386,0.2969230769230769,0.703076923076923,12.870870704995085,-0.025066913056962382,0.0787771692328941,0.21243523316062177,0.20411297244849141
-1.0,11.513140920418644,1.5,1.5,1300,420,0.3230769230769231,0.676923076923077,12.72087142719637,-0.02558706118686175,0.0793634463651968,0.20952380952380953,0.20411297244849141
-1.0,11.513140920418644,1.5,1.8,1300,455,0.35,0.65,12.885165672119527,-0.025264902277486387,0.07662187783624166,0.22637362637362637,0.20411297244849141
-1.0,11.513140920418644,1.5,2.5,1300,455,0.35,0.65,12.885165672119527,-0.025264902277486387,0.07662187783624166,0.22637362637362637,0.20411297244849141
-1.0,12.112453581011088,0.0,1.2,1300,675,0.5192307692307693,0.4807692307692308,13.205180608414386,-0.014705525568593527,0.08271178603791923,0.21185185185185185,0.20411297244849141
-1.0,12.112453581011088,0.0,1.5,1300,755,0.5807692307692308,0.41923076923076924,13.099202141974128,-0.014768403848011613,0.08273472384269574,0.20662251655629138,0.20411297244849141
-1.0,12.112453581011088,0.0,1.8,1300,844,0.6492307692307693,0.3507692307692308,13.226427427964015,-0.014659745794646933,0.08210797401442871,0.22037914691943128,0.20411297244849141
-1.0,12.112453581011088,0.0,2.5,1300,844,0.6492307692307693,0.3507692307692308,13.226427427964015,-0.014659745794646933,0.08210797401442871,0.22037914691943128,0.20411297244849141
-1.0,12.112453581011088,0.5,1.2,1300,674,0.5184615384615384,0.4815384615384615,13.214112783174208,-0.014593859743836575,0.08275553558355311,0.21216617210682492,0.20411297244849141
-1.0,12.112453581011088,0.5,1.5,1300,754,0.58,0.42,13.107110415286751,-0.014736964708302571,0.08279037851300751,0.20689655172413793,0.20411297244849141
-1.0,12.112453581011088,0.5,1.8,1300,843,0.6484615384615384,0.3515384615384615,13.233583116782581,-0.01461396602070034,0.08217242425194995,0.2206405693950178,0.20411297244849141
-1.0,12.112453581011088,0.5,2.5,1300,843,0.6484615384615384,0.3515384615384615,13.233583116782581,-0.01461396602070034,0.08217242425194995,0.2206405693950178,0.20411297244849141
-1.0,12.112453581011088,0.75,1.2,1300,603,0.46384615384615385,0.5361538461538462,13.378910373869653,-0.013644495681110647,0.0852748946078514,0.2222222222222222,0.20411297244849141
-1.0,12.112453581011088,0.75,1.5,1300,673,0.5176923076923077,0.4823076923076923,13.151697356584542,-0.013763681896774257,0.08439911438187986,0.21545319465081725,0.20411297244849141
-1.0,12.112453581011088,0.75,1.8,1300,753,0.5792307692307692,0.4207692307692308,13.354486478800524,-0.013884697863062786,0.08385992440680395,0.23240371845949534,0.20411297244849141
-1.0,12.112453581011088,0.75,2.5,1300,753,0.5792307692307692,0.4207692307692308,13.354486478800524,-0.013884697863062786,0.08385992440680395,0.23240371845949534,0.20411297244849141
-1.0,12.112453581011088,1.0,1.2,1300,563,0.4330769230769231,0.566923076923077,13.61064636250288,-0.015224155346501091,0.08725751462672748,0.23268206039076378,0.20411297244849141
-1.0,12.112453581011088,1.0,1.5,1300,628,0.48307692307692307,0.5169230769230769,13.295715044649386,-0.015562608733208898,0.08827180608675989,0.22452229299363058,0.20411297244849141
-1.0,12.112453581011088,1.0,1.8,1300,706,0.5430769230769231,0.45692307692307693,13.420036528557807,-0.016008354547399708,0.0868464911100082,0.24079320113314448,0.20411297244849141
-1.0,12.112453581011088,1.0,2.5,1300,706,0.5430769230769231,0.45692307692307693,13.420036528557807,-0.016008354547399708,0.0868464911100082,0.24079320113314448,0.20411297244849141
-1.0,12.112453581011088,1.5,1.2,1300,503,0.3869230769230769,0.6130769230769231,14.14900410000123,-0.013644495681110647,0.09146157770200064,0.2524850894632207,0.20411297244849141
-1.0,12.112453581011088,1.5,1.5,1300,551,0.4238461538461539,0.5761538461538461,13.835090966374498,-0.014868734813699153,0.09267622088701793,0.24319419237749546,0.20411297244849141
-1.0,12.112453581011088,1.5,1.8,1300,609,0.4684615384615385,0.5315384615384615,13.881564391911636,-0.014868734813699153,0.09196059584813761,0.26108374384236455,0.20411297244849141
-1.0,12.112453581011088,1.5,2.5,1300,609,0.4684615384615385,0.5315384615384615,13.881564391911636,-0.014868734813699153,0.09196059584813761,0.26108374384236455,0.20411297244849141
-1.0,13.68465965353393,0.0,1.2,1300,792,0.6092307692307692,0.39076923076923076,14.066238137827327,-0.011030168132951691,0.08465371114479478,0.22853535353535354,0.20411297244849141
-1.0,13.68465965353393,0.0,1.5,1300,903,0.6946153846153846,0.30538461538461537,13.8025577164386,-0.011622327711934628,0.08583266331321196,0.2248062015503876,0.20411297244849141
-1.0,13.68465965353393,0.0,1.8,1300,1038,0.7984615384615384,0.20153846153846153,13.922272632862935,-0.010402008746520702,0.08541309245715237,0.2514450867052023,0.20411297244849141
