method,bin,bin_value,n_positive,n_accepted,coverage,abstention_rate,accepted_time_rms_ns,charge_fractional_bias,charge_fractional_res68,bad_recovery_rate,risk_coverage_auc
traditional_train_quality_cuts,true_ratio,0.25,122,15,0.12295081967213115,0.8770491803278688,16.338369247330842,0.046505705190709345,0.10287432713213358,0.4666666666666667,0.6039886118416968
traditional_train_quality_cuts,true_ratio,0.5,158,50,0.31645569620253167,0.6835443037974683,6.5024638376773005,-0.025106507518916493,0.06320844168743396,0.06,0.21012473241473686
traditional_train_quality_cuts,true_ratio,0.75,178,82,0.4606741573033708,0.5393258426966292,6.660565317944614,-0.02878841672824558,0.054629440374918015,0.08536585365853659,0.07963188286699521
traditional_train_quality_cuts,true_ratio,1.0,142,59,0.4154929577464789,0.5845070422535211,5.204148486605588,-0.05486679520710594,0.06701396605391748,0.03389830508474576,0.06602255812480119
ml_isotonic_failure_gate,true_ratio,0.25,122,61,0.5,0.5,12.071436396370798,0.015709842873479346,0.06200291428691849,0.32786885245901637,0.39564348614204126
ml_isotonic_failure_gate,true_ratio,0.5,158,114,0.7215189873417721,0.27848101265822783,8.709215797870995,-0.007829730345745944,0.06783180289039731,0.20175438596491227,0.20243009239048673
ml_isotonic_failure_gate,true_ratio,0.75,178,144,0.8089887640449438,0.19101123595505617,7.340844004669421,-0.015425269473075256,0.0640752065398617,0.09027777777777778,0.07430933682004029
ml_isotonic_failure_gate,true_ratio,1.0,142,118,0.8309859154929577,0.16901408450704225,7.026085098978716,-0.027736951915139245,0.05419712130158419,0.059322033898305086,0.05516380672840482
