consumer,method,primary_metric,estimate,ci_low,ci_high,secondary_metric,secondary_estimate,interpretation
timing,NN_1d_cnn,timing_tail_delta,-1.690064673141502e-05,-3.660250144602176e-05,0.0,median_abs_cfd20_shift_ns,0.0032965489323718,Change in held-out CFD20 tail occupancy and median absolute timing shift after action-band correction.
PID,NN_1d_cnn,harm_rate_vs_no_correction,0.0570284156207044,0.0433840642688756,0.0811170604038919,precision_vs_oracle_accept,0.015287602675291,PID stability proxy: avoid action-induced side-effect harm while matching the duplicate-closure oracle that preserves particle-shape support.
q_template,NN_1d_cnn,q_template_median_shift,-0.0007879091503747,-0.0011064861481161,-0.0006140846369679,calibration_coverage,0.942967775594198,Template-shape stability under the retained-window correction; zero is ideal.
energy,NN_1d_cnn,charge_bias,0.002766565210961,0.0021107361873806,0.003762289336006,charge_res68,0.0194344928871795,Energy-summary proxy from duplicate-charge closure bias and 68-percentile residual after accepted correction.
timing,NN_residual_gated_cnn_new,timing_tail_delta,-5.633548910471606e-06,-1.6345616110388124e-05,0.0,median_abs_cfd20_shift_ns,0.0015004165386511,Change in held-out CFD20 tail occupancy and median absolute timing shift after action-band correction.
PID,NN_residual_gated_cnn_new,harm_rate_vs_no_correction,0.0169062802803253,0.009464797413412,0.0285848030422633,precision_vs_oracle_accept,0.0238455897690835,PID stability proxy: avoid action-induced side-effect harm while matching the duplicate-closure oracle that preserves particle-shape support.
q_template,NN_residual_gated_cnn_new,q_template_median_shift,-0.0003657666846612,-0.0006562047555918,-0.0002277652596145,calibration_coverage,0.9792305858538451,Template-shape stability under the retained-window correction; zero is ideal.
energy,NN_residual_gated_cnn_new,charge_bias,0.0039529894896013,0.0026812738388698,0.0056468371888244,charge_res68,0.012581449972136,Energy-summary proxy from duplicate-charge closure bias and 68-percentile residual after accepted correction.
timing,traditional_run_family_duplicate_gate,timing_tail_delta,0.0,0.0,0.0,median_abs_cfd20_shift_ns,0.0,Change in held-out CFD20 tail occupancy and median absolute timing shift after action-band correction.
PID,traditional_run_family_duplicate_gate,harm_rate_vs_no_correction,0.0,0.0,0.0,precision_vs_oracle_accept,0.8145154021227212,PID stability proxy: avoid action-induced side-effect harm while matching the duplicate-closure oracle that preserves particle-shape support.
q_template,traditional_run_family_duplicate_gate,q_template_median_shift,0.0,0.0,0.0,calibration_coverage,1.0,Template-shape stability under the retained-window correction; zero is ideal.
energy,traditional_run_family_duplicate_gate,charge_bias,0.0138431990401373,0.0133879000718198,0.0142831581655642,charge_res68,0.0154068299365386,Energy-summary proxy from duplicate-charge closure bias and 68-percentile residual after accepted correction.
timing,ML_gradient_boosted_trees,timing_tail_delta,-5.633548910471606e-06,-1.7520877545704182e-05,0.0,median_abs_cfd20_shift_ns,0.0,Change in held-out CFD20 tail occupancy and median absolute timing shift after action-band correction.
PID,ML_gradient_boosted_trees,harm_rate_vs_no_correction,0.0001464722716722,9.087299705228427e-05,0.000224801688944,precision_vs_oracle_accept,0.3228659082827328,PID stability proxy: avoid action-induced side-effect harm while matching the duplicate-closure oracle that preserves particle-shape support.
q_template,ML_gradient_boosted_trees,q_template_median_shift,0.0,0.0,0.0,calibration_coverage,0.9977224175394992,Template-shape stability under the retained-window correction; zero is ideal.
energy,ML_gradient_boosted_trees,charge_bias,0.0124445194064698,0.0111705846911895,0.0138257716679267,charge_res68,0.0139208741911401,Energy-summary proxy from duplicate-charge closure bias and 68-percentile residual after accepted correction.
timing,ML_mlp,timing_tail_delta,0.0,0.0,0.0,median_abs_cfd20_shift_ns,0.0,Change in held-out CFD20 tail occupancy and median absolute timing shift after action-band correction.
PID,ML_mlp,harm_rate_vs_no_correction,5.6335489104716406e-05,1.9295962849511764e-05,0.000123902814719,precision_vs_oracle_accept,0.4987839652959646,PID stability proxy: avoid action-induced side-effect harm while matching the duplicate-closure oracle that preserves particle-shape support.
q_template,ML_mlp,q_template_median_shift,0.0,0.0,0.0,calibration_coverage,0.9988581142606446,Template-shape stability under the retained-window correction; zero is ideal.
energy,ML_mlp,charge_bias,0.0140536476605721,0.0129488137268078,0.0153216345021766,charge_res68,0.0155739251964151,Energy-summary proxy from duplicate-charge closure bias and 68-percentile residual after accepted correction.
timing,ML_ridge_logistic,timing_tail_delta,-5.633548910471606e-06,-1.7748974419485997e-05,0.0,median_abs_cfd20_shift_ns,0.0,Change in held-out CFD20 tail occupancy and median absolute timing shift after action-band correction.
PID,ML_ridge_logistic,harm_rate_vs_no_correction,0.0025238299118912,0.0015584415120893,0.0040168711092754,precision_vs_oracle_accept,0.2127662560597609,PID stability proxy: avoid action-induced side-effect harm while matching the duplicate-closure oracle that preserves particle-shape support.
q_template,ML_ridge_logistic,q_template_median_shift,0.0,0.0,0.0,calibration_coverage,0.967664962024021,Template-shape stability under the retained-window correction; zero is ideal.
energy,ML_ridge_logistic,charge_bias,0.010750948749001,0.0095322269851891,0.0123144849675516,charge_res68,0.0130981545987442,Energy-summary proxy from duplicate-charge closure bias and 68-percentile residual after accepted correction.
