run,group,events_total,s00_selected_pulses,b2_selected,p07e_high_duplicate_rows,p07f_duplicate_rows
31,sample_i_calib,39990,27871,26948,12235,26427
32,sample_i_calib,41921,28240,27316,11991,26774
33,sample_i_calib,57173,48737,47724,16066,47555
34,sample_i_calib,39765,34118,33373,15541,33270
35,sample_i_calib,27786,11667,11029,1411,10639
36,sample_i_calib,21764,10391,9847,2143,9501
37,sample_i_calib,50513,24537,22956,4947,21884
39,sample_i_calib,30321,14218,13174,2305,12490
40,sample_i_calib,32613,14708,13575,1985,12889
41,sample_i_calib,33997,16146,14963,2727,14229
42,sample_i_calib,33972,18112,16977,4895,16308
44,sample_i_analysis,4294,2038,1884,334,1774
45,sample_i_analysis,48181,24333,22786,5466,21677
46,sample_i_analysis,1441,687,675,144,661
47,sample_i_analysis,10970,5276,5116,1268,5033
48,sample_i_analysis,31713,14000,13044,1986,12374
49,sample_i_analysis,32354,14815,13779,2153,13081
50,sample_i_analysis,44804,35217,34088,19489,33796
51,sample_i_analysis,20569,14740,14200,7247,13969
52,sample_i_analysis,10005,7152,6893,3623,6792
53,sample_i_analysis,39612,32200,31225,13960,30941
54,sample_i_analysis,37413,30440,29493,13282,29251
55,sample_i_analysis,24416,17387,16735,8329,16444
56,sample_i_analysis,51823,40148,38730,21644,38356
57,sample_i_analysis,31284,13833,12774,1840,12110
58,sample_ii_analysis,34141,16781,15791,1615,15599
59,sample_ii_analysis,42303,21377,13565,805,13118
60,sample_ii_analysis,36074,17029,9873,344,9444
61,sample_ii_analysis,36535,18965,11015,412,10594
62,sample_ii_analysis,37584,19089,11635,503,11223
63,sample_ii_analysis,37030,18817,14566,1220,14192
64,sample_ii_calib,35943,14630,11907,771,11556
65,sample_ii_analysis,38424,13038,11768,451,11436
