method,action_support_fraction_minus_traditional,accepted_fraction_minus_traditional,charge_res68_minus_traditional,charge_bias_minus_traditional,calibration_coverage_minus_traditional,timing_tail_delta_minus_traditional,q_template_median_shift_minus_traditional,harm_rate_vs_no_correction_minus_traditional,f1_minus_traditional
NN_1d_cnn,0.21699303693354666,0.9844176037136355,0.004027662950640866,-0.011076633829176277,-0.05703222440580191,-1.690064673141502e-05,-0.0007879091503747985,0.05702841562070442,-0.7845489496090358
NN_residual_gated_cnn_new,-0.010675575185343789,0.7567489915947451,-0.0028253799644025537,-0.009890209550536037,-0.020769414146154852,-5.633548910471606e-06,-0.0003657666846612552,0.016906280280325394,-0.7689471392731871
ML_gradient_boosted_trees,-0.7147508844671789,0.05267368231290984,-0.0014859557453984432,-0.0013986796336674535,-0.0022775824605006934,-5.633548910471606e-06,0.0,0.00014647227167226265,-0.4072441433410002
ML_mlp,-0.748507109538725,0.018917457241363768,0.00016709525987648917,0.00021044862043482007,-0.0011418857393553639,0.0,0.0,5.6335489104716406e-05,-0.3819345853208788
ML_ridge_logistic,-0.690013971201298,0.07741059557879082,-0.0023086753377943546,-0.0030922502911362986,-0.03233503797597903,-5.633548910471606e-06,0.0,0.002523829911891295,-0.5138840078688657
