run,n_duplicate_rows,family,knee_adc,post_to_pre_slope_ratio,chi2_ndf_proxy,fit_status
31,26427,high-knee,7307.059240506328,1.3526173978910385,2.3738003898758756e-05,ok
32,26774,high-knee,7118.322531645569,1.3919863342599155,2.224399258800416e-05,ok
33,47555,high-knee,7261.567088607595,1.53241903310591,1.0520939549351678e-05,ok
34,33270,high-knee,7112.201518987342,1.4852567734950686,1.0000262992859026e-05,ok
35,10639,low-knee,2645.9,1.554168984414455,9.898807241925064e-06,ok
36,9501,low-knee,2897.75,1.3881683973134467,1.1695588980922794e-05,ok
37,21884,low-knee,2907.4500000000003,1.1384745161708594,1.8272200121055863e-05,ok
39,12490,low-knee,2822.4,1.1663862573644972,1.0137815081366033e-05,ok
40,12889,low-knee,2668.8,1.4308866959009872,8.043023625091388e-06,ok
41,14229,low-knee,2793.6,1.259847346870495,1.0749374369721375e-05,ok
42,16308,unstable,,,,no constrained piecewise duplicate-proxy knee fit
44,1774,unstable,,,,too few populated duplicate-proxy bins: 0
45,21677,low-knee,3027.8,1.095219477209912,2.0737540847151093e-05,ok
46,661,unstable,,,,too few populated duplicate-proxy bins: 0
47,5033,high-knee,6827.131075949366,1.7179998858482164,1.781638787913116e-05,ok
48,12374,low-knee,2690.8,1.4409965561543645,8.520277355691234e-06,ok
49,13081,low-knee,2705.5,1.1067641349850197,1.3005487251392874e-05,ok
50,33796,high-knee,7137.151518987343,1.7068239025691927,1.4310477344307626e-05,ok
51,13969,high-knee,7487.016202531646,1.6303488007147384,1.0467072138842526e-05,ok
52,6792,high-knee,7374.877848101265,1.7043854359804322,8.793191592919539e-06,ok
53,30941,high-knee,7263.48253164557,1.5579742503411376,6.451018015942833e-06,ok
54,29251,high-knee,7330.75746835443,1.63197802582959,7.873074710014319e-06,ok
55,16444,high-knee,7217.825696202532,1.7110960626250102,1.2163919179393382e-05,ok
56,38356,high-knee,7053.397088607595,1.7124079064869016,1.6456670245950323e-05,ok
57,12110,low-knee,2676.4,1.0927658983178412,1.2074982404678017e-05,ok
58,15599,low-knee,2843.6736708860763,2.841217931259149,8.49819135019738e-06,ok
59,13118,low-knee,2497.346835443038,2.4557023587997944,5.262303770467977e-06,ok
60,9444,low-knee,2774.7111392405063,2.9221885992412235,4.524003204971826e-06,ok
61,10594,low-knee,2576.068101265823,2.8547000433297884,5.098969666193892e-06,ok
62,11223,low-knee,2556.5429113924047,2.9653658376611682,4.861893288760718e-06,ok
63,14192,low-knee,2729.325189873418,2.876018737399482,6.3622789792072615e-06,ok
64,11556,low-knee,2924.8975949367086,2.9043109664895894,5.0551698588946074e-06,ok
65,11436,low-knee,3035.6403797468347,2.8721087166047976,4.604226646966877e-06,ok
