method,n,mean_bias_adc,std_adc,mae_adc,rmse_adc,median_bias_adc,q05_adc,q95_adc,mean_bias_ci_low_adc,mean_bias_ci_high_adc,mae_ci_low_adc,mae_ci_high_adc
ml_hgbr_calibrated,3761,-8.736624739108017,189.68473005369685,48.87936732695419,189.86062978887983,4.276599447557601,-157.74345922262546,53.15943891809093,-14.167454967287153,-2.613111545551332,43.8222837276402,55.2857161187078
mean3,3761,-14.792519719932647,833.3045789341588,260.7010546840379,833.3250920801388,1.3333333333330302,-868.333333333333,654.0,-38.34033280155986,11.423885491447304,236.25477709828945,287.98870424532487
median3,3761,-51.19170433395374,928.5425411577404,273.63520340335015,929.8293370925944,0.0,-1150.0,335.0,-80.3606487636267,-20.933893911193834,244.24403084286092,302.67232119117256
adaptive_pc,3761,-310.69262961978194,1171.3312008774976,341.04271470353626,1211.685557886358,-1.0,-2773.24,28.0,-347.593492654879,-277.33914497474075,300.4547105822919,373.26554500132943
