group,value,method,n_events,n_positive,detection_auc,energy_fractional_bias,energy_fractional_sigma68,time_sigma68_ns,pileup_miss_rate
pedestal_memory,nominal,saturation_residual_fusion_new,135,135,,-0.004568956028506104,0.0574445005888853,6.9302968029845236,0.31851851851851853
pedestal_memory,shifted,saturation_residual_fusion_new,255,255,,-0.0022580005343189936,0.07072499492008104,8.419798382919362,0.32941176470588235
pid_proxy_class,inner_high_charge,saturation_residual_fusion_new,24,24,,-0.03909468485838681,0.08856973838432161,9.808017347747228,0.16666666666666666
pid_proxy_class,other,saturation_residual_fusion_new,366,366,,0.0015822551289424755,0.06814108305728596,7.704485304157245,0.3360655737704918
saturation_regime,0,saturation_residual_fusion_new,381,381,,-0.002582305278053396,0.06901615424356437,7.980393508762077,0.3333333333333333
saturation_regime,1-2,saturation_residual_fusion_new,4,4,,-0.0023106957667078827,0.07840928609641826,10.156089787078383,0.0
saturation_regime,3-5,saturation_residual_fusion_new,5,5,,-0.010809075545930767,0.012186360966111351,4.332842518887084,0.0
pileup_spacing,"(-0.001, 10.0]",saturation_residual_fusion_new,132,132,,0.016362377115035895,0.06853665348489285,7.468772898382477,0.42424242424242425
pileup_spacing,"(10.0, 25.0]",saturation_residual_fusion_new,88,88,,0.033611149318868376,0.04364380831181267,7.851522290087933,0.3977272727272727
pileup_spacing,"(25.0, 45.0]",saturation_residual_fusion_new,78,78,,0.0017940409197387485,0.06552659606688697,9.025034559121089,0.23076923076923078
pileup_spacing,"(45.0, 70.0]",saturation_residual_fusion_new,92,92,,-0.044332671222785336,0.06020545291237929,9.271525946430977,0.1956521739130435
morphology_state,late_tail_high,saturation_residual_fusion_new,173,173,,0.01914330152943982,0.05938264440577864,7.4872145812816555,0.37572254335260113
morphology_state,late_tail_low,saturation_residual_fusion_new,217,217,,-0.020762040637597512,0.07206640881742471,8.69559065694119,0.2857142857142857
run_stave_transfer,B2,saturation_residual_fusion_new,91,91,,-0.04591622999830045,0.07768190094707986,9.309367943551441,0.3956043956043956
run_stave_transfer,B4,saturation_residual_fusion_new,107,107,,0.016191858529900273,0.06897114869712967,7.929657635396411,0.29906542056074764
run_stave_transfer,B6,saturation_residual_fusion_new,85,85,,-0.0002057214807140854,0.060892356017643146,5.52092315319276,0.36470588235294116
run_stave_transfer,B8,saturation_residual_fusion_new,107,107,,0.004242845468415426,0.05154994860964138,6.135978012005477,0.2616822429906542
