method,winner_score,energy_residual_bias,energy_residual_sigma68,energy_residual_sigma68_ci_low,energy_residual_sigma68_ci_high,pileup_separation_sigma68_ns,leading_timing_shift_sigma68_ns,pileup_miss_rate,false_split_rate,pedestal_shift_false_split_span,pid_energy_bias_span
saturation_residual_fusion_new,0.17707458308084947,-0.0030355114897270994,0.07109715765303969,0.05945280504832635,0.07903318101495997,10.562799178841825,5.423013730591109,0.3,0.1951219512195122,0.1641831216814701,0.044204052457992804
gradient_boosted_trees,0.1795,-0.009843,0.07109,0.05751,0.07866,11.4,4.96,0.278,0.1951,0.1742,0.04308
ridge,0.1803,-0.001505,0.06797,0.06179,0.07188,13.15,6.594,0.2634,0.1976,0.06805,0.05649
1d_cnn,0.2366,0.001529,0.09933,0.08196,0.1088,15.17,8.608,0.278,0.2561,0.08821,0.1008
analytic_clipped_template_sideband_traditional,0.2444,0.07902,0.08542,0.06603,0.09771,15,7.182,0.5854,0.1829,0.1075,0.0927
mlp,0.2665,-0.04525,0.1237,0.1112,0.1355,15.22,8.578,0.322,0.2024,0.06638,0.08726
tiny_sequence_transformer,0.3029,-0.08437,0.08253,0.07244,0.094,25.48,17.08,0.4122,0.1488,0.004429,0.06082
