method,energy_residual_sigma68,energy_residual_sigma68_ci_low,energy_residual_sigma68_ci_high,saturation_onset_energy_sigma68,pileup_separation_sigma68_ns,pileup_separation_sigma68_ns_ci_low,pileup_separation_sigma68_ns_ci_high,leading_timing_shift_bias_ns,pedestal_shift_false_split_span,pid_energy_bias_span,pid_failure_rate_span
ridge,0.06797,0.06179,0.07188,0.06585,13.15,11.44,15.56,0.8578,0.06805,0.05649,0.2402
gradient_boosted_trees,0.07109,0.05751,0.07866,0.06984,11.4,9.999,12.06,0.914,0.1742,0.04308,0.2558
saturation_residual_fusion_new,0.07110,0.05945,0.07903,0.09607,10.56,9.613,11.21,1.033,0.1642,0.0442,0.2792
tiny_sequence_transformer,0.08253,0.07244,0.094,0.04834,25.48,23.27,26.62,-3.567,0.004429,0.06082,0.1937
analytic_clipped_template_sideband_traditional,0.08542,0.06603,0.09771,0.04525,15,10,20,-0.1269,0.1075,0.0927,0.2965
1d_cnn,0.09933,0.08196,0.1088,0.07049,15.17,13.26,16.64,0.6274,0.08821,0.1008,0.1737
mlp,0.1237,0.1112,0.1355,0.07181,15.22,13.47,18.01,1.69,0.06638,0.08726,0.2206
