quantity,report_value,reproduced,delta,tolerance,pass,best_C,auc,brier
S10 low_2nA injection ML AP,0.982,0.981988761253344,-1.1238746655983789e-05,0.006,True,10.0,0.9862461931427449,0.03455686029881331
S10 high_20nA injection ML AP,0.968,0.9718621529880316,0.0038621529880316086,0.006,True,10.0,0.9653240576102418,0.06589627861463276
