method,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,ap_ci_low,ap_ci_high,notes
traditional q_template score,0.7939560439560439,0.7673673884105661,0.8381200618630896,0.1635699822564162,0.11024475959925287,0.2272484782228018,Train-run-selected q-template aggregate score.
q_template-only RF,0.8658325370281891,0.8140056818181818,0.9281727047413293,0.3315239727393283,0.20933113741303397,0.5165143073489482,"RF params={'n_estimators': 500, 'max_depth': 5, 'min_samples_leaf': 8}; q-template aggregate features only."
