method,heldout_run,threshold,clean_efficiency,tail_rejection,n_clean,n_tail
traditional q_template score,58,0.16918690704714176,1.0,,16,0
traditional q_template score,59,0.16557104236325815,0.9291338582677166,0.4,127,5
traditional q_template score,60,0.1770027978516426,0.9935064935064936,0.0,154,6
traditional q_template score,61,0.15908161730671003,0.9272727272727272,0.3333333333333333,220,9
traditional q_template score,62,0.16560537902771566,0.9302325581395349,1.0,129,1
traditional q_template score,63,0.1659382289836828,0.9402985074626866,0.0,67,2
traditional q_template score,65,0.16914007095594438,1.0,,15,0
q_template-only RF,58,0.28952650343673497,0.875,,16,0
q_template-only RF,59,0.26289283344761877,0.8503937007874016,0.8,127,5
q_template-only RF,60,0.2996557162174547,0.974025974025974,0.5,154,6
q_template-only RF,61,0.2966627249521523,0.9590909090909091,0.8888888888888888,220,9
q_template-only RF,62,0.29884832774972464,0.9689922480620154,1.0,129,1
q_template-only RF,63,0.289906335178747,0.9402985074626866,1.0,67,2
q_template-only RF,65,0.2894919732783703,0.8666666666666667,,15,0
