event_id,pair,method,residual_ns
65:664527:1645:239567,B4-B6,cfd20_reference,-6.765308776868579
65:664527:1645:239567,B4-B8,cfd20_reference,-3.450007083789515
65:664527:1645:239567,B6-B8,cfd20_reference,3.315301693079064
65:664907:1997:239947,B4-B6,cfd20_reference,-2.5128040581940354
65:664907:1997:239947,B4-B8,cfd20_reference,-5.171528037679167
65:664907:1997:239947,B6-B8,cfd20_reference,-2.6587239794851314
65:665457:2517:240497,B4-B6,cfd20_reference,-6.455430189747943
65:665457:2517:240497,B4-B8,cfd20_reference,-8.226726717437181
65:665457:2517:240497,B6-B8,cfd20_reference,-1.7712965276892376
65:665509:2565:240549,B4-B6,cfd20_reference,-4.220559108990258
65:665509:2565:240549,B4-B8,cfd20_reference,-3.7952002103085505
65:665509:2565:240549,B6-B8,cfd20_reference,0.42535889868170784
65:665719:2794:240759,B4-B6,cfd20_reference,-6.975735002545754
65:665719:2794:240759,B4-B8,cfd20_reference,-5.472579488562417
65:665719:2794:240759,B6-B8,cfd20_reference,1.5031555139833372
65:665814:2882:240854,B4-B6,cfd20_reference,-7.5355921346301145
65:665814:2882:240854,B4-B8,cfd20_reference,-6.314934789817308
65:665814:2882:240854,B6-B8,cfd20_reference,1.2206573448128069
65:666623:3632:241663,B4-B6,cfd20_reference,-6.332554078587677
65:666623:3632:241663,B4-B8,cfd20_reference,-6.9243686670315725
65:666623:3632:241663,B6-B8,cfd20_reference,-0.5918145884438957
65:667306:4269:242346,B4-B6,cfd20_reference,-2.786656334474685
65:667306:4269:242346,B4-B8,cfd20_reference,-5.017498857913424
65:667306:4269:242346,B6-B8,cfd20_reference,-2.2308425234387386
65:668204:5102:243244,B4-B6,cfd20_reference,-4.688855348282658
65:668204:5102:243244,B4-B8,cfd20_reference,-3.250778730399091
65:668204:5102:243244,B6-B8,cfd20_reference,1.438076617883567
65:669147:5974:244187,B4-B6,cfd20_reference,-6.199631426574825
65:669147:5974:244187,B4-B8,cfd20_reference,-4.3466600247932945
65:669147:5974:244187,B6-B8,cfd20_reference,1.8529714017815309
65:669345:6160:244385,B4-B6,cfd20_reference,-3.5134972824092614
65:669345:6160:244385,B4-B8,cfd20_reference,-5.7932061100896135
65:669345:6160:244385,B6-B8,cfd20_reference,-2.279708827680352
65:669500:6304:244540,B4-B6,cfd20_reference,-1.0018745631305706
65:669500:6304:244540,B4-B8,cfd20_reference,-1.0638969767922326
65:669500:6304:244540,B6-B8,cfd20_reference,-0.06202241366166206
65:669969:6739:245009,B4-B6,cfd20_reference,-2.9703213705802654
65:669969:6739:245009,B4-B8,cfd20_reference,-6.477120741929738
65:669969:6739:245009,B6-B8,cfd20_reference,-3.506799371349473
65:670593:7322:245633,B4-B6,cfd20_reference,-3.8290784580987918
65:670593:7322:245633,B4-B8,cfd20_reference,-4.980873431702079
65:670593:7322:245633,B6-B8,cfd20_reference,-1.1517949736032875
65:670708:7428:245748,B4-B6,cfd20_reference,-5.6563386924916585
