check,value,detail
train_heldout_event_id_overlap,0.0,must be zero
feature_audit,0.0,"features are normalized 18-sample waveform plus stave one-hot; no run, event id, event order, other-stave time, or held-out target"
shuffled_target_negative_control_sigma68_ns,3.173789346474021,same architecture trained with shuffled train residual targets
nominal_mlp_sigma68_ns,1.9272329327513156,held-out run metric for comparison to shuffled control
