subset,consumer,method,method_label,n,pull_width68,coverage68,coverage95,tail_frac_abs_gt1p96,consumer_loss,consumer_loss_ci_low,consumer_loss_ci_high
fixed_cost_random,pid_pull,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,5964,0.9980618354791682,0.5409121395036888,0.9349429912810194,0.06505700871898056,0.05595738364802605,0.04750078072563037,0.07585302953870222
fixed_cost_random,pid_pull,cnn1d,1D-CNN residual scale model,5964,1.111538025719109,0.3983903420523139,0.9044265593561368,0.09557344064386318,0.13424601427288035,0.07824779767013183,0.19410786605828254
fixed_cost_random,pid_pull,mlp,MLP residual scale model,5964,1.1360665901272728,0.4782025486250838,0.8360160965794768,0.16398390342052313,0.15463033512005883,0.08556785865558561,0.23957582513673312
fixed_cost_random,pid_pull,ridge,Ridge residual scale model,5964,1.1084873366634524,0.4517102615694165,0.8303152246814218,0.16968477531857815,0.15720902946704807,0.08196617456619545,0.25297986241293313
fixed_cost_random,pid_pull,gradient_boosted_trees,HistGradientBoosting residual scale model,5964,1.1289570416409642,0.4517102615694165,0.8313212608987257,0.16867873910127432,0.16182343760277407,0.08181667777371165,0.27497459443537164
fixed_cost_random,pid_pull,traditional,S02/S03/S04 atom robust-width baseline,5964,3.2455499689386356,0.35479543930248153,0.5871898054996647,0.41281019450033535,0.8372661026934562,0.6393221255562913,1.022034883205356
fixed_cost_random,range_energy_pull,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,5964,0.9513754350945279,0.602280348759222,0.9439973172367538,0.056002682763246145,0.0477597684524356,0.03373900673845304,0.05968432348706146
fixed_cost_random,range_energy_pull,cnn1d,1D-CNN residual scale model,5964,1.045464319001271,0.47484909456740443,0.9178403755868545,0.08215962441314555,0.09190599134928938,0.058397584893799155,0.15338622004335678
fixed_cost_random,range_energy_pull,mlp,MLP residual scale model,5964,1.06501392043447,0.5214621059691482,0.8571428571428571,0.14285714285714285,0.11548889807915187,0.07245545365230174,0.1955241263840014
fixed_cost_random,range_energy_pull,ridge,Ridge residual scale model,5964,1.053517492425079,0.4919517102615694,0.8591549295774648,0.14084507042253522,0.118986353786395,0.0770909179524254,0.20866063836716883
fixed_cost_random,range_energy_pull,gradient_boosted_trees,HistGradientBoosting residual scale model,5964,1.0827682652362394,0.49932930918846413,0.8494299128101945,0.1505700871898055,0.12931715564109655,0.07739923997090416,0.2201009592301093
fixed_cost_random,range_energy_pull,traditional,S02/S03/S04 atom robust-width baseline,5964,2.9611626703668033,0.3702213279678068,0.6052984574111334,0.3947015425888665,0.7532584799284324,0.5560194114249368,0.9063467527040403
full_support,pid_pull,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,22920,1.0130740022200453,0.5335078534031413,0.9335078534031414,0.06649214659685863,0.06130998353690531,0.047091443106838375,0.0814962132021642
full_support,pid_pull,cnn1d,1D-CNN residual scale model,22920,1.1484770967082636,0.38612565445026176,0.8989528795811519,0.10104712041884817,0.14928379380817453,0.10600418930123835,0.21170036363603237
full_support,pid_pull,mlp,MLP residual scale model,22920,1.1802093389044632,0.46902268760907506,0.8294938917975567,0.17050610820244327,0.17122208995931867,0.10597217695208837,0.23563378603699278
full_support,pid_pull,ridge,Ridge residual scale model,22920,1.1387817910042766,0.4388307155322862,0.8219022687609076,0.1780977312390925,0.17220900752179386,0.09243755397414033,0.25689981069741663
full_support,pid_pull,gradient_boosted_trees,HistGradientBoosting residual scale model,22920,1.1569349479155422,0.4469458987783595,0.824607329842932,0.17539267015706805,0.17336597039707968,0.08697909508230302,0.26789833477835656
full_support,pid_pull,traditional,S02/S03/S04 atom robust-width baseline,22920,2.9677619773552393,0.3493891797556719,0.587958115183246,0.4120418848167539,0.7687865148425189,0.6321665801362948,0.8921170355419259
full_support,range_energy_pull,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,22920,0.9677358039699839,0.6,0.9422338568935428,0.057766143106457245,0.04512149359498264,0.031837461154082175,0.06130312266375567
full_support,range_energy_pull,cnn1d,1D-CNN residual scale model,22920,1.0878548170636277,0.4606457242582897,0.9116055846422338,0.08839441535776614,0.10917185391446758,0.06470561546471859,0.17333873637641228
full_support,range_energy_pull,gradient_boosted_trees,HistGradientBoosting residual scale model,22920,1.0920053032483337,0.4931064572425829,0.8466841186736475,0.15331588132635254,0.13455502519886398,0.07873407019982362,0.23703025435597996
full_support,range_energy_pull,mlp,MLP residual scale model,22920,1.1120793185682185,0.5082897033158813,0.8487783595113438,0.1512216404886562,0.13473059709166238,0.07525845222261004,0.19960046503738116
full_support,range_energy_pull,ridge,Ridge residual scale model,22920,1.075529711701681,0.47783595113438043,0.8431937172774869,0.1568062827225131,0.1359989545373317,0.0813494012648114,0.2453962371153858
full_support,range_energy_pull,traditional,S02/S03/S04 atom robust-width baseline,22920,2.783220743568797,0.36745200698080277,0.6095113438045375,0.39048865619546247,0.7073588852789797,0.5596184288408254,0.8090171519534256
s06c_accepted_support,pid_pull,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,6190,0.9658483344349615,0.5050080775444264,0.9360258481421648,0.06397415185783521,0.0724453459683206,0.056207436273608705,0.0917905309155109
s06c_accepted_support,pid_pull,cnn1d,1D-CNN residual scale model,6190,1.1032274426960893,0.35993537964458805,0.8930533117932149,0.10694668820678514,0.14746873290051787,0.10034045217187688,0.235298087937744
s06c_accepted_support,pid_pull,mlp,MLP residual scale model,6190,1.2326619399719094,0.42649434571890144,0.81421647819063,0.18578352180936994,0.20260603250218698,0.11926763216370764,0.2791651888290337
s06c_accepted_support,pid_pull,gradient_boosted_trees,HistGradientBoosting residual scale model,6190,1.21419297228099,0.4184168012924071,0.794184168012924,0.20581583198707593,0.21002433177493374,0.10786345245834886,0.35555545830563196
s06c_accepted_support,pid_pull,ridge,Ridge residual scale model,6190,1.2498124697545039,0.4284329563812601,0.7819063004846527,0.21809369951534732,0.2225641011352346,0.11235113842687916,0.3909413187187729
s06c_accepted_support,pid_pull,traditional,S02/S03/S04 atom robust-width baseline,6190,1.4492987856169257,0.4339256865912762,0.7431340872374798,0.2568659127625202,0.2904486041719225,0.1612621779226212,0.47091988469135715
s06c_accepted_support,range_energy_pull,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,6190,0.9180402684328764,0.5705977382875606,0.945718901453958,0.054281098546042,0.06315342062716175,0.04426028199959441,0.08148203863851908
s06c_accepted_support,range_energy_pull,cnn1d,1D-CNN residual scale model,6190,1.0511469155435644,0.42261712439418414,0.9075928917609046,0.09240710823909531,0.11150837494114274,0.08023439570644324,0.1808364449749171
s06c_accepted_support,range_energy_pull,mlp,MLP residual scale model,6190,1.166572350522021,0.4546042003231018,0.841357027463651,0.15864297253634896,0.16548589685215426,0.09705440061641919,0.23841699596124089
s06c_accepted_support,range_energy_pull,gradient_boosted_trees,HistGradientBoosting residual scale model,6190,1.137310378448879,0.4436187399030695,0.8284329563812601,0.1715670436187399,0.1673788044800723,0.08564219352180331,0.3008187855920428
s06c_accepted_support,range_energy_pull,ridge,Ridge residual scale model,6190,1.1866830946968143,0.45621970920840066,0.8145395799676898,0.18546042003231017,0.1835184294225085,0.08466534124380183,0.33751005897329683
s06c_accepted_support,range_energy_pull,traditional,S02/S03/S04 atom robust-width baseline,6190,1.3608438073111946,0.45977382875605816,0.7667205169628433,0.2332794830371567,0.2500796091916125,0.13133971933856844,0.4167498211111397
