subset,consumer,run,method,method_label,n,pull_width68,coverage68,coverage95,tail_frac_abs_gt1p96,consumer_loss
s06c_accepted_support,pid_pull,58,cnn1d,1D-CNN residual scale model,32,0.9627049396458544,0.15625,0.9375,0.0625,0.1596836381227864
s06c_accepted_support,pid_pull,58,gradient_boosted_trees,HistGradientBoosting residual scale model,32,1.3822572905119415,0.34375,0.71875,0.28125,0.30842419566223533
s06c_accepted_support,pid_pull,58,mlp,MLP residual scale model,32,0.9925369614301244,0.28125,0.875,0.125,0.1522256326767189
s06c_accepted_support,pid_pull,58,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,32,0.5367007902294216,0.40625,0.9375,0.0625,0.2036846754768946
s06c_accepted_support,pid_pull,58,ridge,Ridge residual scale model,32,0.7380023506412603,0.40625,0.84375,0.15625,0.20023428537393492
s06c_accepted_support,pid_pull,58,traditional,S02/S03/S04 atom robust-width baseline,32,1.1063487377158168,0.46875,0.84375,0.15625,0.1456970574632042
s06c_accepted_support,pid_pull,59,cnn1d,1D-CNN residual scale model,643,0.9909916399383912,0.3468118195956454,0.9051321928460342,0.09486780715396578,0.12115541172772373
s06c_accepted_support,pid_pull,59,gradient_boosted_trees,HistGradientBoosting residual scale model,643,1.087048125567766,0.4572317262830482,0.8304821150855366,0.16951788491446346,0.15038541531266114
s06c_accepted_support,pid_pull,59,mlp,MLP residual scale model,643,1.061191216815872,0.46967340590979784,0.8429237947122862,0.15707620528771385,0.13458992840462544
s06c_accepted_support,pid_pull,59,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,643,0.8873422491978172,0.5241057542768274,0.9595645412130638,0.04043545878693624,0.08031037216558887
s06c_accepted_support,pid_pull,59,ridge,Ridge residual scale model,643,1.1346428557736712,0.4603421461897356,0.807153965785381,0.19284603421461896,0.17317056753754337
s06c_accepted_support,pid_pull,59,traditional,S02/S03/S04 atom robust-width baseline,643,1.1781972446287061,0.5381026438569206,0.8320373250388803,0.16796267496111975,0.15217736070775623
s06c_accepted_support,pid_pull,60,cnn1d,1D-CNN residual scale model,731,1.0136604473710955,0.41450068399452805,0.8878248974008208,0.1121751025991792,0.11404986517798146
s06c_accepted_support,pid_pull,60,gradient_boosted_trees,HistGradientBoosting residual scale model,731,1.058742611806758,0.44049247606019154,0.8344733242134063,0.16552667578659372,0.14549824486418847
s06c_accepted_support,pid_pull,60,mlp,MLP residual scale model,731,1.3004295705061855,0.3953488372093023,0.79890560875513,0.20109439124487005,0.23498975198090583
s06c_accepted_support,pid_pull,60,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,731,0.9170787812304042,0.5088919288645691,0.9261285909712722,0.07387140902872777,0.08861540002487056
s06c_accepted_support,pid_pull,60,ridge,Ridge residual scale model,731,0.9746417395411382,0.49247606019151846,0.8235294117647058,0.17647058823529413,0.1296282172187329
s06c_accepted_support,pid_pull,60,traditional,S02/S03/S04 atom robust-width baseline,731,1.1660878678121063,0.48153214774281805,0.8084815321477428,0.19151846785225718,0.17507053697770064
s06c_accepted_support,pid_pull,61,cnn1d,1D-CNN residual scale model,686,1.3793237702106342,0.2259475218658892,0.8513119533527697,0.14868804664723032,0.27086045844405143
s06c_accepted_support,pid_pull,61,gradient_boosted_trees,HistGradientBoosting residual scale model,686,1.6301881781472125,0.24052478134110788,0.5991253644314869,0.4008746355685131,0.4560255400200327
s06c_accepted_support,pid_pull,61,mlp,MLP residual scale model,686,1.4490142036928857,0.33090379008746357,0.717201166180758,0.282798833819242,0.32909939334522653
s06c_accepted_support,pid_pull,61,phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,686,1.0276588285854729,0.35714285714285715,0.9416909620991254,0.05830903790087463,0.10495588484534124
s06c_accepted_support,pid_pull,61,ridge,Ridge residual scale model,686,1.7614805374632725,0.21282798833819241,0.5801749271137027,0.4198250728862974,0.5052480467586687
s06c_accepted_support,pid_pull,61,traditional,S02/S03/S04 atom robust-width baseline,686,1.9712592756462846,0.23469387755102042,0.48833819241982507,0.5116618075801749,0.5981446263481535
s06c_accepted_support,pid_pull,62,cnn1d,1D-CNN residual scale model,655,1.0214660140908398,0.4183206106870229,0.916030534351145,0.08396946564885496,0.1009434567096317
s06c_accepted_support,pid_pull,62,gradient_boosted_trees,HistGradientBoosting residual scale model,655,1.003420706264565,0.500763358778626,0.8854961832061069,0.11450381679389313,0.0910886183026813
