fold,train_group,eval_group,heldout_run,method,n,q_template_mse,q_tail_mse
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,44,calibration_amp_median,2038,0.07700742358390454,0.0897294610399592
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,44,traditional_shape_handle_median,2038,0.03663877412113813,0.043525034777646736
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,44,ml_extra_trees_conditional,2038,0.004018575266418175,0.0045417270808765465
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,44,ml_extra_trees_shuffled,2038,0.10287795459000335,0.12291011069417054
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,44,ml_extra_trees_no_tail,2038,0.004202988062144826,0.0047094029525908306
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,44,ml_extra_trees_no_tail_shuffled,2038,0.10173615029298023,0.12160723960078745
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,45,calibration_amp_median,24333,0.08970593832623117,0.10396203824497638
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,45,traditional_shape_handle_median,24333,0.04287700693317298,0.050587353274688024
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,45,ml_extra_trees_conditional,24333,0.004772187889543311,0.0052068327825107565
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,45,ml_extra_trees_shuffled,24333,0.11570586153679426,0.13720052608394165
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,45,ml_extra_trees_no_tail,24333,0.005089983978414261,0.00553411789893367
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,45,ml_extra_trees_no_tail_shuffled,24333,0.11399241895363699,0.13525966344711357
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,46,calibration_amp_median,687,0.03043164940270516,0.03608789419827977
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,46,traditional_shape_handle_median,687,0.013184921790046832,0.016217395561699776
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,46,ml_extra_trees_conditional,687,0.0006662202958097501,0.0008359503630125726
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,46,ml_extra_trees_shuffled,687,0.04442392865220041,0.05463275335512955
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,46,ml_extra_trees_no_tail,687,0.0006417409328217361,0.0007974400535777538
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,46,ml_extra_trees_no_tail_shuffled,687,0.04499960015749712,0.055247538648790374
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,47,calibration_amp_median,5276,0.04249463621701419,0.050615284629078015
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,47,traditional_shape_handle_median,5276,0.02171162397175739,0.0263201287755633
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,47,ml_extra_trees_conditional,5276,0.003933446205761672,0.00461003441205537
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,47,ml_extra_trees_shuffled,5276,0.05724085310189222,0.06986173721165236
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,47,ml_extra_trees_no_tail,5276,0.003935031681834032,0.004627880733298952
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,47,ml_extra_trees_no_tail_shuffled,5276,0.05627645538363756,0.06874897383992215
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,48,calibration_amp_median,14000,0.08230075644427534,0.09562472975097652
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,48,traditional_shape_handle_median,14000,0.038876267291564966,0.046240535461507734
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,48,ml_extra_trees_conditional,14000,0.004855933237601786,0.0056593687072970566
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,48,ml_extra_trees_shuffled,14000,0.10916130266467475,0.13022155344783204
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,48,ml_extra_trees_no_tail,14000,0.005068028657088373,0.005922317615540993
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,48,ml_extra_trees_no_tail_shuffled,14000,0.10731451773161131,0.12811601213183543
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,49,calibration_amp_median,14815,0.08476441827733747,0.09800835896603263
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,49,traditional_shape_handle_median,14815,0.041251234091962435,0.048294765326163884
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,49,ml_extra_trees_conditional,14815,0.0047500975620822965,0.004919868247790143
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,49,ml_extra_trees_shuffled,14815,0.11129804902075209,0.1321662685123981
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,49,ml_extra_trees_no_tail,14815,0.005195228129751482,0.0054667522585069165
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,49,ml_extra_trees_no_tail_shuffled,14815,0.10952203842602085,0.13014820375334663
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,50,calibration_amp_median,35217,0.02300892472247185,0.02799226363673486
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,50,traditional_shape_handle_median,35217,0.014161055942992141,0.01757757929464698
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,50,ml_extra_trees_conditional,35217,0.0023711986751884656,0.0026628747794919913
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,50,ml_extra_trees_shuffled,35217,0.03100512827780968,0.038671927052753394
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,50,ml_extra_trees_no_tail,35217,0.0024812267298882514,0.0028226405041084516
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,50,ml_extra_trees_no_tail_shuffled,35217,0.030636642633134318,0.038253279899365895
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,51,calibration_amp_median,14740,0.028069848718650484,0.0333664655553461
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,51,traditional_shape_handle_median,14740,0.015174051696774849,0.01862552731465281
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,51,ml_extra_trees_conditional,14740,0.0017492828817255728,0.0021289523644913394
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,51,ml_extra_trees_shuffled,14740,0.03872744281069371,0.04738160932692433
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,51,ml_extra_trees_no_tail,14740,0.0018634412148293797,0.0022746374915453924
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,51,ml_extra_trees_no_tail_shuffled,14740,0.03808218149421447,0.046658066261073786
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,52,calibration_amp_median,7152,0.0313031104309685,0.03633390426177331
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,52,traditional_shape_handle_median,7152,0.016617121506489446,0.019576071344864877
sample_i_analysis_from_sample_i_calib,sample_i_calib,sample_i_analysis,52,ml_extra_trees_conditional,7152,0.001718634198185785,0.0013840950014224684
