fold,train_eval_run_overlap,train_eval_key_overlap,waveform_hash_overlap_count,waveform_hash_overlap_frac_eval_unique,uses_run_or_event_features,uses_downstream_timing_labels,uses_other_stave_features,real_ml_q_tail_mse,shuffled_ml_q_tail_mse,real_minus_shuffled_q_tail_mse,no_tail_ml_q_tail_mse,no_tail_shuffled_ml_q_tail_mse,no_tail_real_minus_shuffled_q_tail_mse,ml_tail_too_good_triggered,no_tail_ml_tail_too_good_triggered,nn_train_sample,nn_eval_sample,nn_distance_min,nn_distance_p01,nn_distance_median,nn_distance_p95,nn_exact_like_count,nn_frac_dist_le_1e-06,nn_frac_dist_le_0.001,nn_frac_dist_le_0.01
sample_i_analysis_from_sample_i_calib,[],0,0,0.0,False,False,False,0.0026774776292127016,0.06474008313769947,-0.062062605508486766,0.0028874857926988406,0.06385093724437674,-0.0609634514516779,True,True,10000,10000,0.007765089596808569,0.012536400293885159,0.03188344666049745,0.20201538429625263,0,0.0,0.0,0.002
sample_ii_analysis_from_run64_calib,[],0,0,0.0,False,False,False,0.003581415378322364,0.06521942733395285,-0.061638011955630484,0.0037910103563292092,0.06624476753716858,-0.06245375718083938,True,True,10000,10000,0.009509772009626069,0.01973385966054983,0.04737722433516811,0.25124806016229767,0,0.0,0.0,0.0002
