run,p10a_empirical_q_mse
44,0.07679191818723576
45,0.08952859484298453
46,0.030656241909198245
47,0.04261749827512482
48,0.08211602665548128
49,0.08458175102960953
50,0.022980337123115573
51,0.028008993773102453
52,0.03125618920994743
53,0.019708023821818656
54,0.015742759117615083
55,0.030202832965560065
56,0.021387955345679163
57,0.08639583241597798
58,0.010967772743578925
59,0.046112585812447225
60,0.049638515054686375
61,0.04037867855523728
62,0.04301382233255624
63,0.04156468585003823
65,0.03904383454955015
