fold,stave,bin,amp_low_adc,amp_high_adc,n_train,source
sample_i_analysis_from_sample_i_calib,B2,0,1000.0,1500.0,9598,bin
sample_i_analysis_from_sample_i_calib,B2,1,1500.0,2200.0,11316,bin
sample_i_analysis_from_sample_i_calib,B2,2,2200.0,3200.0,19431,bin
sample_i_analysis_from_sample_i_calib,B2,3,3200.0,4700.0,39073,bin
sample_i_analysis_from_sample_i_calib,B2,4,4700.0,6800.0,73993,bin
sample_i_analysis_from_sample_i_calib,B2,5,6800.0,10000.0,84461,bin
sample_i_analysis_from_sample_i_calib,B2,6,10000.0,15000.0,10,stave_fallback
sample_i_analysis_from_sample_i_calib,B2,7,15000.0,25000.0,0,stave_fallback
sample_i_analysis_from_sample_i_calib,B4,0,1000.0,1500.0,724,bin
sample_i_analysis_from_sample_i_calib,B4,1,1500.0,2200.0,864,bin
sample_i_analysis_from_sample_i_calib,B4,2,2200.0,3200.0,2234,bin
sample_i_analysis_from_sample_i_calib,B4,3,3200.0,4700.0,2244,bin
sample_i_analysis_from_sample_i_calib,B4,4,4700.0,6800.0,632,bin
sample_i_analysis_from_sample_i_calib,B4,5,6800.0,10000.0,49,bin
sample_i_analysis_from_sample_i_calib,B4,6,10000.0,15000.0,0,stave_fallback
sample_i_analysis_from_sample_i_calib,B4,7,15000.0,25000.0,0,stave_fallback
sample_i_analysis_from_sample_i_calib,B6,0,1000.0,1500.0,393,bin
sample_i_analysis_from_sample_i_calib,B6,1,1500.0,2200.0,486,bin
sample_i_analysis_from_sample_i_calib,B6,2,2200.0,3200.0,1032,bin
sample_i_analysis_from_sample_i_calib,B6,3,3200.0,4700.0,908,bin
sample_i_analysis_from_sample_i_calib,B6,4,4700.0,6800.0,119,bin
sample_i_analysis_from_sample_i_calib,B6,5,6800.0,10000.0,2,stave_fallback
sample_i_analysis_from_sample_i_calib,B6,6,10000.0,15000.0,0,stave_fallback
sample_i_analysis_from_sample_i_calib,B6,7,15000.0,25000.0,0,stave_fallback
sample_i_analysis_from_sample_i_calib,B8,0,1000.0,1500.0,215,bin
sample_i_analysis_from_sample_i_calib,B8,1,1500.0,2200.0,186,bin
sample_i_analysis_from_sample_i_calib,B8,2,2200.0,3200.0,353,bin
sample_i_analysis_from_sample_i_calib,B8,3,3200.0,4700.0,347,bin
sample_i_analysis_from_sample_i_calib,B8,4,4700.0,6800.0,73,bin
sample_i_analysis_from_sample_i_calib,B8,5,6800.0,10000.0,2,stave_fallback
sample_i_analysis_from_sample_i_calib,B8,6,10000.0,15000.0,0,stave_fallback
sample_i_analysis_from_sample_i_calib,B8,7,15000.0,25000.0,0,stave_fallback
sample_ii_analysis_from_run64_calib,B2,0,1000.0,1500.0,1134,bin
sample_ii_analysis_from_run64_calib,B2,1,1500.0,2200.0,1685,bin
sample_ii_analysis_from_run64_calib,B2,2,2200.0,3200.0,2907,bin
sample_ii_analysis_from_run64_calib,B2,3,3200.0,4700.0,3294,bin
sample_ii_analysis_from_run64_calib,B2,4,4700.0,6800.0,1998,bin
sample_ii_analysis_from_run64_calib,B2,5,6800.0,10000.0,889,bin
sample_ii_analysis_from_run64_calib,B2,6,10000.0,15000.0,0,stave_fallback
sample_ii_analysis_from_run64_calib,B2,7,15000.0,25000.0,0,stave_fallback
sample_ii_analysis_from_run64_calib,B4,0,1000.0,1500.0,186,bin
sample_ii_analysis_from_run64_calib,B4,1,1500.0,2200.0,328,bin
sample_ii_analysis_from_run64_calib,B4,2,2200.0,3200.0,645,bin
sample_ii_analysis_from_run64_calib,B4,3,3200.0,4700.0,430,bin
sample_ii_analysis_from_run64_calib,B4,4,4700.0,6800.0,93,bin
sample_ii_analysis_from_run64_calib,B4,5,6800.0,10000.0,7,stave_fallback
sample_ii_analysis_from_run64_calib,B4,6,10000.0,15000.0,0,stave_fallback
sample_ii_analysis_from_run64_calib,B4,7,15000.0,25000.0,0,stave_fallback
sample_ii_analysis_from_run64_calib,B6,0,1000.0,1500.0,109,bin
sample_ii_analysis_from_run64_calib,B6,1,1500.0,2200.0,187,bin
sample_ii_analysis_from_run64_calib,B6,2,2200.0,3200.0,288,bin
sample_ii_analysis_from_run64_calib,B6,3,3200.0,4700.0,165,bin
sample_ii_analysis_from_run64_calib,B6,4,4700.0,6800.0,14,stave_fallback
sample_ii_analysis_from_run64_calib,B6,5,6800.0,10000.0,0,stave_fallback
sample_ii_analysis_from_run64_calib,B6,6,10000.0,15000.0,0,stave_fallback
sample_ii_analysis_from_run64_calib,B6,7,15000.0,25000.0,0,stave_fallback
sample_ii_analysis_from_run64_calib,B8,0,1000.0,1500.0,24,stave_fallback
sample_ii_analysis_from_run64_calib,B8,1,1500.0,2200.0,45,bin
sample_ii_analysis_from_run64_calib,B8,2,2200.0,3200.0,106,bin
sample_ii_analysis_from_run64_calib,B8,3,3200.0,4700.0,85,bin
sample_ii_analysis_from_run64_calib,B8,4,4700.0,6800.0,10,stave_fallback
sample_ii_analysis_from_run64_calib,B8,5,6800.0,10000.0,1,stave_fallback
sample_ii_analysis_from_run64_calib,B8,6,10000.0,15000.0,0,stave_fallback
sample_ii_analysis_from_run64_calib,B8,7,15000.0,25000.0,0,stave_fallback
