candidate,alpha,fold,sigma68_ns,n_pair_residuals,n_features,heldout_run
amp_only,0.0,0,2.1121381469353757,2997,6,58
amp_only,0.0,1,1.3627183983694213,3534,6,58
amp_only,0.0,2,1.3750005998962982,4710,6,58
amp_only,0.0,-1,1.6166190484003649,0,6,58
amp_only,0.01,0,2.1094853336862256,2997,6,58
amp_only,0.01,1,1.3629660442030622,3534,6,58
amp_only,0.01,2,1.375433424927048,4710,6,58
amp_only,0.01,-1,1.6159616009387785,0,6,58
amp_only,0.1,0,2.1069396537927316,2997,6,58
amp_only,0.1,1,1.3633954870649796,3534,6,58
amp_only,0.1,2,1.3747899597288828,4710,6,58
amp_only,0.1,-1,1.6150417001955315,0,6,58
amp_only,1.0,0,2.1109655096414413,2997,6,58
amp_only,1.0,1,1.379677454793276,3534,6,58
amp_only,1.0,2,1.4203893932851956,4710,6,58
amp_only,1.0,-1,1.6370107859066376,0,6,58
amp_only,10.0,0,2.1008577099035497,2997,6,58
amp_only,10.0,1,1.374014550682853,3534,6,58
amp_only,10.0,2,1.4439956764566717,4710,6,58
amp_only,10.0,-1,1.639622645681025,0,6,58
amp_only,100.0,0,2.070948021628114,2997,6,58
amp_only,100.0,1,1.312389246288859,3534,6,58
amp_only,100.0,2,1.3992276237939008,4710,6,58
amp_only,100.0,-1,1.5941882972369579,0,6,58
amp_rise_shape,0.0,0,2.0619749970082863,2997,14,58
amp_rise_shape,0.0,1,1.3731399195611864,3534,14,58
amp_rise_shape,0.0,2,1.4154505471212695,4710,14,58
amp_rise_shape,0.0,-1,1.6168551545635808,0,14,58
amp_rise_shape,0.01,0,2.0619575874994616,2997,14,58
amp_rise_shape,0.01,1,1.3716692838644091,3534,14,58
amp_rise_shape,0.01,2,1.4150749920356445,4710,14,58
amp_rise_shape,0.01,-1,1.6162339544665052,0,14,58
amp_rise_shape,0.1,0,2.058541278063389,2997,14,58
amp_rise_shape,0.1,1,1.3737419883201578,3534,14,58
amp_rise_shape,0.1,2,1.410897979567081,4710,14,58
amp_rise_shape,0.1,-1,1.6143937486502093,0,14,58
amp_rise_shape,1.0,0,2.0585647571513066,2997,14,58
amp_rise_shape,1.0,1,1.3755111993428815,3534,14,58
amp_rise_shape,1.0,2,1.423332898971222,4710,14,58
amp_rise_shape,1.0,-1,1.6191362851551367,0,14,58
amp_rise_shape,10.0,0,2.0501519244704083,2997,14,58
amp_rise_shape,10.0,1,1.3861459411651316,3534,14,58
amp_rise_shape,10.0,2,1.4433737300290885,4710,14,58
amp_rise_shape,10.0,-1,1.6265571985548763,0,14,58
amp_rise_shape,100.0,0,2.0329624740636767,2997,14,58
amp_rise_shape,100.0,1,1.3488171374342763,3534,14,58
amp_rise_shape,100.0,2,1.4242318913080747,4710,14,58
amp_rise_shape,100.0,-1,1.602003834268676,0,14,58
amp_rise_shape_by_stave,0.0,0,2.2224835322501426,2997,47,58
amp_rise_shape_by_stave,0.0,1,1.4782798528533754,3534,47,58
amp_rise_shape_by_stave,0.0,2,1.544319192472793,4710,47,58
amp_rise_shape_by_stave,0.0,-1,1.7483608591921038,0,47,58
amp_rise_shape_by_stave,0.01,0,2.2255974255132034,2997,47,58
amp_rise_shape_by_stave,0.01,1,1.479419972135286,3534,47,58
amp_rise_shape_by_stave,0.01,2,1.5613542355568137,4710,47,58
amp_rise_shape_by_stave,0.01,-1,1.7554572110684343,0,47,58
amp_rise_shape_by_stave,0.1,0,2.2283920615509536,2997,47,58
amp_rise_shape_by_stave,0.1,1,1.4763482706343953,3534,47,58
amp_rise_shape_by_stave,0.1,2,1.5694214963871587,4710,47,58
amp_rise_shape_by_stave,0.1,-1,1.7580539428575026,0,47,58
amp_rise_shape_by_stave,1.0,0,2.220819520283992,2997,47,58
amp_rise_shape_by_stave,1.0,1,1.4407521307380566,3534,47,58
amp_rise_shape_by_stave,1.0,2,1.5351435711164358,4710,47,58
amp_rise_shape_by_stave,1.0,-1,1.732238407379495,0,47,58
