run,group,raw_events,selected_pulses,events_with_selected,parent_control_events,parent_clean_dt_lt3,parent_gross_dt_gt50,parent_gross_dt_gt51,all_three_control_events,all_three_gross_dt_gt51
31,sample_i_calib,39990,27871,27078,0,0,0,0,0,0
32,sample_i_calib,41921,28240,27461,0,0,0,0,0,0
33,sample_i_calib,57173,48737,47911,0,0,0,0,0,0
34,sample_i_calib,39765,34118,33500,0,0,0,0,0,0
35,sample_i_calib,27786,11667,11141,0,0,0,0,0,0
36,sample_i_calib,21764,10391,9930,0,0,0,0,0,0
37,sample_i_calib,50513,24537,23174,0,0,0,0,0,0
39,sample_i_calib,30321,14218,13329,0,0,0,0,0,0
40,sample_i_calib,32613,14708,13763,0,0,0,0,0,0
41,sample_i_calib,33997,16146,15140,0,0,0,0,0,0
42,sample_i_calib,33972,18112,17132,0,0,0,0,0,0
44,sample_i_analysis,4294,2038,1912,0,0,0,0,0,0
45,sample_i_analysis,48181,24333,23013,0,0,0,0,0,0
46,sample_i_analysis,1441,687,677,0,0,0,0,0,0
47,sample_i_analysis,10970,5276,5161,0,0,0,0,0,0
48,sample_i_analysis,31713,14000,13185,0,0,0,0,0,0
49,sample_i_analysis,32354,14815,13937,0,0,0,0,0,0
50,sample_i_analysis,44804,35217,34257,0,0,0,0,0,0
51,sample_i_analysis,20569,14740,14295,0,0,0,0,0,0
52,sample_i_analysis,10005,7152,6933,0,0,0,0,0,0
53,sample_i_analysis,39612,32200,31386,0,0,0,0,0,0
54,sample_i_analysis,37413,30440,29665,0,0,0,0,0,0
55,sample_i_analysis,24416,17387,16841,0,0,0,0,0,0
56,sample_i_analysis,51823,40148,38932,0,0,0,0,0,0
57,sample_i_analysis,31284,13833,12939,0,0,0,0,0,0
58,sample_ii_analysis,34141,16781,15920,201,37,2,2,72,0
59,sample_ii_analysis,42303,21377,13863,2161,415,14,13,749,5
60,sample_ii_analysis,36074,17029,10140,2025,428,17,16,802,6
61,sample_ii_analysis,36535,18965,11287,2319,607,25,25,925,8
62,sample_ii_analysis,37584,19089,11912,2154,420,7,7,798,1
63,sample_ii_analysis,37030,18817,14781,1045,194,9,9,365,2
64,sample_ii_calib,35943,14630,12103,0,0,0,0,0,0
65,sample_ii_analysis,38424,13038,11904,251,54,0,0,63,0
