quantity,value
parent control events,10156.0
clean events D_t<3 ns,2155.0
tail events D_t>51 ns,72.0
extreme benchmark events,2227.0
matched benchmark events,1763.0
matched tail events,49.0
matched tail fraction,0.027793533749290982
