particle,energy_MeV,hit_x_cm,seed,dist_from_readout_cm,n_events,edep_scint_MeV_mean,edep_scint_MeV_sem,edep_scint_raw_MeV_mean,edep_scint_raw_MeV_sem,n_scint_generated_mean,n_scint_generated_sem,pe_sat_readout_mean,pe_sat_readout_sem,detected_readout_mean,detected_readout_sem,track_len_scint_mm_mean,track_len_scint_mm_sem
deuteron,2,0.0,101,25.0,500,0.30305478084201953,0.0005757238880451266,1.9709834407902997,0.0022382350476646807,3032.718,6.18531625921043,3.6856189676057216,0.08425706170033907,3.688,0.08435367855744255,0.04513041906509251,8.619674581235968e-05
deuteron,2,0.0,102,25.0,500,0.30366371006596365,3.7201778736432366e-05,1.973383552936782,0.0001607572706181744,3036.594,2.533721732874247,3.543791900414001,0.08162309562287523,3.546,0.08171366008501257,0.04522229185310855,5.878803052584973e-06
deuteron,5,0.0,101,25.0,500,1.2074625390058256,0.0005592481713843273,4.985758105942606,0.000516910654427324,12069.18,7.425678190790816,14.335487043336293,0.16467138543021026,14.366,0.1653322639868881,0.20794164385936767,0.00011580463747775592
deuteron,5,0.0,102,25.0,500,1.2069852540526596,0.0009560773508382164,4.986422464207726,0.00014718466080169864,12079.768,10.940354430370354,13.743644345127835,0.1714945199050724,13.772,0.1721723515471475,0.20785811052729666,0.00017230928435098248
proton,12,0.0,101,25.0,500,5.799681843625138,0.0024563209876931427,11.995917007755141,0.00043160312012867,57998.244,26.34352176923983,67.61202867306696,0.35342297747244783,68.264,0.3602445840267987,1.6248740357162506,0.001145355808072268
proton,12,0.0,102,25.0,500,5.803589282995031,0.0014817008619541793,11.996210502577421,9.310243712652616e-05,58031.02,18.372468489476137,67.49515829678069,0.3745731053640234,68.146,0.38171820178129084,1.6273155938660526,0.0009383091976857764
proton,20,0.0,101,25.0,500,11.416790195195256,0.023471383385744896,19.96792507208315,0.02055452796028663,114165.742,235.05601194689055,131.56028342929744,0.5633311966659715,134.048,0.5828368464494659,4.0636934552707125,0.008328510235359727
proton,20,0.0,102,25.0,500,11.406310956699508,0.025873535984682013,19.950017695886345,0.027582444556355508,114063.472,259.5474062490573,131.50078663110403,0.6063329931563624,133.99,0.6275663143906912,4.058336934904895,0.009085520780679767
proton,2,0.0,101,25.0,500,0.43818594739686867,0.00019329631966001363,1.9837403766374995,0.00014906842264978895,4379.688,3.3558953170141517,5.195531788162814,0.10145109187876267,5.2,0.10161028146106668,0.07089325111393557,3.7214898589835794e-05
proton,2,0.0,102,25.0,500,0.4384023439803068,6.983412126067066e-05,1.9837634991087194,0.000146828207565555,4394.008,3.0646095240780906,5.25544188822185,0.10164569968083358,5.26,0.1018112521390649,0.07093553760139466,1.4645875569939163e-05
proton,5,0.0,101,25.0,500,1.689866834773922,0.0003739574019400534,4.992101252187723,0.0001275651290693353,16905.526,6.77491206695925,19.683325650623555,0.1950988315977959,19.74,0.19617790788742287,0.34354869426763834,0.0001592337079108912
proton,5,0.0,102,25.0,500,1.688353371039413,0.0011443487573934285,4.990601780634535,0.0016253614627035858,16889.616,13.005986331259072,20.220260129750177,0.19770199014628528,20.28,0.19886249667840922,0.3431652330025088,0.0002738093132813273
proton,8,0.0,101,25.0,500,3.300513176484409,0.00687038605070402,7.982406352938868,0.012413924845239559,33008.102,69.16799113163815,38.08533907113333,0.28553440907675603,38.294,0.28856484078048966,0.785916659369513,0.0016767678102175996
proton,8,0.0,102,25.0,500,3.307446977201767,0.0018596690436905926,7.994685696636274,0.00010683909152686123,33075.214,20.10225025559769,38.663568158575316,0.27385669892276726,38.878,0.2768673745427083,0.787325339311451,0.0007350056415603223
