particle,metric,energy_MeV,value,uncertainty,within_file_sem,between_seed_sem,n_files
deuteron,pe_sat_readout_vs_KE,2.0,3.614705434009861,0.09202784792338763,0.05865488510225675,0.07091353359586039,2
deuteron,pe_sat_readout_vs_KE,5.0,14.039565694232063,0.31890626168187797,0.1188770746790315,0.295921349104228,2
deuteron,edep_scint_MeV_vs_KE,2.0,0.3033592454539915,0.00041941529758108225,0.0002884622885261266,0.00030446461197206065,2
deuteron,edep_scint_MeV_vs_KE,5.0,1.2072238965292426,0.0006030429803300004,0.0005538145939713204,0.00023864247658300639,2
proton,pe_sat_readout_vs_KE,2.0,5.225486838192332,0.07780326534934609,0.07180559223869566,0.029955050029518034,2
proton,pe_sat_readout_vs_KE,5.0,19.951792890186866,0.30226158616073073,0.13887911199909347,0.26846723956331076,2
proton,pe_sat_readout_vs_KE,8.0,38.37445361485433,0.3503128130241898,0.1978177130034665,0.289114543720995,2
proton,pe_sat_readout_vs_KE,12.0,67.55359348492382,0.2640414253108936,0.25749408355704895,0.058435188143135974,2
proton,pe_sat_readout_vs_KE,20.0,131.53053503020072,0.414886009863654,0.4138181169689979,0.02974839909670379,2
proton,edep_scint_MeV_vs_KE,2.0,0.4382941456885877,0.00014922110525163182,0.00010276219110931676,0.0001081982917190971,2
proton,edep_scint_MeV_vs_KE,5.0,1.6891101029066675,0.0009669476062186364,0.0006019506244314258,0.0007567318672545564,2
proton,edep_scint_MeV_vs_KE,8.0,3.303980076843088,0.00496835399870538,0.0035588120713859295,0.003466900358679137,2
proton,edep_scint_MeV_vs_KE,12.0,5.801635563310084,0.0024236868954282164,0.001434307344931442,0.0019537196849461758,2
proton,edep_scint_MeV_vs_KE,20.0,11.411550575947382,0.018235680285103244,0.01746672337898018,0.005239619247873861,2
