repeat,method,roc_auc,average_precision,balanced_accuracy,false_alarm_rate,stale_detection_rate
0,traditional_byte_hash,0.5,0.6243243243243243,0.5,1.0,1.0
0,traditional_content_replay,0.8268398268398268,0.8698958698958699,0.8268398268398268,0.0,0.6536796536796536
0,ridge,0.9218287707496341,0.9319560969292362,0.49567099567099565,1.0,0.9913419913419913
0,gradient_boosted_trees,0.9551527609081567,0.9533051218444477,0.8705035971223021,0.2589928057553957,1.0
0,mlp,0.9343174810800711,0.9424160759467236,0.8640100906287956,0.2589928057553957,0.987012987012987
0,1d_cnn,0.5718334423370395,0.7996868719968998,0.5,1.0,1.0
0,gated_residual_cnn,0.5748855461085677,0.8031023886893984,0.5,1.0,1.0
1,traditional_byte_hash,0.5,0.6243243243243243,0.5,1.0,1.0
1,traditional_content_replay,0.8246753246753247,0.8682695682695682,0.8246753246753247,0.0,0.6493506493506493
1,ridge,0.9140427917406334,0.9227196998261253,0.6406926406926408,0.0,0.2813852813852814
1,gradient_boosted_trees,0.9394562272260114,0.9396732299958106,0.8273381294964028,0.34532374100719426,1.0
1,mlp,0.9379613192562832,0.938711452287688,0.8273381294964028,0.34532374100719426,1.0
1,1d_cnn,0.5935407518141331,0.796238190117881,0.5,1.0,1.0
1,gated_residual_cnn,0.9364664112865551,0.9377454287260224,0.5,1.0,1.0
