method,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,average_precision_ci_low,average_precision_ci_high,balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,false_alarm_rate,false_alarm_rate_ci_low,false_alarm_rate_ci_high,stale_detection_rate,stale_detection_rate_ci_low,stale_detection_rate_ci_high
gradient_boosted_trees,0.9473044940670841,0.939848640568065,0.9547603475661031,0.9464891759201292,0.9400140272920265,0.9529643245482318,0.8489208633093525,0.8284172661870504,0.8694244604316546,0.302158273381295,0.26115107913669067,0.3431654676258993,1.0,1.0,1.0
mlp,0.9361394001681771,0.9344085770344763,0.937870223301878,0.9405637641172058,0.9388040678791639,0.9423234603552477,0.8456741100625993,0.8282549285247126,0.8630932916004859,0.302158273381295,0.26115107913669067,0.3431654676258993,0.9935064935064934,0.9873376623376623,0.9996753246753247
traditional_content_replay,0.8257575757575757,0.8247294372294373,0.8267857142857142,0.8690827190827191,0.8683102258102258,0.8698552123552123,0.8257575757575757,0.8247294372294373,0.8267857142857142,0.0,0.0,0.0,0.6515151515151515,0.6494588744588744,0.6535714285714286
ridge,0.9179357812451338,0.9142374412158585,0.921634121274409,0.9273378983776808,0.9229506097537031,0.9317251870016584,0.5681818181818182,0.4992965367965368,0.6370670995670996,0.5,0.025,0.975,0.6363636363636364,0.29913419913419914,0.9735930735930736
gated_residual_cnn,0.7556759786975613,0.5839250677380173,0.9274268896571054,0.8704239087077104,0.8064684646903141,0.9343793527251067,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
1d_cnn,0.5826870970755863,0.5723761250739668,0.5929980690772058,0.7979625310573903,0.7963244071648564,0.7996006549499244,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
traditional_byte_hash,0.5,0.5,0.5,0.6243243243243243,0.6243243243243243,0.6243243243243243,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0
