bin,bin_value,method,method_prefix,threshold,n_events,n_positive,n_accepted_positive,failure_rate,time_rms_ns,time_sigma68_ns,charge_fractional_bias,charge_fractional_res68,detection_ap,detection_auc
true_sep_sample,0.5,bounded_template_fit_score,trad,-0.2,70,70,54,0.22857142857142854,16.84014297912013,6.841376533593619,-0.002561825429407164,0.09907657055848496,,
true_sep_sample,0.5,bounded_template_fit_score,trad,-0.1,70,70,54,0.22857142857142854,16.84014297912013,6.841376533593619,-0.002561825429407164,0.09907657055848496,,
true_sep_sample,0.5,bounded_template_fit_score,trad,0.0,70,70,51,0.27142857142857146,17.286807980346172,7.48285806471334,-0.001664946538005448,0.0974066987819523,,
true_sep_sample,0.5,bounded_template_fit_score,trad,0.05,70,70,42,0.4,19.01210392121472,9.8945823677423,0.0059176727641318885,0.09536718261849472,,
true_sep_sample,0.5,bounded_template_fit_score,trad,0.1,70,70,36,0.48571428571428577,20.51392980006871,12.076766216316006,0.010689173716429076,0.10318271646001054,,
true_sep_sample,0.5,bounded_template_fit_score,trad,0.15,70,70,34,0.5142857142857142,21.1054697390372,12.365817094605438,0.016512231707544754,0.10804921092310182,,
true_sep_sample,0.5,bounded_template_fit_score,trad,0.2,70,70,30,0.5714285714285714,21.919453867201742,12.439325867146401,0.02235557800127131,0.1184267919878321,,
true_sep_sample,0.5,bounded_template_fit_score,trad,0.25,70,70,23,0.6714285714285715,20.334603995046187,15.8891261163853,0.02472342783452309,0.11777863271969188,,
true_sep_sample,0.5,bounded_template_fit_score,trad,0.3,70,70,22,0.6857142857142857,20.788142316369424,17.007198707695697,0.031760265726643123,0.12113172867739003,,
true_sep_sample,0.5,bounded_template_fit_score,trad,0.35,70,70,15,0.7857142857142857,19.808648895469286,20.517108700564744,0.02002853388085999,0.10461805963299622,,
true_sep_sample,0.5,bounded_template_fit_score,trad,0.4,70,70,12,0.8285714285714285,20.052971931298977,21.683540731098923,-0.021933110371396343,0.1268586592833711,,
true_sep_sample,0.5,bounded_template_fit_score,trad,0.45,70,70,11,0.8428571428571429,20.71899316994438,21.84222954159329,-0.0568621502770222,0.12648484172416688,,
true_sep_sample,0.5,bounded_template_fit_score,trad,0.5,70,70,10,0.8571428571428572,17.572790266030477,21.825258161175682,-0.05735347284757067,0.07999014884752581,,
true_sep_sample,0.5,bounded_template_fit_score,trad,0.6,70,70,7,0.9,16.681655920276313,19.23971552970182,-0.0670819629147744,0.0642556571767,,
true_sep_sample,0.5,bounded_template_fit_score,trad,0.7,70,70,6,0.9142857142857143,15.500413101307785,16.870945636017964,-0.08144087256901503,0.04093653526408298,,
true_sep_sample,0.5,bounded_template_fit_score,trad,0.8,70,70,2,0.9714285714285714,11.11268272037491,6.499999999999997,-0.04140192634451306,0.03699054199754495,,
