split,method,method_prefix,threshold,n_events,n_positive,n_accepted_positive,failure_rate,time_rms_ns,time_sigma68_ns,charge_fractional_bias,charge_fractional_res68,detection_ap,detection_auc
train,bounded_template_fit_score,trad,-0.2,2600,1300,1030,0.20769230769230773,13.827212320836868,7.387489387946088,-0.016695223957560415,0.08884309892832762,0.7656532177018711,0.7142384615384616
train,bounded_template_fit_score,trad,-0.1,2600,1300,1023,0.21307692307692305,13.796233682638041,7.416358255126671,-0.016911849287395107,0.08926299875738117,0.7656532177018711,0.7142384615384616
train,bounded_template_fit_score,trad,0.0,2600,1300,1003,0.2284615384615385,13.897200393620796,7.481918791440188,-0.016542969267627116,0.08897089138331282,0.7656532177018711,0.7142384615384616
train,bounded_template_fit_score,trad,0.05,2600,1300,927,0.28692307692307695,13.94930273410354,7.8536874570159245,-0.014786389067278187,0.08887083397165164,0.7656532177018711,0.7142384615384616
train,bounded_template_fit_score,trad,0.1,2600,1300,874,0.3276923076923077,14.155770198534421,8.104277100506852,-0.013990870681449549,0.090583566282702,0.7656532177018711,0.7142384615384616
train,bounded_template_fit_score,trad,0.15,2600,1300,839,0.35461538461538467,14.129100824888255,8.151280709926795,-0.014003467323507489,0.09077951693087633,0.7656532177018711,0.7142384615384616
train,bounded_template_fit_score,trad,0.2,2600,1300,812,0.3753846153846154,13.953589743832552,8.050543821639609,-0.013990870681449549,0.08942796283691068,0.7656532177018711,0.7142384615384616
train,bounded_template_fit_score,trad,0.25,2600,1300,789,0.3930769230769231,13.769066492715398,7.86950276055499,-0.014004179327589643,0.08906264298884896,0.7656532177018711,0.7142384615384616
train,bounded_template_fit_score,trad,0.3,2600,1300,756,0.41846153846153844,13.667584984601932,7.957262130410726,-0.01488096124867272,0.08914061496512377,0.7656532177018711,0.7142384615384616
train,bounded_template_fit_score,trad,0.35,2600,1300,727,0.4407692307692308,13.465720919983104,7.8938682810863785,-0.014382547562621974,0.0887399165330785,0.7656532177018711,0.7142384615384616
train,bounded_template_fit_score,trad,0.4,2600,1300,701,0.4607692307692308,13.226180429418886,7.905574119495767,-0.014786389067278187,0.08773446723988268,0.7656532177018711,0.7142384615384616
train,bounded_template_fit_score,trad,0.45,2600,1300,664,0.48923076923076925,12.866236891050788,7.6161120644777895,-0.01525825994959035,0.08695564915204089,0.7656532177018711,0.7142384615384616
train,bounded_template_fit_score,trad,0.5,2600,1300,636,0.5107692307692308,12.241467920412033,7.470764861658919,-0.015418819967380315,0.08507794751107173,0.7656532177018711,0.7142384615384616
train,bounded_template_fit_score,trad,0.6,2600,1300,551,0.5761538461538461,11.050086847177328,7.24289831185844,-0.016222942421095683,0.08244804686447332,0.7656532177018711,0.7142384615384616
train,bounded_template_fit_score,trad,0.7,2600,1300,452,0.6523076923076923,9.896541584259074,6.475973086199742,-0.017739602138823207,0.07791431392580211,0.7656532177018711,0.7142384615384616
train,bounded_template_fit_score,trad,0.8,2600,1300,326,0.7492307692307693,8.00708119686056,5.331444301438912,-0.022506548279185766,0.06718215992125887,0.7656532177018711,0.7142384615384616
train,compact_cnn_probability,ml,0.05,2600,1300,1298,0.0015384615384614886,9.673970997513555,8.01365027244068,0.022546118146314912,0.0841886940633526,0.9192896180182302,0.9104940828402366
train,compact_cnn_probability,ml,0.1,2600,1300,1293,0.005384615384615432,9.682581521692965,8.016902203315095,0.022487550011270147,0.0834413597507905,0.9192896180182302,0.9104940828402366
