method,s17b_truth_res68_frac,s14g_data_only_res68_frac,delta_res68_frac,s17b_truth_bias_frac,s14g_data_only_bias_frac,delta_bias_frac
geant4_birks_lookup,0.040243978309137673,0.040247678,-3.6996908623285196e-06,-0.02309863561869246,-0.0231054174,6.781781307540341e-06
gradient_boosted_trees,0.05321025022780252,0.0580915061,-0.004881255872197482,-0.017275408034420188,-0.0167978973,-0.0004775107344201883
physics_residual_mlp,0.05833800048343544,0.058682585,-0.0003445845165645639,0.004773796244462073,-0.0145969604,0.019370756644462073
ridge,0.090238886038165,0.0966917384,-0.0064528523618350014,-0.017116954966867694,-0.0236552039,0.0065382489331323075
1d_cnn,0.2514370452741083,0.1077539773,0.14368306797410832,-0.1841439508141008,-6.5609e-05,-0.1840783418141008
old_power_law,0.4623579585257029,0.462323774,3.418452570286279e-05,-0.2976286676105966,-0.2976044988,-2.4168810596580936e-05
mlp,0.7640562309263929,0.1832730998,0.5807831311263929,-0.7379777810540377,0.0205958663,-0.7585736473540377
