C,cv_mode,validation_brier,validation_auc,n,selected,heldout_run
0.1,group_kfold,0.2367858447033144,0.6374519529876026,11676,True,44
1.0,group_kfold,0.2374938379314001,0.6355231480650159,11676,False,44
10.0,group_kfold,0.23766925723548155,0.6350179876653661,11676,False,44
0.1,group_kfold,0.22710651456227574,0.6663242302942259,11676,True,45
1.0,group_kfold,0.22712784373004244,0.6645410730584523,11676,False,45
10.0,group_kfold,0.22721403510606797,0.6638974534657988,11676,False,45
0.1,stratified_row_fallback_one_low_run,0.22800850997413735,0.6695727172339939,10322,False,46
1.0,stratified_row_fallback_one_low_run,0.22791214299152426,0.6702400866859457,10322,False,46
10.0,stratified_row_fallback_one_low_run,0.2279091718797805,0.670295575662655,10322,True,46
0.1,stratified_row_fallback_one_low_run,0.22242435476009592,0.6933752828208558,1354,True,47
1.0,stratified_row_fallback_one_low_run,0.22258417155748988,0.6948982063103142,1354,False,47
10.0,stratified_row_fallback_one_low_run,0.22270125539916263,0.6949265702148457,1354,False,47
0.1,group_kfold,0.2283201858874865,0.664535351604196,11676,True,48
1.0,group_kfold,0.22858506969136078,0.6634511213522208,11676,False,48
10.0,group_kfold,0.22866709220297626,0.6629907643405171,11676,False,48
0.1,group_kfold,0.23122121606963078,0.6524147881812008,11676,True,49
1.0,group_kfold,0.2315639240202615,0.6496811360190954,11676,False,49
10.0,group_kfold,0.23168987886819165,0.6488671637935577,11676,False,49
0.1,group_kfold,0.24195129543353572,0.613062743169141,11676,True,50
1.0,group_kfold,0.24217921522640282,0.6139283258461502,11676,False,50
10.0,group_kfold,0.2422311040285726,0.6139175871166229,11676,False,50
0.1,group_kfold,0.23541103142251438,0.6408598271874352,11676,True,51
1.0,group_kfold,0.2356442694078197,0.6405686491769732,11676,False,51
10.0,group_kfold,0.2356999665993952,0.6403677527805973,11676,False,51
0.1,group_kfold,0.23405237255076583,0.6468157437051387,11676,True,52
1.0,group_kfold,0.23429115962291003,0.6468571729021129,11676,False,52
10.0,group_kfold,0.2343555415838388,0.6466993487870106,11676,False,52
0.1,group_kfold,0.23622580990928124,0.6381146734352351,11676,True,53
1.0,group_kfold,0.236366170766674,0.6383298294560652,11676,False,53
10.0,group_kfold,0.23640083288414995,0.6382593528759434,11676,False,53
0.1,group_kfold,0.23519455132920183,0.6402482477386172,11676,True,54
1.0,group_kfold,0.23526784401355694,0.6396173033677008,11676,False,54
10.0,group_kfold,0.2353166726135632,0.6392117842944849,11676,False,54
0.1,group_kfold,0.23423681590238307,0.6445174208599644,11676,True,55
1.0,group_kfold,0.23453814917646706,0.6426256146749022,11676,False,55
10.0,group_kfold,0.23466620737975727,0.6418651307114638,11676,False,55
0.1,group_kfold,0.23525198126607919,0.6381868811220295,11676,True,56
1.0,group_kfold,0.23529868061549394,0.6393506542585635,11676,False,56
10.0,group_kfold,0.23532681370032055,0.6393556128522524,11676,False,56
0.1,group_kfold,0.23170655948495628,0.652146877418048,11676,True,57
1.0,group_kfold,0.23196336274245308,0.6504639776653204,11676,False,57
10.0,group_kfold,0.23204520379138696,0.6499160677330988,11676,False,57
