direction,method,n_pair_residuals,n_heldout_runs,median_ns,sigma68_ns,sigma68_ci_low_ns,sigma68_ci_high_ns,full_rms_ns,full_rms_ci_low_ns,full_rms_ci_high_ns,tail_frac_abs_gt5ns,tail_ci_low,tail_ci_high
sample_i_to_sample_ii,traditional_lowering_strata,11460,7,1.2206218013853949,1.8860795243497503,1.7819979267331303,1.9970211677444143,5.797471234115554,4.3735290488529595,6.723641203253722,0.017102966841186736,0.012377400965636894,0.020792072056941717
sample_i_to_sample_ii,ml_lowering_rf,11460,7,1.504538184909599,2.130379955901263,1.9728343558429924,2.3385551042337194,5.844211767182366,4.71668087154146,6.714540868415458,0.04397905759162304,0.03306460644261918,0.053290134153232915
sample_i_to_sample_ii,ml_shuffled_target_control,11460,7,-2.933860914953552,3.1132319666252557,2.986294339286233,3.250103054568634,6.182849265706907,4.946123022994607,7.15276932818738,0.06090750436300175,0.05013718187875491,0.07716271727735927
sample_i_to_sample_ii,cfd20,11460,7,-2.8019233458297848,3.1502666141199165,3.0082594309294275,3.2810622701079475,6.204310730057545,4.963351034122313,7.400784635157112,0.05794066317626527,0.05021311197922154,0.0723073604795333
sample_i_to_sample_ii,adaptive_lowered_cfd20,11460,7,-3.4768085243784235,3.2202896663084957,3.0833278136923328,3.3499263399694033,7.058157940338799,6.011822901425657,8.396688484535845,0.10410122164048866,0.08403043479743671,0.12388696201008882
sample_ii_to_sample_i,traditional_lowering_strata,1950,14,1.2358669874443606,1.9639829860927465,1.8596278980649532,2.070256579545046,5.914545980605543,2.3065469508289422,9.365453356747157,0.015384615384615385,0.007241015777791664,0.025440438599180437
sample_ii_to_sample_i,ml_lowering_rf,1950,14,1.8270357510501363,2.6322214966551685,2.464002262449407,2.8179824861963834,5.965549153343981,3.565669487470907,8.777804486331606,0.09025641025641026,0.06697437497999296,0.11318742635281778
sample_ii_to_sample_i,cfd20,1950,14,-3.0178337019190664,3.1488127486147515,3.013025280648051,3.2538110136009184,6.28467460654097,3.0522361947877417,9.471680996307715,0.06871794871794872,0.05228311965811966,0.08283818373874324
sample_ii_to_sample_i,adaptive_lowered_cfd20,1950,14,-3.4795232900192197,3.1535541160319682,3.0422064716689685,3.2841097762847866,7.17637100569834,3.8554165655388384,11.330897637272091,0.09230769230769231,0.0728488662971042,0.11148239601950162
sample_ii_to_sample_i,ml_shuffled_target_control,1950,14,-2.95098874064432,3.2275559191809786,3.099760142716646,3.355156149050502,6.369464794133907,3.2438001716688785,10.224646899161415,0.0835897435897436,0.06513775871613699,0.09898885716763275
