run,weak_label_name,n
31,high_calibrated_range_energy_residual,240
31,low_calibrated_range_energy_residual,240
32,high_calibrated_range_energy_residual,240
32,low_calibrated_range_energy_residual,240
33,high_calibrated_range_energy_residual,240
33,low_calibrated_range_energy_residual,240
34,high_calibrated_range_energy_residual,240
34,low_calibrated_range_energy_residual,240
35,high_calibrated_range_energy_residual,240
35,low_calibrated_range_energy_residual,240
36,high_calibrated_range_energy_residual,240
36,low_calibrated_range_energy_residual,240
37,high_calibrated_range_energy_residual,240
37,low_calibrated_range_energy_residual,240
39,high_calibrated_range_energy_residual,240
39,low_calibrated_range_energy_residual,240
40,high_calibrated_range_energy_residual,240
40,low_calibrated_range_energy_residual,240
41,high_calibrated_range_energy_residual,240
41,low_calibrated_range_energy_residual,240
42,high_calibrated_range_energy_residual,240
42,low_calibrated_range_energy_residual,240
44,high_calibrated_range_energy_residual,240
44,low_calibrated_range_energy_residual,240
45,high_calibrated_range_energy_residual,240
45,low_calibrated_range_energy_residual,240
46,high_calibrated_range_energy_residual,167
46,low_calibrated_range_energy_residual,167
47,high_calibrated_range_energy_residual,240
47,low_calibrated_range_energy_residual,240
48,high_calibrated_range_energy_residual,240
48,low_calibrated_range_energy_residual,240
49,high_calibrated_range_energy_residual,240
49,low_calibrated_range_energy_residual,240
50,high_calibrated_range_energy_residual,240
50,low_calibrated_range_energy_residual,240
51,high_calibrated_range_energy_residual,240
51,low_calibrated_range_energy_residual,240
52,high_calibrated_range_energy_residual,240
52,low_calibrated_range_energy_residual,240
53,high_calibrated_range_energy_residual,240
53,low_calibrated_range_energy_residual,240
54,high_calibrated_range_energy_residual,240
54,low_calibrated_range_energy_residual,240
55,high_calibrated_range_energy_residual,240
55,low_calibrated_range_energy_residual,240
56,high_calibrated_range_energy_residual,240
56,low_calibrated_range_energy_residual,240
57,high_calibrated_range_energy_residual,240
57,low_calibrated_range_energy_residual,240
58,high_calibrated_range_energy_residual,240
58,low_calibrated_range_energy_residual,240
59,high_calibrated_range_energy_residual,240
59,low_calibrated_range_energy_residual,240
60,high_calibrated_range_energy_residual,240
60,low_calibrated_range_energy_residual,240
61,high_calibrated_range_energy_residual,240
61,low_calibrated_range_energy_residual,240
62,high_calibrated_range_energy_residual,240
62,low_calibrated_range_energy_residual,240
63,high_calibrated_range_energy_residual,240
63,low_calibrated_range_energy_residual,240
64,high_calibrated_range_energy_residual,240
64,low_calibrated_range_energy_residual,240
65,high_calibrated_range_energy_residual,240
65,low_calibrated_range_energy_residual,240
