method,family,n_events,n_runs,roc_auc,average_precision,brier,ece,purity_at_fixed_efficiency,bootstrap_valid,auc_ci,ap_ci,brier_ci,ece_ci,purity_ci
traditional_pid_ridge,head_to_head,15694,33,0.9861837052515559,0.9851952941720108,0.10199223973476276,0.2214628465052974,0.9897508672343109,400,"[0.9771771668962664, 0.9939909209535255]","[0.9771510005694544, 0.9924630338289347]","[0.09320612402745754, 0.11139429238098966]","[0.20706468230416367, 0.24696768649084497]","[0.9677730202452867, 0.9963515226080728]"
waveform_ridge,head_to_head,15694,33,0.9615155946426601,0.9323479307569189,0.11655936467978402,0.21962414859932056,0.9734801488833746,400,"[0.9464005075867301, 0.976361149299878]","[0.9179602955066579, 0.9476938888279842]","[0.1063156685815117, 0.12753332073596277]","[0.1938792877992773, 0.25529708571516685]","[0.9322577206159105, 0.9806331163989557]"
waveform_gradient_boosted_trees,head_to_head,15694,33,0.9872802062914434,0.9869474854176118,0.0937729441468811,0.2182271326248846,0.997933227344992,400,"[0.980334687556702, 0.9937880756001944]","[0.9808947963580588, 0.9936392812701625]","[0.0854054471987945, 0.10185026777279876]","[0.20693954667892084, 0.24290623180263582]","[0.9895741469892124, 0.9996814792103493]"
waveform_mlp,head_to_head,15694,33,0.9874229662039273,0.9875928256339586,0.0936285311372055,0.21844410906168124,0.9957170050761421,400,"[0.9805295961482268, 0.9940530342234511]","[0.9808785178459871, 0.9939370080358713]","[0.08464156821220453, 0.10254185512144919]","[0.20532031940699358, 0.24560928736402418]","[0.9870678079520033, 0.9982509212466514]"
waveform_1d_cnn,head_to_head,15694,33,0.9202012852241063,0.8890784620769676,0.13674577738393456,0.17628544354105638,0.856343792633015,400,"[0.8898026922096368, 0.9467318941663304]","[0.8537384811760582, 0.9186892212962782]","[0.12272378578322551, 0.15013969737436209]","[0.14555242755196635, 0.21017421675080367]","[0.813643747628871, 0.9132397488851028]"
nuisance_residual_hybrid_mlp,head_to_head,15694,33,0.996936764155314,0.9950614725321596,0.0804873843767922,0.24960985266880653,0.9982506361323156,400,"[0.9944271921391951, 0.9985580506409363]","[0.9921154584313817, 0.9976686130964231]","[0.0758828669360006, 0.08604227828944119]","[0.24052404371589753, 0.25896123860630255]","[0.9969822109275731, 0.9991969693482622]"
sentinel_charge_only_ridge,sentinel,15694,33,0.9837650449061572,0.9826599262290248,0.10622616311277738,0.22770168593022627,0.9886596314380217,400,"[0.974673447340322, 0.9917248971524067]","[0.9739629848836433, 0.990222371657976]","[0.09634631730145239, 0.11784633717594983]","[0.2098269483998848, 0.24586600369941655]","[0.9739764603465113, 0.9939897533458582]"
sentinel_depth_topology_only_ridge,sentinel,15694,33,0.8111851924523961,0.7427357244912223,0.21572335098205586,0.1251649138484281,0.746107215024367,400,"[0.7798860600478835, 0.8396164637218141]","[0.7123350443800923, 0.773021261490285]","[0.20913913928984215, 0.22292247653466196]","[0.09376073912377238, 0.15246476329448613]","[0.7151112537536503, 0.7767925617288101]"
sentinel_group_event_order_ridge,sentinel,15694,33,0.501366397744918,0.49244940194516595,0.2953380089463206,0.18501702164235645,0.5017184877307969,400,"[0.4919519463534628, 0.5114803094546049]","[0.4837555847727886, 0.5020359673286305]","[0.28714781029304376, 0.30457221844849647]","[0.16623738037527303, 0.20401385317555717]","[0.4979167116841509, 0.5080716630437356]"
sentinel_shuffled_label_gbt,sentinel,15694,33,0.4990581710955424,0.4822155333241555,0.2807138645378239,0.13305145141753189,0.5047412407585985,400,"[0.44570662009922984, 0.549255996677635]","[0.44706744517345876, 0.5189725164526573]","[0.26716138163122016, 0.29463593776686897]","[0.10233480992515667, 0.1754842739160377]","[0.49111427193900026, 0.522550525597762]"
