stave,mode,direction,log_amp_center,raw_bin_target_median_ns,fitted_target_ns,n_train_pulses,heldout_run
B4,monotonic,decreasing,7.20934025660291,-4.1767157118730935,-4.176715711873093,375,58
B4,monotonic,decreasing,7.442492722794441,-4.1767157118730935,-4.176715711873093,375,58
B4,monotonic,decreasing,7.566699129834954,-4.1767157118730935,-4.176715711873093,374,58
B4,monotonic,decreasing,7.6624678152002375,-4.1767157118730935,-4.176715711873093,377,58
B4,monotonic,decreasing,7.735870319952567,-4.1767157118730935,-4.176715711873093,373,58
B4,monotonic,decreasing,7.799753318287247,-4.1767157118730935,-4.176715711873093,374,58
B4,monotonic,decreasing,7.856319571406588,-4.1767157118730935,-4.176715711873093,375,58
B4,monotonic,decreasing,7.90479615628707,-4.1767157118730935,-4.176715711873093,374,58
B4,monotonic,decreasing,7.958314597258962,-4.1767157118730935,-4.176715711873093,376,58
B4,monotonic,decreasing,8.053410173983558,-4.1767157118730935,-4.176715711873093,374,58
B6,monotonic,decreasing,7.31986492980897,2.6428031039120583,2.6428031039120583,375,58
B6,monotonic,decreasing,7.511524648390866,2.6428031039120583,2.6428031039120583,375,58
B6,monotonic,decreasing,7.624008440796874,2.6428031039120583,2.6428031039120583,374,58
B6,monotonic,decreasing,7.708410667257367,2.6428031039120583,2.6428031039120583,375,58
B6,monotonic,decreasing,7.7780020723548855,2.6428031039120583,2.6428031039120583,375,58
B6,monotonic,decreasing,7.842376924160924,2.6428031039120583,2.6428031039120583,374,58
B6,monotonic,decreasing,7.893945138235959,2.6428031039120583,2.6428031039120583,375,58
B6,monotonic,decreasing,7.945289714218288,2.6428031039120583,2.6428031039120583,374,58
B6,monotonic,decreasing,8.00836557031292,2.6428031039120583,2.6428031039120583,375,58
B6,monotonic,decreasing,8.109224953089955,2.6428031039120583,2.6428031039120583,375,58
B8,monotonic,decreasing,7.483384924671615,1.5339126079610423,1.5339126079610423,376,58
B8,monotonic,decreasing,7.808424583525216,1.5339126079610423,1.5339126079610423,374,58
B8,monotonic,decreasing,7.93996063148724,1.5339126079610423,1.5339126079610423,376,58
B8,monotonic,decreasing,8.020188283289999,1.5339126079610423,1.5339126079610423,374,58
B8,monotonic,decreasing,8.08070170470295,1.5339126079610423,1.5339126079610423,375,58
B8,monotonic,decreasing,8.148879348938866,1.5339126079610423,1.5339126079610423,373,58
B8,monotonic,decreasing,8.227509107369233,1.5339126079610423,1.5339126079610423,376,58
B8,monotonic,decreasing,8.320813247749989,1.5339126079610423,1.5339126079610423,374,58
B8,monotonic,decreasing,8.422772615796745,1.4089126079610352,1.4089126079610355,374,58
B8,monotonic,decreasing,8.585879349204685,0.03391260796102813,0.03391260796102813,375,58
B4,monotonic,decreasing,7.248859627929912,-4.103631061835898,-4.103631061835898,383,59
B4,monotonic,decreasing,7.52388633487187,-4.103631061835898,-4.103631061835898,382,59
B4,monotonic,decreasing,7.650763471642,-4.103631061835898,-4.103631061835898,382,59
B4,monotonic,decreasing,7.748460023899697,-4.103631061835898,-4.103631061835898,385,59
B4,monotonic,decreasing,7.819435398298609,-4.103631061835898,-4.103631061835898,379,59
B4,monotonic,decreasing,7.88344635413774,-4.103631061835898,-4.103631061835898,382,59
B4,monotonic,decreasing,7.945112534910977,-4.103631061835898,-4.103631061835898,382,59
B4,monotonic,decreasing,8.044385631619772,-4.103631061835898,-4.103631061835898,382,59
B6,monotonic,decreasing,7.381190513529568,2.623326745052509,2.623326745052509,384,59
B6,monotonic,decreasing,7.594381242551817,2.623326745052509,2.623326745052509,381,59
B6,monotonic,decreasing,7.704586545421453,2.623326745052509,2.623326745052509,382,59
B6,monotonic,decreasing,7.796469243086058,2.623326745052509,2.623326745052509,382,59
B6,monotonic,decreasing,7.869974924499996,2.623326745052509,2.623326745052509,384,59
B6,monotonic,decreasing,7.929666492719976,2.623326745052509,2.623326745052509,381,59
B6,monotonic,decreasing,7.99799931797973,2.623326745052509,2.623326745052509,381,59
B6,monotonic,decreasing,8.100918953428218,2.623326745052509,2.623326745052509,382,59
B8,monotonic,decreasing,7.563979105437484,1.4803043167833891,1.4803043167833891,383,59
B8,monotonic,decreasing,7.884294051310025,1.4803043167833891,1.480304316783389,382,59
B8,monotonic,decreasing,8.004198550365407,1.4803043167833891,1.480304316783389,383,59
B8,monotonic,decreasing,8.082093278178382,1.4803043167833891,1.480304316783389,381,59
B8,monotonic,decreasing,8.169194782956401,1.4803043167833891,1.480304316783389,382,59
B8,monotonic,decreasing,8.271867933001559,1.4803043167833891,1.480304316783389,382,59
B8,monotonic,decreasing,8.394969057074718,1.4803043167833891,1.480304316783389,382,59
B8,monotonic,decreasing,8.57725287689874,-0.01969568321661086,-0.01969568321661086,382,59
B4,monotonic,decreasing,7.2287512304638515,-4.0304834643065846,-4.0304834643065846,377,60
B4,monotonic,decreasing,7.474204806496124,-4.0304834643065846,-4.0304834643065846,377,60
B4,monotonic,decreasing,7.600277256325889,-4.0304834643065846,-4.0304834643065846,378,60
B4,monotonic,decreasing,7.697802258537574,-4.0304834643065846,-4.0304834643065846,374,60
B4,monotonic,decreasing,7.780616447475241,-4.0304834643065846,-4.0304834643065846,376,60
B4,monotonic,decreasing,7.848543482456679,-4.0304834643065846,-4.0304834643065846,377,60
B4,monotonic,decreasing,7.916625192149385,-4.0304834643065846,-4.0304834643065846,376,60
B4,monotonic,decreasing,8.01565761455734,-4.0304834643065846,-4.0304834643065846,377,60
B6,monotonic,decreasing,7.328765598425764,2.461303500181728,2.461303500181728,377,60
B6,monotonic,decreasing,7.5322220302743474,2.461303500181728,2.461303500181728,376,60
B6,monotonic,decreasing,7.651595573857601,2.461303500181728,2.461303500181728,377,60
B6,monotonic,decreasing,7.742618988623265,2.461303500181728,2.461303500181728,376,60
B6,monotonic,decreasing,7.82344583078426,2.461303500181728,2.461303500181728,377,60
B6,monotonic,decreasing,7.890488963027181,2.461303500181728,2.461303500181728,376,60
B6,monotonic,decreasing,7.962067308753666,2.461303500181728,2.461303500181728,376,60
B6,monotonic,decreasing,8.070593539949519,2.461303500181728,2.461303500181728,377,60
B8,monotonic,decreasing,7.562940953254963,1.5691799641248565,1.5691799641248563,377,60
B8,monotonic,decreasing,7.86066718966506,1.5691799641248565,1.5691799641248563,376,60
B8,monotonic,decreasing,7.982757702011113,1.5691799641248565,1.5691799641248563,377,60
