stave,n_train_pulses,template_cfd20_sample,template_peak_sample,template_area
B2,704,2.606694298983582,5,9.203515083509364
B4,700,3.010032554466344,6,10.66657297127056
B6,667,3.73082847205697,6,9.717316251969232
B8,470,4.260823303838876,8,9.231175678526736
