sideband,value,method,pileup_ap,pileup_auc,pid_auc,pid_efficiency,pid_purity,pid_balanced_accuracy,time_bias_ns,time_sigma68_ns,late_tail_rate_abs_gt_15ns,pileup_miss_rate,false_split_rate,energy_fractional_bias,energy_fractional_sigma68,n_events,n_positive
energy_sideband,high_edep,1d_cnn,0.8152092862918986,0.8155371900826446,0.7251157407407407,0.6964285714285714,0.6554621848739496,0.6583994708994709,-0.6080843628863875,10.950464422172871,0.18253968253968253,0.42727272727272725,0.13636363636363635,-0.04899850463867188,0.09311407775878906,220,110
energy_sideband,high_edep,deltaE_over_E_likelihood_template,0.6532003857548754,0.6197933884297521,0.7344576719576721,0.875,0.6758620689655173,0.7199074074074074,1.6383203996849627,10.156665663074635,0.24242424242424243,0.7,0.09090909090909091,0.016680077193629815,0.1039228139361191,220,110
energy_sideband,high_edep,gradient_boosted_trees,0.8763433238687164,0.8444628099173555,0.8312665343915344,0.8392857142857143,0.7230769230769231,0.7529761904761905,1.7543217300394298,7.331167744380531,0.09259259259259259,0.2636363636363636,0.21818181818181817,-0.04023126685257262,0.09296634888638064,220,110
energy_sideband,high_edep,joint_sequence_transformer,0.815471697784116,0.8175206611570248,0.4932208994708995,0.125,0.5384615384615384,0.5069444444444444,2.554483958849354,12.007905357413389,0.2191780821917808,0.33636363636363636,0.21818181818181817,0.0003741788611048378,0.125455892956049,220,110
energy_sideband,high_edep,mlp,0.8292972562850214,0.8333884297520661,0.6943617724867724,0.7053571428571429,0.6220472440944882,0.6304563492063493,2.1182173593470743,11.40127600229539,0.22666666666666666,0.3181818181818182,0.24545454545454545,-0.036882150343212516,0.11738156411126115,220,110
energy_sideband,high_edep,ridge,0.7735997402232258,0.7985950413223141,0.7464451058201058,0.7232142857142857,0.6532258064516129,0.6625330687830688,1.768142190330253,9.342961179641105,0.14189189189189189,0.32727272727272727,0.17272727272727273,-0.048935481588700605,0.156861590008045,220,110
energy_sideband,high_edep,template_residual_boosted_stack_new,0.8733556370290959,0.844214876033058,0.8418485449735451,0.8928571428571429,0.7407407407407407,0.7843915343915344,1.428691282957213,7.580137740361704,0.08928571428571429,0.23636363636363636,0.2,-0.04517615216090428,0.1014767313862921,220,110
energy_sideband,low_edep,1d_cnn,0.7833767151117658,0.793206050086784,0.8050969435272204,0.5698924731182796,0.8548387096774194,0.7495131656929981,-2.965438101597533,11.77887163482993,0.1953125,0.41284403669724773,0.15315315315315314,-0.02888682847563512,0.09471626777828904,220,109
energy_sideband,low_edep,deltaE_over_E_likelihood_template,0.6610487275858454,0.6269526407141086,0.735500804334942,0.4946236559139785,0.92,0.7315637964609263,1.8864715001497423,6.612752044445318,0.18421052631578946,0.6513761467889908,0.14414414414414414,-0.0028592496072749824,0.07247075373145187,220,109
energy_sideband,low_edep,gradient_boosted_trees,0.77591918407857,0.7740309116455906,0.9167725002116671,0.8602150537634409,0.8421052631578947,0.8710524087714842,1.2981738837891044,9.263717016753425,0.12318840579710146,0.3669724770642202,0.25225225225225223,0.020703768121245598,0.09762705318680823,220,109
energy_sideband,low_edep,joint_sequence_transformer,0.7967352097369731,0.7834531779485908,0.5622724578782491,0.12903225806451613,0.5454545454545454,0.5251460502921006,3.698283128560127,12.732605838584913,0.2328767123287671,0.3302752293577982,0.23423423423423423,0.026317662188608572,0.1255847013687827,220,109
energy_sideband,low_edep,mlp,0.774580967293937,0.7798165137614679,0.8318516637033274,0.5053763440860215,0.7966101694915254,0.7054440775548217,-2.2673180389147607,10.166594935795757,0.15671641791044777,0.3853211009174312,0.1891891891891892,-0.03607074818493385,0.09361369548281287,220,109
energy_sideband,low_edep,ridge,0.7843407458636048,0.7927927927927928,0.9170265007196681,0.7741935483870968,0.8470588235294118,0.8359156718313436,-0.21329606501076626,9.743665142449649,0.13194444444444445,0.3394495412844037,0.1891891891891892,0.005347739407499471,0.08939476482573327,220,109
energy_sideband,low_edep,template_residual_boosted_stack_new,0.7936031679855114,0.7811389371022399,0.9163914994496656,0.8279569892473119,0.8279569892473119,0.8509863686394039,0.19824713525376403,8.471823593899497,0.14393939393939395,0.3944954128440367,0.25225225225225223,0.013761098009210646,0.08489499291196503,220,109
energy_sideband,mid_edep,1d_cnn,0.8083861167444117,0.8031242251425738,0.8794144404929286,0.6017699115044248,0.918918918918919,0.7728475725746423,-1.9951600603913722,10.841841889318783,0.1984126984126984,0.43243243243243246,0.14678899082568808,-0.054053674683379266,0.09278131275086052,220,111
energy_sideband,mid_edep,deltaE_over_E_likelihood_template,0.6533248058513623,0.609389205719481,0.896038375651311,0.7876106194690266,0.898989898989899,0.8470763377718964,-0.0343882796080619,10.029487285248944,0.21794871794871795,0.6486486486486487,0.12844036697247707,-0.01395551834246274,0.14186616434991853,220,111
