stratum,value,method,detection_ap,detection_auc,time_bias_ns,time_sigma68_ns,late_tail_rate_abs_gt_15ns,pileup_miss_rate,false_split_rate,energy_fractional_bias,energy_fractional_sigma68,n_events,n_positive
spacing_bin,"(-0.001, 10.0]",1d_cnn,,,-1.7916116653009961,12.329178140503132,0.20103092783505155,0.2706766917293233,,0.04706920132183308,0.077306025725634,133,133
spacing_bin,"(10.0, 25.0]",1d_cnn,,,-1.9132885334041116,8.127644792379414,0.11290322580645161,0.27058823529411763,,0.018280198182133493,0.06982165497552897,85,85
spacing_bin,"(25.0, 45.0]",1d_cnn,,,-4.264175937239436,8.301884899958461,0.11764705882352941,0.23880597014925373,,-0.016927665965070494,0.08143179718382249,67,67
spacing_bin,"(45.0, 70.0]",1d_cnn,,,-4.79408404203153,10.390402693474257,0.2459016393442623,0.18666666666666668,,-0.08414861211713576,0.06317145988003235,75,75
spacing_bin,"(-0.001, 10.0]",gradient_boosted_trees,,,-0.0344427554364124,6.20188276007455,0.09259259259259259,0.39097744360902253,,0.022291653877249525,0.04821350975973167,133,133
spacing_bin,"(10.0, 25.0]",gradient_boosted_trees,,,-0.751763297590009,7.671328457145547,0.058823529411764705,0.4,,0.006894135449608094,0.07479311929594944,85,85
spacing_bin,"(25.0, 45.0]",gradient_boosted_trees,,,-1.542164858231203,8.101712998256154,0.08163265306122448,0.26865671641791045,,0.0013594410451374574,0.05545947472708161,67,67
spacing_bin,"(45.0, 70.0]",gradient_boosted_trees,,,-1.869487426789349,9.550906241265448,0.1721311475409836,0.18666666666666668,,-0.04322761523427419,0.06883368098921622,75,75
spacing_bin,"(-0.001, 10.0]",mlp,,,1.0365392837826093,10.494627162356135,0.1511627906976744,0.6766917293233082,,0.08691102245026426,0.12871220394980387,133,133
spacing_bin,"(10.0, 25.0]",mlp,,,-1.0189527617571148,11.445949314921474,0.25,0.6470588235294118,,0.021526716876766827,0.11445791338219391,85,85
spacing_bin,"(25.0, 45.0]",mlp,,,-4.8381847240234865,12.465937102962021,0.3103448275862069,0.5671641791044776,,0.047104130124361265,0.12797684123735284,67,67
spacing_bin,"(45.0, 70.0]",mlp,,,-0.9698685580130917,13.439886981456517,0.2976190476190476,0.44,,-0.044481759367739376,0.12911583153068268,75,75
spacing_bin,"(-0.001, 10.0]",ridge,,,-0.8573289563033626,9.356948140680405,0.15789473684210525,0.2857142857142857,,0.042173380454311904,0.05959581890880088,133,133
spacing_bin,"(10.0, 25.0]",ridge,,,-1.1718001763894836,7.1570969552912675,0.1111111111111111,0.36470588235294116,,0.017145359669259314,0.06426971033015773,85,85
spacing_bin,"(25.0, 45.0]",ridge,,,-2.9803318350216657,9.479051910624714,0.11702127659574468,0.29850746268656714,,0.0033671246369295902,0.06645541156446585,67,67
spacing_bin,"(45.0, 70.0]",ridge,,,-5.7243414683796745,13.766884895009245,0.25,0.22666666666666666,,-0.049364647713252545,0.06259978372709174,75,75
spacing_bin,"(-0.001, 10.0]",template_residual_boosted_stack_new,,,-0.04456309627376864,6.850602492687164,0.07317073170731707,0.38345864661654133,,0.012381122134507892,0.05369251417743434,133,133
spacing_bin,"(10.0, 25.0]",template_residual_boosted_stack_new,,,-0.6611259877668063,7.38584487745752,0.0625,0.43529411764705883,,0.005537319343256757,0.08239293889248986,85,85
spacing_bin,"(25.0, 45.0]",template_residual_boosted_stack_new,,,-1.3892514094693187,8.041644496080327,0.1,0.2537313432835821,,-0.0003316169203787253,0.059271183947177244,67,67
spacing_bin,"(45.0, 70.0]",template_residual_boosted_stack_new,,,-2.11515993839249,8.493806335016869,0.1557377049180328,0.18666666666666668,,-0.03214605197194096,0.05951237491182035,75,75
spacing_bin,"(-0.001, 10.0]",tiny_sequence_transformer,,,-9.012546448647495,9.45721734182185,0.30357142857142855,0.3684210526315789,,0.06968008312414681,0.13200627424921607,133,133
spacing_bin,"(10.0, 25.0]",tiny_sequence_transformer,,,-11.82163887238647,11.11271317256339,0.4166666666666667,0.36470588235294116,,0.02050676681853703,0.11696576712043577,85,85
spacing_bin,"(25.0, 45.0]",tiny_sequence_transformer,,,-11.573810498033605,17.586585930015914,0.4732142857142857,0.16417910447761194,,-0.018286601425001266,0.10122481128045437,67,67
spacing_bin,"(45.0, 70.0]",tiny_sequence_transformer,,,-8.579197794620699,18.932727343000124,0.4274193548387097,0.17333333333333334,,-0.15156451412565544,0.1125284681435859,75,75
spacing_bin,"(-0.001, 10.0]",two_pulse_template_cfd_baseline,,,1.8018549913841797,17.591003568808006,0.36363636363636365,0.7518796992481203,,0.023580573174457067,0.06856467806850855,133,133
spacing_bin,"(10.0, 25.0]",two_pulse_template_cfd_baseline,,,1.6882442775030881,13.66612087745305,0.21428571428571427,0.6705882352941176,,0.058688788202420614,0.08333084484786954,85,85
