sideband,value,method,n,timing_pull_sigma68,pileup_miss_rate,false_split_rate,energy_fractional_sigma68,pid_balanced_accuracy
amplitude_stratum,high_amplitude,1d_cnn,301,9.862300287933303,0.4264705882352941,0.18181818181818182,0.15285184326171872,0.7143172584349056
amplitude_stratum,high_amplitude,gradient_boosted_trees,289,5.354873752325173,0.28225806451612906,0.17575757575757575,0.10703495902601275,0.8019925280199253
amplitude_stratum,high_amplitude,joint_sequence_transformer,301,8.760659684614962,0.375,0.22424242424242424,0.1513501041467522,0.5346891008655714
amplitude_stratum,high_amplitude,mlp,301,8.761557309106127,0.3602941176470588,0.20606060606060606,0.16658923151896277,0.7560280869104399
amplitude_stratum,high_amplitude,template_residual_boosted_stack_new,301,5.262980019384143,0.29411764705882354,0.1696969696969697,0.10989264732421607,0.7961270093623035
amplitude_stratum,low_amplitude,1d_cnn,213,9.13475700155269,0.3274336283185841,0.22,0.10058673095892799,0.812399427856249
amplitude_stratum,low_amplitude,deltaE_over_E_likelihood_template,214,9.38531146490772,0.6228070175438597,0.1,0.10517139075944255,0.8059397163120567
amplitude_stratum,low_amplitude,gradient_boosted_trees,214,5.993150040082344,0.3684210526315789,0.2,0.09174825741439627,0.9002659574468085
amplitude_stratum,low_amplitude,joint_sequence_transformer,213,9.8362851690116,0.2920353982300885,0.25,0.12396685291331978,0.5651260504201681
amplitude_stratum,low_amplitude,mlp,213,12.567919214750603,0.48672566371681414,0.25,0.13855460535206837,0.8837833005542642
amplitude_stratum,low_amplitude,ridge,214,8.25712839897101,0.40350877192982454,0.19,0.09015120577974872,0.8991134751773049
amplitude_stratum,low_amplitude,template_residual_boosted_stack_new,213,5.570730826923047,0.30973451327433627,0.22,0.09200662107525423,0.9072948328267477
amplitude_stratum,mid_amplitude,1d_cnn,126,9.861448618637002,0.2535211267605634,0.18181818181818182,0.14904679331587115,0.7698412698412698
amplitude_stratum,mid_amplitude,deltaE_over_E_likelihood_template,426,7.962462814541393,0.6650485436893204,0.10454545454545454,0.11517390278237034,0.7862433862433862
amplitude_stratum,mid_amplitude,gradient_boosted_trees,137,7.818785124899914,0.21951219512195122,0.2545454545454545,0.0946833785590201,0.955543710021322
amplitude_stratum,mid_amplitude,joint_sequence_transformer,126,8.681691891845775,0.28169014084507044,0.2545454545454545,0.13690986722296072,0.40476190476190477
amplitude_stratum,mid_amplitude,mlp,126,10.100009980381204,0.22535211267605634,0.2,0.16831005769483307,0.7698412698412698
amplitude_stratum,mid_amplitude,ridge,426,7.145413224098182,0.2524271844660194,0.22272727272727272,0.12192315067238224,0.7006613756613757
amplitude_stratum,mid_amplitude,template_residual_boosted_stack_new,126,7.212664162787904,0.19718309859154928,0.2909090909090909,0.1049991167102593,0.9682539682539681
curvature_band,high_curvature,1d_cnn,213,9.220090317005695,0.11258278145695365,0.4838709677419355,0.12194555094142101,0.7196608373078961
curvature_band,high_curvature,deltaE_over_E_likelihood_template,213,8.583090830047283,0.4304635761589404,0.27419354838709675,0.11622484752655174,0.7729199788023318
curvature_band,high_curvature,gradient_boosted_trees,213,4.908536796808555,0.12582781456953643,0.3870967741935484,0.09896901691929322,0.8610227874933757
curvature_band,high_curvature,joint_sequence_transformer,214,8.861876869201907,0.1513157894736842,0.45161290322580644,0.13439450614638332,0.5005252100840336
curvature_band,high_curvature,mlp,213,9.828451597448048,0.11920529801324503,0.6129032258064516,0.1890083951298353,0.7901430842607313
curvature_band,high_curvature,ridge,213,7.233544307048064,0.08609271523178808,0.4032258064516129,0.10655758762940468,0.7454954954954955
curvature_band,high_curvature,template_residual_boosted_stack_new,214,4.560273582792555,0.09868421052631579,0.4032258064516129,0.09820078196333815,0.8756127450980392
curvature_band,low_curvature,1d_cnn,213,8.912643084793297,0.896551724137931,0.01935483870967742,0.15672074424379356,0.749732905982906
curvature_band,low_curvature,deltaE_over_E_likelihood_template,214,6.916417255433446,0.9152542372881356,0.025806451612903226,0.1829254555278516,0.7736581920903955
curvature_band,low_curvature,gradient_boosted_trees,214,8.776818676862622,0.6779661016949152,0.07096774193548387,0.1411981005276948,0.8504590395480226
curvature_band,low_curvature,joint_sequence_transformer,213,12.469140888340057,0.7586206896551724,0.05161290322580645,0.14938544972130718,0.5078792735042735
curvature_band,low_curvature,mlp,213,14.963120170524794,0.9655172413793104,0.01935483870967742,0.1933499127280072,0.7899305555555556
curvature_band,low_curvature,ridge,214,7.667786077277368,0.7796610169491526,0.08387096774193549,0.14935276592957059,0.7609463276836159
curvature_band,low_curvature,template_residual_boosted_stack_new,213,9.334272930627893,0.6724137931034483,0.07741935483870968,0.12842488299272073,0.8514957264957265
curvature_band,mid_curvature,1d_cnn,214,7.6859570299145705,0.3963963963963964,0.2815533980582524,0.14041400365792164,0.8128225312691332
curvature_band,mid_curvature,deltaE_over_E_likelihood_template,213,8.209387448161316,0.8090909090909091,0.11650485436893204,0.10032610203853361,0.8456751985878199
curvature_band,mid_curvature,gradient_boosted_trees,213,5.524828252360906,0.32727272727272727,0.27184466019417475,0.0988433118932169,0.8929832303618712
curvature_band,mid_curvature,joint_sequence_transformer,213,7.9835693001568275,0.33636363636363636,0.3883495145631068,0.12778806618847824,0.5068892421833598
