method,pid_proxy,pedestal_bin,pileup_bin,n_pair_residuals,timing_sigma68_ns,ci_low,ci_high
cfd20,low_dE_proxy,0,mild_pileup,90,3.4451543270349516,1.4180046319961566,3.6363988179206865
cfd20,mid_dE_proxy,0,mild_pileup,297,3.236962436275481,2.6014505864381796,3.3505060106515816
trapezoid_template,low_dE_proxy,0,mild_pileup,90,2.391440474814349,2.023218125104904,2.585378710953597
trapezoid_template,mid_dE_proxy,0,mild_pileup,297,2.550115286658232,2.0232181251049006,2.8130207289353573
cfd_spline_matched_template_residual,low_dE_proxy,0,mild_pileup,90,1.5957224068301021,1.3147211298558175,1.6205400583130367
cfd_spline_matched_template_residual,mid_dE_proxy,0,mild_pileup,297,1.5735184959354815,1.3971622005260707,1.7574243807287253
ridge,low_dE_proxy,0,mild_pileup,90,1.6105701619768493,1.1259708659146384,2.0855480691642265
ridge,mid_dE_proxy,0,mild_pileup,297,1.5449343678605283,1.3260322125610031,1.6418773630673678
gradient_boosted_trees,low_dE_proxy,0,mild_pileup,90,0.9853923734457785,0.9666018957252049,1.3744190375673035
gradient_boosted_trees,mid_dE_proxy,0,mild_pileup,297,1.3432663031909222,1.1331557648389108,1.5090145142138383
mlp,low_dE_proxy,0,mild_pileup,90,1.2056396306723944,0.9605392925789111,1.2230448668287657
mlp,mid_dE_proxy,0,mild_pileup,297,1.523457287426011,1.3354345026459675,1.6208642310330816
cnn_1d,low_dE_proxy,0,mild_pileup,90,1.3277373707294462,1.171166248064041,1.4745026549239881
cnn_1d,mid_dE_proxy,0,mild_pileup,297,1.6658259104098687,1.4729848096105371,1.8053636343162331
compact_waveform_transformer,low_dE_proxy,0,mild_pileup,90,1.1621242095597057,0.8350144927501703,1.2490534301380802
compact_waveform_transformer,mid_dE_proxy,0,mild_pileup,297,1.6800348318783482,1.5092792843099525,1.8044215166931181
saturation_phase_fusion_new,low_dE_proxy,0,mild_pileup,90,1.0706213151432158,0.9426360425825351,1.3833200800109908
saturation_phase_fusion_new,mid_dE_proxy,0,mild_pileup,297,1.3750620555368045,1.2822696542915935,1.4728505727817343
