method,hyperparameter,train_residual_sigma68_ns
cfd_spline_matched_template_residual,cubic hand-feature splines + ridge(alpha=5),1.0678913315896903
ridge,alpha=0.1,1.1479501072368987
ridge,alpha=1,1.1477035251939007
ridge,alpha=10,1.1379095065742764
gradient_boosted_trees,max_iter=160,0.8780846264585405
mlp,"hidden=[64, 32]",0.9405547284565052
cnn_1d,epochs=4,
compact_waveform_transformer,"1 layer, d=24, heads=2",
saturation_phase_fusion_new,0.38 HGB + 0.27 ExtraTrees + 0.20 CNN + 0.15 transformer,0.5154442755592943
