run,baseline_samples,selected_pulses,window
31,"0,1,2",27849,samples_0_2
32,"0,1,2",28223,samples_0_2
33,"0,1,2",48736,samples_0_2
34,"0,1,2",34129,samples_0_2
35,"0,1,2",11672,samples_0_2
36,"0,1,2",10377,samples_0_2
37,"0,1,2",24422,samples_0_2
39,"0,1,2",14192,samples_0_2
40,"0,1,2",14673,samples_0_2
41,"0,1,2",16071,samples_0_2
42,"0,1,2",18083,samples_0_2
44,"0,1,2",2011,samples_0_2
45,"0,1,2",24285,samples_0_2
46,"0,1,2",684,samples_0_2
47,"0,1,2",5275,samples_0_2
48,"0,1,2",13984,samples_0_2
49,"0,1,2",14773,samples_0_2
50,"0,1,2",35222,samples_0_2
51,"0,1,2",14736,samples_0_2
52,"0,1,2",7153,samples_0_2
53,"0,1,2",32185,samples_0_2
54,"0,1,2",30449,samples_0_2
55,"0,1,2",17355,samples_0_2
56,"0,1,2",40148,samples_0_2
57,"0,1,2",13795,samples_0_2
58,"0,1,2",16755,samples_0_2
59,"0,1,2",21755,samples_0_2
60,"0,1,2",17392,samples_0_2
61,"0,1,2",19352,samples_0_2
62,"0,1,2",19479,samples_0_2
63,"0,1,2",19050,samples_0_2
64,"0,1,2",14784,samples_0_2
65,"0,1,2",13141,samples_0_2
31,"0,1,2,3",27871,samples_0_3
32,"0,1,2,3",28240,samples_0_3
33,"0,1,2,3",48737,samples_0_3
34,"0,1,2,3",34118,samples_0_3
35,"0,1,2,3",11667,samples_0_3
36,"0,1,2,3",10391,samples_0_3
37,"0,1,2,3",24537,samples_0_3
39,"0,1,2,3",14218,samples_0_3
40,"0,1,2,3",14708,samples_0_3
41,"0,1,2,3",16146,samples_0_3
42,"0,1,2,3",18112,samples_0_3
44,"0,1,2,3",2038,samples_0_3
45,"0,1,2,3",24333,samples_0_3
46,"0,1,2,3",687,samples_0_3
47,"0,1,2,3",5276,samples_0_3
48,"0,1,2,3",14000,samples_0_3
49,"0,1,2,3",14815,samples_0_3
50,"0,1,2,3",35217,samples_0_3
51,"0,1,2,3",14740,samples_0_3
52,"0,1,2,3",7152,samples_0_3
53,"0,1,2,3",32200,samples_0_3
54,"0,1,2,3",30440,samples_0_3
55,"0,1,2,3",17387,samples_0_3
56,"0,1,2,3",40148,samples_0_3
57,"0,1,2,3",13833,samples_0_3
58,"0,1,2,3",16781,samples_0_3
59,"0,1,2,3",21377,samples_0_3
60,"0,1,2,3",17029,samples_0_3
61,"0,1,2,3",18965,samples_0_3
62,"0,1,2,3",19089,samples_0_3
63,"0,1,2,3",18817,samples_0_3
64,"0,1,2,3",14630,samples_0_3
65,"0,1,2,3",13038,samples_0_3
31,"1,2,3,4",27683,samples_1_4
32,"1,2,3,4",28063,samples_1_4
33,"1,2,3,4",48679,samples_1_4
34,"1,2,3,4",34069,samples_1_4
35,"1,2,3,4",11489,samples_1_4
36,"1,2,3,4",10266,samples_1_4
37,"1,2,3,4",24188,samples_1_4
39,"1,2,3,4",13983,samples_1_4
40,"1,2,3,4",14466,samples_1_4
41,"1,2,3,4",15947,samples_1_4
42,"1,2,3,4",17903,samples_1_4
44,"1,2,3,4",2018,samples_1_4
45,"1,2,3,4",24011,samples_1_4
46,"1,2,3,4",683,samples_1_4
47,"1,2,3,4",5225,samples_1_4
48,"1,2,3,4",13825,samples_1_4
49,"1,2,3,4",14544,samples_1_4
50,"1,2,3,4",35145,samples_1_4
51,"1,2,3,4",14661,samples_1_4
52,"1,2,3,4",7146,samples_1_4
53,"1,2,3,4",32116,samples_1_4
54,"1,2,3,4",30373,samples_1_4
55,"1,2,3,4",17320,samples_1_4
56,"1,2,3,4",40035,samples_1_4
57,"1,2,3,4",13619,samples_1_4
58,"1,2,3,4",16772,samples_1_4
59,"1,2,3,4",20069,samples_1_4
60,"1,2,3,4",16021,samples_1_4
61,"1,2,3,4",17842,samples_1_4
62,"1,2,3,4",17915,samples_1_4
63,"1,2,3,4",18036,samples_1_4
64,"1,2,3,4",14054,samples_1_4
65,"1,2,3,4",12673,samples_1_4
