method,mask,n_pulses,n_pair_residuals,timing_sigma68_ns,ci_low,ci_high
trapezoid_template,amplitude_adc_lt_3600,29549,855,2.3135222472615515,2.023217678070065,2.544498862407419
ridge,amplitude_adc_lt_3600,29549,855,1.5565854256502807,1.3058109975173657,1.7042918485738772
gradient_boosted_trees,amplitude_adc_lt_3600,29549,855,1.4054926556106766,1.208046093928857,1.5003710871349014
mlp,amplitude_adc_lt_3600,29549,855,1.3959860002244788,1.2195006765074439,1.5164422295395874
cnn_1d,amplitude_adc_lt_3600,29549,855,1.5238362635352452,1.2363641158794088,1.6693576382425932
compact_waveform_transformer,amplitude_adc_lt_3600,29549,855,1.5986310078662314,1.2942944765090942,1.7658686029744501
phase_conditioned_residual_fusion,amplitude_adc_lt_3600,29549,855,1.369415308028853,1.1138849619568916,1.5020559624235403
trapezoid_template,amplitude_adc_lt_3800,31759,954,2.294209581529658,2.023217678070065,2.480752047738953
ridge,amplitude_adc_lt_3800,31759,954,1.545900279027375,1.2977710445919068,1.6534417824791596
gradient_boosted_trees,amplitude_adc_lt_3800,31759,954,1.3986445448608031,1.2195413761659513,1.4737124633706244
mlp,amplitude_adc_lt_3800,31759,954,1.3806263067998972,1.2536491262938434,1.473385914230258
cnn_1d,amplitude_adc_lt_3800,31759,954,1.5338892028616897,1.2572750575896308,1.658979314812278
compact_waveform_transformer,amplitude_adc_lt_3800,31759,954,1.5840101102411204,1.3201647997672803,1.725101617742159
phase_conditioned_residual_fusion,amplitude_adc_lt_3800,31759,954,1.3731598436761088,1.1353747393228655,1.4611978648309645
trapezoid_template,amplitude_adc_lt_4000,33702,1008,2.2547759698539016,2.023217678070065,2.4714530615976753
ridge,amplitude_adc_lt_4000,33702,1008,1.5452561358116725,1.3001015813606784,1.6720172176950352
gradient_boosted_trees,amplitude_adc_lt_4000,33702,1008,1.3906180720943726,1.225378962532723,1.476547922032757
mlp,amplitude_adc_lt_4000,33702,1008,1.3709714917796372,1.2350757994830808,1.473168191136721
cnn_1d,amplitude_adc_lt_4000,33702,1008,1.5434872531168562,1.2620699317864348,1.673153661166206
compact_waveform_transformer,amplitude_adc_lt_4000,33702,1008,1.58825718031694,1.3500115886330641,1.7147577645164065
phase_conditioned_residual_fusion,amplitude_adc_lt_4000,33702,1008,1.3735752077431707,1.1600740977553166,1.4697648492921151
