axis,value,n_pulses,n_runs,tail_fraction_median,tail_fraction_ci_low,tail_fraction_ci_high,shape_cluster_stability,shape_cluster_stability_ci_low,shape_cluster_stability_ci_high
overall,all,59613,4,3.721193552017212,3.6682348251342773,3.7586307525634766,1.0,0.8183466167245701,1.0
pedestal_state,pedestal_bin_0,59613,4,3.721193552017212,3.6682348251342773,3.7586307525634766,1.0,0.8183466167245701,1.0
saturation_proximity,hard_saturation_proxy,25911,4,4.243233680725098,4.026994705200195,4.599720478057861,0.7248853480154437,0.6359082903446609,0.7742454328863537
saturation_proximity,near_saturation_proxy,4153,4,4.482205867767334,4.31649923324585,4.595672845840454,0.6268976434239709,0.6165137345445321,0.643088636755096
saturation_proximity,unsaturated_proxy,29549,4,3.213526964187622,2.9332823753356934,3.3383084535598755,0.7555298008295734,0.6990793655074318,0.7635240475314178
energy_proxy,high_energy_proxy,19868,4,4.0864098072052,3.9003090858459473,4.449214696884155,0.669973745766563,0.5836766083118745,0.7771422208861769
energy_proxy,low_energy_proxy,19874,4,3.0287816524505615,2.5904847383499146,3.1910394430160522,0.6070474129771659,0.5296218807530386,0.6624625558918023
energy_proxy,mid_energy_proxy,19871,4,4.22239875793457,4.139923501014709,4.312484264373779,0.706808917517991,0.7032876928711436,0.710826778633185
pid_proxy,high_dE_proxy,5327,4,3.4441280364990234,3.411805731058121,3.691628932952881,0.45179803449790723,0.3662985342085452,0.7298830672476445
pid_proxy,low_dE_proxy,33777,4,3.365452289581299,3.2343156337738037,3.4354837834835052,0.797025503785022,0.7023012856360944,0.8377309171038952
pid_proxy,mid_dE_proxy,20509,4,4.309152603149414,4.202055931091309,4.489953517913818,0.7710627798982439,0.6634582335199104,0.7848365347210726
topology,mild_pileup,57023,4,3.7713727951049805,3.710972547531128,3.8245424687862393,0.9712691626553706,0.800014668133922,0.9712691626553706
topology,single_like,2590,4,-7.221188068389893,-12.574238395690918,1.4261776208877563,0.36744457996030633,0.355010077032202,0.38894618091396216
