run,run_group,sample_ii,current_nA,eventno,evt,stave,stave_idx,event_b_n_selected,event_b_downstream_any,event_b2_selected,event_b_max_amp,even_amp,even_peak,even_pos_charge,even_baseline,even_baseline_rms,q_tail,half_width,saturation_depth,target_odd_neg_amp,target_odd_pos_charge,target_rate,pred_rate_traditional,rate_residual_pp,rate_residual_shuffled_pp,b_multi_frac,b_downstream_frac,b2_share,log_even_amp,log_even_pos_charge,log_event_b_max_amp,saturation_bin,q_template_bin,baseline_taxon,geometry_support
44,sample_i_analysis,0,20.0,0,16013,B2,0,1,0,1,2392.0,2392.0,7,17135.0,6749.0,4.0620193,0.4128976,7,0.0,2389.5,17292.0,0.039466806063774174,0.02068583562283118,1.8780970440942995,0.31935259809312094,0.02095947834187238,0.060669456066945605,0.9853556485355649,7.7798853,9.7488785,7.779885115070522,none,q1,mid,B2_n1
44,sample_i_analysis,0,20.0,1,16014,B2,0,1,0,1,6522.5,6522.5,6,55351.0,6780.5,35.25975,0.47626963,9,2722.5,6487.5,56636.0,0.039466806063774174,0.02068583562283118,1.8780970440942995,0.31935259809312094,0.02095947834187238,0.060669456066945605,0.9853556485355649,8.783013,10.92145,8.783013017010884,high,q2,wide,B2_n1
44,sample_i_analysis,0,20.0,2,16015,B2,0,1,0,1,8549.0,8549.0,6,61110.0,6751.0,338.6211,0.48036328,7,4749.0,9291.5,68795.0,0.039466806063774174,0.02068583562283118,1.8780970440942995,0.31935259809312094,0.02095947834187238,0.060669456066945605,0.9853556485355649,9.05357,11.020431,9.053569596026234,high,q3,wide,B2_n1
44,sample_i_analysis,0,20.0,4,16017,B2,0,1,0,1,5761.5,5761.5,6,50821.0,6745.5,8.587782,0.5081167,11,1961.5,5752.0,52411.0,0.039466806063774174,0.02068583562283118,1.8780970440942995,0.31935259809312094,0.02095947834187238,0.060669456066945605,0.9853556485355649,8.658953,10.836065,8.65895313645407,high,q3,wide,B2_n1
44,sample_i_analysis,0,20.0,11,16024,B2,0,1,0,1,8983.0,8983.0,6,66203.0,6754.0,37.27935,0.44691327,6,5183.0,8945.5,69104.0,0.039466806063774174,0.02068583562283118,1.8780970440942995,0.31935259809312094,0.02095947834187238,0.060669456066945605,0.9853556485355649,9.103089,11.100481,9.103089181229207,high,q2,wide,B2_n1
44,sample_i_analysis,0,20.0,12,16025,B2,0,1,0,1,3467.5,3467.5,6,27887.0,6804.5,7.826238,0.44461578,8,0.0,3467.5,28284.0,0.039466806063774174,0.02068583562283118,1.8780970440942995,0.31935259809312094,0.02095947834187238,0.060669456066945605,0.9853556485355649,8.151189,10.235916,8.151189152188987,none,q2,wide,B2_n1
44,sample_i_analysis,0,20.0,13,16026,B2,0,1,0,1,3675.0,3675.0,7,30138.0,6727.0,7.1414285,0.5273077,8,0.0,3669.5,30649.0,0.039466806063774174,0.02068583562283118,1.8780970440942995,0.31935259809312094,0.02095947834187238,0.060669456066945605,0.9853556485355649,8.209309,10.313542,8.209308411646937,none,q4,wide,B2_n1
44,sample_i_analysis,0,20.0,15,16028,B2,0,1,0,1,4052.5,4052.5,10,30476.5,6731.5,2.3979158,0.930914,8,252.5,4053.0,32288.0,0.039466806063774174,0.02068583562283118,1.8780970440942995,0.31935259809312094,0.02095947834187238,0.060669456066945605,0.9853556485355649,8.307089,10.324711,8.307089253609831,low,q4,mid,B2_n1
44,sample_i_analysis,0,20.0,19,16032,B2,0,1,0,1,3281.5,3281.5,8,26018.0,6729.5,6.7638745,0.5439696,8,0.0,3275.0,26428.0,0.039466806063774174,0.02068583562283118,1.8780970440942995,0.31935259809312094,0.02095947834187238,0.060669456066945605,0.9853556485355649,8.096056,10.166544,8.096055913913776,none,q4,wide,B2_n1
44,sample_i_analysis,0,20.0,20,16033,B2,0,1,0,1,5192.0,5192.0,5,46618.0,6743.0,470.5555,0.43886483,10,1392.0,4717.5,39938.0,0.039466806063774174,0.02068583562283118,1.8780970440942995,0.31935259809312094,0.02095947834187238,0.060669456066945605,0.9853556485355649,8.554874,10.7497425,8.554874258383926,mid,q1,wide,B2_n1
44,sample_i_analysis,0,20.0,22,16035,B2,0,1,0,1,1712.5,1712.5,6,11688.0,6824.5,30.874746,0.28353867,7,0.0,1691.0,11353.0,0.039466806063774174,0.02068583562283118,1.8780970440942995,0.31935259809312094,0.02095947834187238,0.060669456066945605,0.9853556485355649,7.4457097,9.366318,7.445709570136381,none,q1,wide,B2_n1
44,sample_i_analysis,0,20.0,23,16036,B2,0,1,0,1,2283.5,2283.5,8,15855.0,6790.5,8.958237,0.41715547,7,0.0,2283.5,15997.0,0.039466806063774174,0.02068583562283118,1.8780970440942995,0.31935259809312094,0.02095947834187238,0.060669456066945605,0.9853556485355649,7.7334647,9.67124,7.733464632625053,none,q1,wide,B2_n1
44,sample_i_analysis,0,20.0,24,16037,B2,0,1,0,1,5822.5,5822.5,6,50644.0,6734.5,7.7298126,0.5083722,11,2022.5,5816.0,52218.0,0.039466806063774174,0.02068583562283118,1.8780970440942995,0.31935259809312094,0.02095947834187238,0.060669456066945605,0.9853556485355649,8.669485,10.832576,8.669485001758497,high,q3,wide,B2_n1
44,sample_i_analysis,0,20.0,27,16039,B2,0,1,0,1,6474.5,6474.5,7,50761.0,6742.5,3.2787192,0.56403536,9,2674.5,6473.0,52984.0,0.039466806063774174,0.02068583562283118,1.8780970440942995,0.31935259809312094,0.02095947834187238,0.060669456066945605,0.9853556485355649,8.775627,10.834884,8.775626663508895,high,q4,mid,B2_n1
44,sample_i_analysis,0,20.0,28,16040,B2,0,2,1,1,3177.0,2947.0,11,19861.0,6774.0,5.3851647,0.8923015,8,0.0,2947.0,20589.0,0.039466806063774174,0.02068583562283118,1.8780970440942995,0.31935259809312094,0.02095947834187238,0.060669456066945605,0.9853556485355649,7.988543,9.896513,8.063692634269515,none,q4,wide,B2_n2
44,sample_i_analysis,0,20.0,28,16040,B4,1,2,1,1,3177.0,3177.0,10,24850.0,7022.0,9.643651,0.8389135,8,0.0,3176.0,25809.0,0.039466806063774174,0.02068583562283118,1.8780970440942995,0.31935259809312094,0.02095947834187238,0.060669456066945605,0.9853556485355649,8.063693,10.120613,8.063692634269515,none,q4,wide,B4_n2
