fold,heldout_runs,n_train_runs,rate_rmse_pp
0,"44,48,54,58,65",16,0.7077574306006987
1,"49,53,59,63",17,0.27607792476321813
2,"45,50,55,60",17,1.009200844818536
3,"46,51,56,61",17,0.38213300829669733
4,"47,52,57,62",17,35.72040879869787
