fold,heldout_runs,n_train,n_test,new_arch_support_loss,new_arch_q90_frac
0,"44,48,55,56",303723,73550,0.024745071380013597,0.042883459456616736
1,"47,50,51,63",303231,74042,0.09533778125928527,0.042625450828995846
2,"49,53,61,65",298275,78998,0.033633762880072915,0.039771618084751395
3,"46,52,54,58,62",303128,74145,0.03795266032773619,0.04293218692360424
4,"45,57,59,60",300735,76538,0.5436253886958112,0.03464693011293494
