run,method,n,robust_width_ns,full_rms_ns
58,traditional_phase_timewalk,1,0.0,0.0
59,traditional_phase_timewalk,3,4.73237955012051,5.686692268934397
60,traditional_phase_timewalk,1,0.0,0.0
61,traditional_phase_timewalk,6,37.70855230572577,41.666051391573056
62,traditional_phase_timewalk,2,24.14737304988128,35.51084272041365
63,traditional_phase_timewalk,4,14.756467911053447,15.35652419728467
65,traditional_phase_timewalk,3,7.272616259745198,9.195243071435133
58,ridge,1,0.0,0.0
59,ridge,3,1.3066015736886019,1.5769898347761948
60,ridge,1,0.0,0.0
61,ridge,6,21.56067768199039,22.788650442314907
62,ridge,2,20.426301698540577,30.038678968442028
63,ridge,4,6.28957596543964,7.229406210176716
65,ridge,3,1.4429805813463652,1.7327150767952628
58,gradient_boosted_trees,1,0.0,0.0
59,gradient_boosted_trees,3,6.819252028706803,8.376116477006969
60,gradient_boosted_trees,1,0.0,0.0
61,gradient_boosted_trees,6,30.251431528932905,38.570138241855965
62,gradient_boosted_trees,2,19.983724131087953,29.387829604541107
63,gradient_boosted_trees,4,3.206059254135638,3.3960214609819968
65,gradient_boosted_trees,3,8.812561071428819,13.493922711883018
58,mlp,1,0.0,0.0
59,mlp,3,1.7881854701933981,2.974184975747772
60,mlp,1,0.0,0.0
61,mlp,6,22.64226177910363,23.431668532877556
62,mlp,2,18.819847397201833,27.676246172355636
63,mlp,4,3.674956069707977,3.7332905019122684
65,mlp,3,4.038431241411787,4.861174067777521
58,cnn_1d,1,0.0,0.0
59,cnn_1d,3,7.4784530161882765,9.171968545749937
60,cnn_1d,1,0.0,0.0
61,cnn_1d,6,30.000946519971354,31.90530324655486
62,cnn_1d,2,17.53831394033353,25.79163814754931
63,cnn_1d,4,11.236337729350014,12.836656379334238
65,cnn_1d,3,5.028526717463966,6.476770800601163
58,phase_gated_cnn_new,1,0.0,0.0
59,phase_gated_cnn_new,3,6.4342101954485305,8.09753429405695
60,phase_gated_cnn_new,1,0.0,0.0
61,phase_gated_cnn_new,6,36.098050091863136,41.95708049669944
62,phase_gated_cnn_new,2,25.609072435664338,37.66040064068285
63,phase_gated_cnn_new,4,11.290781026736182,14.152729045975518
65,phase_gated_cnn_new,3,3.7338840210833504,5.55752816737126
