method,pid_proxy,pedestal_bin,pileup_bin,n_pair_residuals,timing_sigma68_ns,ci_low,ci_high
trapezoid_template,low_dE_proxy,0,mild_pileup,90,2.391440027779513,2.0232176780700684,2.5847132956183865
trapezoid_template,mid_dE_proxy,0,mild_pileup,297,2.550114946911757,2.023217678070065,2.8310718023086174
ridge,low_dE_proxy,0,mild_pileup,90,1.6105699186038265,1.1259708135522466,2.0633077777543747
ridge,mid_dE_proxy,0,mild_pileup,297,1.5449341569099795,1.3551778991534906,1.6451326002265318
gradient_boosted_trees,low_dE_proxy,0,mild_pileup,90,0.9920884465409973,0.9188145753757531,1.2706114258551047
gradient_boosted_trees,mid_dE_proxy,0,mild_pileup,297,1.363406272815754,1.1208933516027628,1.5280026464568088
mlp,low_dE_proxy,0,mild_pileup,90,1.1530402084590698,0.8918565748925751,1.1969867386287092
mlp,mid_dE_proxy,0,mild_pileup,297,1.5374888922440095,1.3319142199174152,1.7526075031277095
cnn_1d,low_dE_proxy,0,mild_pileup,90,1.0448913316726678,0.7418880634636874,1.2411705483337165
cnn_1d,mid_dE_proxy,0,mild_pileup,297,1.574891498993136,1.3466932515439147,1.682105925537556
shape_residual_fusion,low_dE_proxy,0,mild_pileup,90,0.9779784315088054,0.8458814576904103,1.298387595282147
shape_residual_fusion,mid_dE_proxy,0,mild_pileup,297,1.3306191087584565,1.203911330864757,1.5161362240315661
