stratum,run,n_events,n_pulses,event_amp_median_adc,event_amp_p10_adc,event_amp_p90_adc,min_stave_amp_median_adc,max_dynamic_amp_median_adc
dynamic_only,58,17,51,464.8333333333333,154.43333333333334,610.3333333333334,256.0,3150.0
dynamic_only,59,137,411,835.5,224.76666666666668,1504.166666666667,433.0,3178.0
dynamic_only,60,147,441,688.6666666666666,288.6666666666667,1528.1333333333337,439.5,3299.0
dynamic_only,61,142,426,713.0833333333334,233.7166666666667,1372.25,423.25,3228.5
dynamic_only,62,134,402,728.5,233.1,1418.1166666666668,428.75,3223.5
dynamic_only,63,71,213,705.0,301.1666666666667,1334.6666666666667,426.0,3267.0
dynamic_only,65,24,72,515.0,232.1,1149.3666666666663,338.75,3194.0
matched_control,58,1,3,1247.5,1247.5,1247.5,1103.0,1830.0
matched_control,59,22,66,1935.0,1360.2833333333333,2478.2333333333336,1399.0,2751.0
matched_control,60,21,63,2393.6666666666665,1446.1666666666667,2491.3333333333335,1671.0,3116.0
matched_control,61,19,57,2059.5,1394.5333333333333,2539.233333333333,1645.0,3080.0
matched_control,62,16,48,1892.5,1345.3333333333335,2525.75,1327.75,3152.0
matched_control,63,5,15,1999.5,1362.9666666666667,2326.133333333333,1227.5,3012.0
matched_control,65,3,9,1396.0,1332.5333333333333,2207.6,1191.5,2403.0
median_selected,58,73,219,2781.8333333333335,2119.8333333333335,3373.333333333333,2138.5,3438.0
median_selected,59,763,2289,2570.6666666666665,1944.2333333333333,3272.866666666667,1967.0,3312.0
median_selected,60,808,2424,2954.5,2290.5833333333335,3659.4000000000005,2398.25,3717.0
median_selected,61,933,2799,2809.5,2087.366666666667,3499.6333333333337,2235.5,3535.0
median_selected,62,807,2421,2717.0,2079.6666666666665,3381.7666666666664,2140.0,3453.0
median_selected,63,370,1110,2606.166666666667,1905.8166666666666,3181.266666666667,1955.25,3420.0
median_selected,65,66,198,2446.166666666667,1899.0833333333335,3104.5,1868.25,3317.5
