accepted_n,accepted_fraction,bias_median_frac,model_energy_proxy_res68,p04b_charge_propagated_energy_res68,combined_energy_proxy_res68,depth_order_violation_rate,rep,geometry,method,uncertainty_threshold
89546,0.26304564949180426,-0.020043574031593795,0.02389010502996856,0.03698352050585898,0.04402860328638896,0.0,0,center_4cm,traditional_depth_charge_lookup,0.05
79254,0.24552653101687774,-0.020335425156550235,0.023952268230152653,0.037038758816529106,0.04410873845439464,0.0,1,center_4cm,traditional_depth_charge_lookup,0.05
71451,0.2035658424430978,-0.020417239016882298,0.023540283639167915,0.03865285013252138,0.045256908612714974,0.0,2,center_4cm,traditional_depth_charge_lookup,0.05
87273,0.27699382998171845,-0.020224203549473366,0.023969297011011387,0.03647898825667629,0.0436490983117957,0.0,3,center_4cm,traditional_depth_charge_lookup,0.05
90490,0.2722936884074325,-0.020197684194938295,0.024031960696811204,0.036276207718111936,0.04351434684492785,0.0,4,center_4cm,traditional_depth_charge_lookup,0.05
94130,0.28763678255050373,-0.019522284915638503,0.02386849273093436,0.03582868654259572,0.04305112919093117,0.0,5,center_4cm,traditional_depth_charge_lookup,0.05
102858,0.3354050634562458,-0.019888628755226945,0.023969574837050218,0.03591343062363686,0.04317771435622466,0.0,6,center_4cm,traditional_depth_charge_lookup,0.05
72314,0.18647481272321717,-0.020462085263995546,0.023730329925504067,0.03771442372495813,0.04455902058258192,0.0,7,center_4cm,traditional_depth_charge_lookup,0.05
81533,0.24128828346260953,-0.020513788365872167,0.023917271723323842,0.03713570511028616,0.04417121778630786,0.0,8,center_4cm,traditional_depth_charge_lookup,0.05
69021,0.2059191192923311,-0.02017075697176703,0.023785152022079478,0.03735131165779703,0.04428153045312815,0.0,9,center_4cm,traditional_depth_charge_lookup,0.05
73558,0.20770295072709305,-0.020122376894331388,0.023558325374556793,0.038169987416782215,0.044854683521911055,0.0,10,center_4cm,traditional_depth_charge_lookup,0.05
83238,0.25279020399238333,-0.02003759671514746,0.02392076182442845,0.03633877442862962,0.043505279831715364,0.0,11,center_4cm,traditional_depth_charge_lookup,0.05
65313,0.20137139615404775,-0.019893297077955997,0.02374787234094376,0.03728467115377229,0.044205295426755165,0.0,12,center_4cm,traditional_depth_charge_lookup,0.05
87507,0.22425616975474744,-0.019657434307626596,0.023544361481759483,0.03757143550105565,0.044339031599638534,0.0,13,center_4cm,traditional_depth_charge_lookup,0.05
63883,0.19230398738101975,-0.020291815177183974,0.02352127624768469,0.03856197354539982,0.04516941708762702,0.0,14,center_4cm,traditional_depth_charge_lookup,0.05
82213,0.27589273429556127,-0.019629380762100638,0.02389507775962506,0.03576092543193863,0.043009516724641345,0.0,15,center_4cm,traditional_depth_charge_lookup,0.05
63030,0.17494095083723524,-0.02081708073485429,0.023773784728737115,0.03813468296488422,0.044938256365379424,0.0,16,center_4cm,traditional_depth_charge_lookup,0.05
71007,0.2174433631191166,-0.020515960143917107,0.023781555805317097,0.03813468296488422,0.04494236799895664,0.0,17,center_4cm,traditional_depth_charge_lookup,0.05
89979,0.2881854810297669,-0.020355870492412356,0.023924678954160377,0.037198780400818865,0.044228266146978786,0.0,18,center_4cm,traditional_depth_charge_lookup,0.05
73516,0.1996035947978605,-0.018491640542025012,0.023698706858727367,0.035486779014707315,0.042672475808354066,0.0,19,center_4cm,traditional_depth_charge_lookup,0.05
67817,0.17419749249314814,-0.01937097490398374,0.02348123563269525,0.03755871407677976,0.04429475623524134,0.0,20,center_4cm,traditional_depth_charge_lookup,0.05
80443,0.2768531328941844,-0.019686321000285698,0.023839954731299788,0.03633939931193972,0.0434614240901403,0.0,21,center_4cm,traditional_depth_charge_lookup,0.05
