geometry,uncertainty_threshold,traditional_combined_res68,ml_combined_res68,ml_minus_traditional_combined_res68,ml_minus_traditional_combined_res68_ci95
center_4cm,0.05,0.04418283674974087,0.05205567942803741,0.007872842678296542,"[0.005855211805139897, 0.011352759903966112]"
center_4cm,0.075,0.05457053679580215,0.05759434248065108,0.003023805684848932,"[0.0006640130239978339, 0.0055162737034099955]"
center_4cm,0.1,0.05841115012209262,0.06241530814933579,0.004004158027243167,"[0.0020964542302224975, 0.006074559935581476]"
center_4cm,0.125,0.061165901278855725,0.06620236612011998,0.005036464841264257,"[0.002185830425229705, 0.007025751909878127]"
center_4cm,0.15,0.0638237338080843,0.07079917441144196,0.006975440603357655,"[0.005182058781110874, 0.018721824097427526]"
center_4cm,0.2,0.06894301728471901,0.16637234333771136,0.09742932605299236,"[0.06943348116526038, 0.1103907279042024]"
center_4cm,0.25,0.21535485470431912,0.18565270882031465,-0.029702145884004466,"[-0.052964737709043225, 0.034624157090988296]"
center_4cm,0.3,0.24623733586843186,0.18687822193829726,-0.0593591139301346,"[-0.07806461192131571, -0.03201595732712851]"
center_4cm,0.4,0.24623733586843186,0.18732242912242583,-0.058914906746006024,"[-0.0767173916241709, -0.03717526328450917]"
center_4cm,1.0,0.24623733586843186,0.18748733698398792,-0.05874999888444393,"[-0.07584787610675402, -0.04236518904787259]"
center_2cm,0.05,0.04110417874593734,0.04984238311912091,0.008738204373183574,"[0.005757150614753054, 0.011982811136091847]"
center_2cm,0.075,0.04985953710083128,0.05378014589045839,0.003920608789627106,"[0.0014498885384768697, 0.0065602306730004585]"
center_2cm,0.1,0.05351442553871104,0.0589415791019828,0.00542715356327176,"[0.0033102322954874524, 0.0071319450829391015]"
center_2cm,0.125,0.056563214262196536,0.06075977604503368,0.004196561782837144,"[0.0015404786581703458, 0.006749039963781176]"
center_2cm,0.15,0.059434220252644915,0.07892409843579452,0.01948987818314961,"[0.010334957893226344, 0.04076030461415601]"
center_2cm,0.2,0.06902622660635283,0.163437336932249,0.09441111032589616,"[0.07249864128532045, 0.10573854986544552]"
center_2cm,0.25,0.22251103824292445,0.17275546059369948,-0.049755577649224975,"[-0.06997278722339555, -0.03534438898081753]"
center_2cm,0.3,0.2294140221563161,0.17396299866167222,-0.05545102349464387,"[-0.07438473201696676, -0.029045481594921575]"
center_2cm,0.4,0.2294140221563161,0.17396460941368808,-0.05544941274262802,"[-0.07318466101429748, -0.03438065678401449]"
center_2cm,1.0,0.2294140221563161,0.17396460941368808,-0.05544941274262802,"[-0.07319296602003071, -0.04018577408327945]"
zero_4cm,0.05,0.04310638316614737,0.08913062391581662,0.04602424074966925,"[0.036816617762451403, 0.5680840242211895]"
zero_4cm,0.075,0.05041761119878205,0.09146360517206925,0.041045993973287204,"[0.03609849452175302, 0.2037300250168852]"
zero_4cm,0.1,0.05702884392592139,0.0951583664066866,0.038129522480765204,"[0.025471166593490017, 0.06133773301565882]"
zero_4cm,0.125,0.09044929800088991,0.12021915059179093,0.029769852590901022,"[0.01803186486574999, 0.18130564841751814]"
zero_4cm,0.15,0.09421794557427385,0.16190608025489966,0.06768813468062582,"[0.0459819646494137, 0.19419324854999778]"
zero_4cm,0.2,0.102292116647436,0.21459943462636746,0.11230731797893147,"[0.09305905002747056, 0.1506319978222565]"
zero_4cm,0.25,0.2588411900068353,0.23057971444054423,-0.028261475566291078,"[-0.04177048655941892, -0.015271372201994354]"
zero_4cm,0.3,0.25904172933027597,0.23909213967023743,-0.01994958966003854,"[-0.03186652931616274, -0.00992581222329489]"
zero_4cm,0.4,0.2609347499287316,0.35857162920398733,0.09763687927525572,"[0.045604453186414255, 0.10788451962024291]"
zero_4cm,1.0,0.4504440191459952,0.3870192665572948,-0.0634247525887004,"[-0.07888580052953248, -0.05661994314439002]"
