ablation,method,detection_ap,detection_auc,time_bias_ns,time_sigma68_ns,late_tail_rate_abs_gt_15ns,pileup_miss_rate,false_split_rate,energy_fractional_bias,energy_fractional_sigma68,n_events,n_positive
all_heldout,1d_cnn,0.815364419360965,0.8046482577251808,0.028303309190262915,9.509978486306867,0.11632653061224489,0.3717948717948718,0.1564102564102564,-0.026403592722496223,0.07850424207922115,780,390
all_heldout,analytic_clipped_template_sideband_traditional,0.6842598625693224,0.6287639710716633,0.3860573057297234,9.467166358109274,0.16666666666666666,0.5615384615384615,0.18974358974358974,0.06235634213215492,0.09263105970418983,780,390
all_heldout,gradient_boosted_trees,0.8487454601909483,0.8308547008547009,-0.37875322235871867,8.240724658152734,0.1099290780141844,0.27692307692307694,0.21025641025641026,-0.0008101841419828719,0.0728605243231028,780,390
all_heldout,mlp,0.8210728603676269,0.815982905982906,-2.7361435460589645,12.295148380898848,0.23035714285714284,0.28205128205128205,0.22564102564102564,-0.05212440336736991,0.16847394255488118,780,390
all_heldout,ridge,0.8208946720488113,0.8228796844181461,-0.4755805835680915,9.433603495909516,0.13392857142857142,0.28205128205128205,0.21025641025641026,0.006191984895266329,0.07469225409156872,780,390
all_heldout,saturation_residual_fusion_new,0.8549288476349011,0.8362130177514793,-0.7845563562734226,8.212330002000058,0.1099290780141844,0.27692307692307694,0.2,0.0027157254744858425,0.06515238671864262,780,390
all_heldout,tiny_sequence_transformer,0.7871591216055226,0.7893754109138724,-7.9897255238345055,13.033750305822547,0.3333333333333333,0.38461538461538464,0.18717948717948718,-0.013890794869971277,0.11308055432380862,780,390
unsaturated_mask_0,1d_cnn,0.8093528911311365,0.8021009531480736,0.047099661465890286,9.24349051987528,0.11764705882352941,0.3769633507853403,0.1564102564102564,-0.02152874934642132,0.07620814091901541,772,382
unsaturated_mask_0,analytic_clipped_template_sideband_traditional,0.6797561899741448,0.6272788293730702,0.3860573057297234,9.216252184384109,0.1566265060240964,0.5654450261780105,0.18974358974358974,0.05961891512805208,0.09234779664956294,772,382
unsaturated_mask_0,gradient_boosted_trees,0.8432958000089678,0.8282991005504095,-0.27708278046702617,8.418352954678042,0.11090909090909092,0.2801047120418848,0.21025641025641026,0.0022343471715443636,0.0712859247195044,772,382
unsaturated_mask_0,mlp,0.813959039518739,0.8126392804403276,-2.565161047014972,12.253999528280207,0.22977941176470587,0.2879581151832461,0.22564102564102564,-0.05371428723763823,0.16912074966636664,772,382
unsaturated_mask_0,ridge,0.811866290247906,0.8192777554034097,-0.2746674233438151,9.362056536572748,0.12867647058823528,0.2879581151832461,0.21025641025641026,0.00788325083881753,0.0718357823941819,772,382
unsaturated_mask_0,saturation_residual_fusion_new,0.8491417629428419,0.8331722378842797,-0.6244859053750895,8.233789971994375,0.10948905109489052,0.28272251308900526,0.2,0.0038131129683305317,0.06511699102519117,772,382
unsaturated_mask_0,tiny_sequence_transformer,0.7813143004528513,0.7874949657672171,-7.919732674034288,12.91774141709371,0.33261802575107297,0.3900523560209424,0.18717948717948718,-0.012968460696031896,0.11464715896545524,772,382
saturated_mask_gt0,1d_cnn,,,-5.760810685472824,11.328692556981661,0.07142857142857142,0.125,,-0.10645184529197864,0.013483525586253368,8,8
saturated_mask_gt0,analytic_clipped_template_sideband_traditional,,,3.961834213041917,16.054259109036256,0.5,0.375,,0.09973639465971572,0.031276058808146136,8,8
saturated_mask_gt0,gradient_boosted_trees,,,-4.983129401686148,3.643386664614256,0.07142857142857142,0.125,,-0.07080920706096178,0.03499626174208985,8,8
saturated_mask_gt0,mlp,,,-8.490151035303537,10.34310264133935,0.25,0.0,,-0.013949664676771861,0.075085322964633,8,8
saturated_mask_gt0,ridge,,,-6.9853319089244215,8.077980402493857,0.3125,0.0,,-0.0919808540628247,0.03576618962831226,8,8
saturated_mask_gt0,saturation_residual_fusion_new,,,-6.700408739883876,6.116552128966431,0.125,0.0,,-0.026272685680429224,0.07935449934924617,8,8
saturated_mask_gt0,tiny_sequence_transformer,,,-10.19116074686664,15.873637040772023,0.35714285714285715,0.125,,-0.18219622865426727,0.08728113208901288,8,8
deep_saturation_mask_ge3,1d_cnn,,,8.299171022052683,5.5773072762104805,0.0,0.0,,-0.10645184529197864,0.0024973004371568533,3,3
deep_saturation_mask_ge3,analytic_clipped_template_sideband_traditional,,,3.961834213041917,9.178390169296621,0.16666666666666666,0.0,,0.11003596971893849,0.025702468601074377,3,3
deep_saturation_mask_ge3,gradient_boosted_trees,,,-1.1581378378925855,4.202516520993379,0.0,0.0,,-0.08233514366066819,0.009566863098217075,3,3
deep_saturation_mask_ge3,mlp,,,-1.0585590116339727,6.228419350456164,0.0,0.0,,0.015132378117921686,0.054150777936817766,3,3
deep_saturation_mask_ge3,ridge,,,-3.6363695765939807,8.631376187866705,0.3333333333333333,0.0,,-0.10146167470639979,0.02965663704887382,3,3
deep_saturation_mask_ge3,saturation_residual_fusion_new,,,-2.460995252259268,4.019362153875525,0.0,0.0,,-0.037322726244341686,0.010759687476213947,3,3
deep_saturation_mask_ge3,tiny_sequence_transformer,,,0.6972900003968063,9.902708586815468,0.16666666666666666,0.0,,-0.2259018952467161,0.019436232879529627,3,3
