action_mask,method,n,runs,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,ap_ci_low,ap_ci_high,purity_at_80pct_eff,purity_ci_low,purity_ci_high,ece,ece_ci_low,ece_ci_high,bootstrap_valid,traditional_roc_auc,traditional_average_precision,traditional_purity_at_80pct_eff,traditional_ece,roc_auc_minus_traditional,average_precision_minus_traditional,purity_at_80pct_eff_minus_traditional,ece_minus_traditional
all_pre_action,ML_ridge_waveform,29134,33,0.9581122941563178,0.9425110092910048,0.9738949193015455,0.9289905556981455,0.9145565176844911,0.943688906101633,0.9693869062474004,0.9175252089622953,0.9780474924312454,0.0398766125457248,0.027902020583168017,0.06697981222114781,300,0.9847963469539454,0.9808921596920601,0.9877097813188676,0.028608094775606788,-0.026684052797627533,-0.051901603993914636,-0.018322875071467126,0.01126851777011801
all_pre_action,ML_gradient_boosted_trees,29134,33,0.9888372288891694,0.9820198959211058,0.9943824188637888,0.989899316119083,0.9838412548946806,0.99537935999576,0.9976883561643836,0.9901017320842406,0.9998268098399309,0.006623757076522436,0.0065745504078498955,0.0354445982428972,300,0.9847963469539454,0.9808921596920601,0.9877097813188676,0.028608094775606788,0.0040408819352240055,0.009007156427022878,0.009978574845516008,-0.021984337699084353
all_pre_action,ML_mlp,29134,33,0.9889744972429905,0.9826144253448503,0.9947013257780366,0.9894100974602926,0.9835595569566414,0.9943613559875635,0.9974321663956176,0.9884482235502808,0.9995626312106368,0.005051812006268769,0.004739215109146602,0.037674027598937315,300,0.9847963469539454,0.9808921596920601,0.9877097813188676,0.028608094775606788,0.004178150289045113,0.008517937768232509,0.00972238507675005,-0.023556282769338018
all_pre_action,NN_1d_cnn,29134,33,0.7956541252945741,0.7331115886424097,0.8534791858052355,0.7100983965891023,0.6295625421652208,0.814292477389793,0.7106787827041532,0.6441267126391345,0.7866788655121126,0.11221164802975206,0.07610739373765532,0.15453911644520482,300,0.9847963469539454,0.9808921596920601,0.9877097813188676,0.028608094775606788,-0.18914222165937122,-0.2707937631029578,-0.27703099861471436,0.08360355325414527
all_pre_action,NN_action_gated_residual_ensemble_new,29134,33,0.9955254560057494,0.9922806896013047,0.9980358524176208,0.9957360664237882,0.9922867315283452,0.9982617697808407,1.0,0.9982089667665119,1.0,0.00795789008535233,0.006507624722059081,0.028367497847869974,300,0.9847963469539454,0.9808921596920601,0.9877097813188676,0.028608094775606788,0.01072910905180402,0.014843906731728085,0.012290218681132448,-0.020650204690254456
all_pre_action,control_charge_only,29134,33,0.9844041368463129,0.9757248333885798,0.9919254992120985,0.9796937525190705,0.9713251117420519,0.986700669644147,0.9882961580866763,0.9726936758970428,0.9925137756293257,0.030839298841922783,0.02199981831945664,0.04446517748173226,300,0.9847963469539454,0.9808921596920601,0.9877097813188676,0.028608094775606788,-0.00039221010763246245,-0.0011984071729895795,0.0005863767678087051,0.002231204066315995
all_pre_action,control_depth_only,29134,33,0.8096971307704777,0.7810401364070428,0.8387773443049384,0.7400660308365516,0.710283511348953,0.767579935294204,0.7436977471440424,0.7147968833578633,0.7771457269325376,0.150196087859873,0.12218658355228439,0.17448240377170193,300,0.9847963469539454,0.9808921596920601,0.9877097813188676,0.028608094775606788,-0.1750992161834677,-0.24082612885550847,-0.2440120341748252,0.12158799308426622
all_pre_action,control_action_only,29134,33,0.6024659580208321,0.559708515911075,0.6612406997909186,0.5497154201110296,0.5281947181051888,0.5930256978355456,0.6270511647925969,0.5698924346677267,0.6756886325122281,0.023128062717039023,0.016715950878936816,0.07079246022350826,300,0.9847963469539454,0.9808921596920601,0.9877097813188676,0.028608094775606788,-0.3823303889331132,-0.43117673958103053,-0.3606586165262706,-0.0054800320585677645
all_pre_action,control_run_family_only,29134,33,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,300,0.9847963469539454,0.9808921596920601,0.9877097813188676,0.028608094775606788,-0.48479634695394536,-0.4808921596920601,-0.48770978131886755,-0.028608094775606788
all_pre_action,control_shuffled_label_hgb,29134,33,0.48800672895804154,0.447699516456143,0.5363138694612092,0.47520738924431366,0.44703872850574244,0.5039246827359626,0.5119873540001756,0.4959132260463604,0.531547098081923,0.020636013339653477,0.0010032851988843862,0.05572337548937412,300,0.9847963469539454,0.9808921596920601,0.9877097813188676,0.028608094775606788,-0.4967896179959038,-0.5056847704477465,-0.47572242731869196,-0.00797208143595331
p04s_dropout_phase_accept,ML_ridge_waveform,26077,33,0.9709994128902195,0.9558840032330135,0.9859715440752961,0.9668543241856233,0.9525361656378614,0.9797950684013502,0.9892793884590286,0.9539983870605689,0.9938180813161478,0.046543895883226785,0.03718362707690879,0.07674997591687885,300,0.9880661199292643,0.9891276204421796,0.9963383719838513,0.03356174521038146,-0.01706670703904478,-0.022273296256556274,-0.007058983524822704,0.012982150672845326
p04s_dropout_phase_accept,ML_gradient_boosted_trees,26077,33,0.9875873412588251,0.9803021327301427,0.9944034023300076,0.9892559557747421,0.9823206998832722,0.995287547937483,0.9984945427173504,0.9886802590884026,0.9999069685219966,0.006588254750363538,0.00689525277521718,0.03941730181752636,300,0.9880661199292643,0.9891276204421796,0.9963383719838513,0.03356174521038146,-0.0004787786704392172,0.0001283353325625125,0.002156170733499052,-0.026973490460017922
