action_mask,n,support_fraction,support_loss,positive_fraction,action_band_label_shift,charge_log_median_shift,depth_mean_shift,runs
all_pre_action,29134,1.0,0.0,0.5,0.0,0.0,0.0,33
s14g_traditional_accept,7651,0.26261412782316196,0.737385872176838,0.21539668017252647,-0.28460331982747356,-0.8751269942172186,-0.08027406065332973,21
s14g_new_residual_accept,7483,0.2568476693897165,0.7431523306102835,0.22090070827208338,-0.2790992917279166,-0.8106890969477138,-0.08494056976046235,21
p07j_traditional_correct,67,0.002299718541909796,0.9977002814580902,0.9701492537313433,0.4701492537313433,0.2521982480313145,-0.008969363384218484,11
s14g_traditional_and_p07j_correct,0,0.0,1.0,,,,,0
