run,method,family,n_events,tail_frac_abs_gt5ns,sigma68_ns,q95_abs_ns,median_residual_ns,q_template_median,q_template_p95,amp_ratio_median,tail_delta_vs_observed,sigma68_delta_vs_observed_ns,q95_delta_vs_observed_ns,tail_frac_abs_gt5ns_event_ci95,sigma68_ns_event_ci95,q95_abs_ns_event_ci95,tail_delta_vs_observed_event_ci95,sigma68_delta_vs_observed_ns_event_ci95,q95_delta_vs_observed_ns_event_ci95
58,observed_saturated,observed,16,0.6875,29.509602628577333,68.81513106265001,-12.501401095922496,0.19864145540124267,0.48162004301345984,1.0,0.0,0.0,0.0,"[0.4375, 0.875]","[7.866032174147528, 43.38884271477204]","[18.321719409641627, 77.43325070982489]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
58,traditional_template,traditional,16,0.6875,29.54005578155965,68.81513106265001,-12.501401095922496,0.19864145540124267,0.48162004301345984,1.0,0.0,0.030453152982317988,0.0,"[0.4375, 1.0]","[8.039234128948982, 43.105009754643156]","[27.645494298519715, 79.96996754907536]","[0.0, 0.0]","[-0.032761219776409334, 0.19500438109431428]","[0.0, 0.21637368918566935]"
58,ridge,ml_nn,16,0.6875,29.509602628577333,68.81513106265001,-12.501401095922496,0.19864145540124267,0.48162004301345984,1.0,0.0,0.0,0.0,"[0.375, 1.0]","[7.057089141237087, 42.76391417881792]","[16.49915267438002, 77.90243530868065]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
58,gradient_boosted_trees,ml_nn,16,0.6875,29.624417267132955,68.48644402530569,-12.173395253627614,0.19644976511015377,0.4568406367128425,1.0652274977021108,0.0,0.11481463855562168,-0.3286870373443236,"[0.4375, 0.875]","[7.41560574565168, 43.05059507949945]","[20.386799132344684, 79.2296038599785]","[0.0, 0.0]","[-0.16917071511954135, 0.1992360402170803]","[-0.4362903723371403, 0.26943807908213835]"
58,mlp,ml_nn,16,0.75,29.822355275432642,69.79518312682437,-10.372644179494298,0.1977651323578073,0.4504687484942982,1.1102604047108555,0.0625,0.31275264685530857,0.9800520641743589,"[0.4375, 1.0]","[6.866501402156189, 42.95230433649138]","[17.99827292437426, 78.40273107900059]","[-0.125, 0.125]","[-0.35833505556652073, 0.6040190757926971]","[-0.8081025536936579, 1.827593842489628]"
58,cnn1d,ml_nn,16,0.6875,29.48686096987013,69.01922240540716,-11.934987622095118,0.19864145540124267,0.44404966383396305,1.0,0.0,-0.022741658707204238,0.20409134275715246,"[0.4375, 0.875]","[7.989610078894246, 42.85836529520934]","[17.143586081631554, 77.82526265845851]","[-0.0625, 0.125]","[-0.4575282159914763, 0.11291072089584712]","[-1.4492885242809024, 0.7569766110346386]"
58,gated_residual_cnn,ml_nn,16,0.6875,29.509602628577333,68.90905010540905,-11.939728126500164,0.19864145540124267,0.4673862485777216,1.0,0.0,0.0,0.0939190427590404,"[0.4375, 0.9718750000000007]","[7.671225712712984, 43.1678975730153]","[24.21705050969898, 78.88186016690656]","[-0.0625, 0.125]","[-0.2967123677776158, 0.0]","[-0.5934247355552316, 0.7499749299889515]"
59,observed_saturated,observed,90,0.6111111111111112,14.744045989243105,60.65999513854987,-2.535045633146524,0.21630998182866015,0.6128803129812527,1.0,0.0,0.0,0.0,"[0.4666666666666667, 0.7222222222222222]","[12.578011078419678, 20.500419310684798]","[31.428102204255783, 82.57078799148036]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
59,traditional_template,traditional,90,0.6111111111111112,14.709804526009087,60.48776617636838,-2.332942351522693,0.21630998182866015,0.6128803129812527,1.0,0.0,-0.034241463234018,-0.1722289621814852,"[0.4666666666666667, 0.7333333333333333]","[12.843556640222697, 21.091385807491918]","[33.01938600070706, 82.61201574499155]","[-0.03083333333333333, 0.0]","[-0.1426727634750833, 0.0]","[-0.6806040796460451, 0.3074370492388425]"
59,ridge,ml_nn,90,0.6111111111111112,14.744045989243105,60.65999513854987,-2.535045633146524,0.21630998182866015,0.6128803129812527,1.0,0.0,0.0,0.0,"[0.4666666666666667, 0.7111111111111111]","[12.692311485964593, 20.84189943617374]","[28.690767595974283, 87.4516662241128]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
59,gradient_boosted_trees,ml_nn,90,0.6111111111111112,14.954179651450502,60.411769154003025,-2.10023266733106,0.21742769371478415,0.5671233556725049,1.059179621139967,0.0,0.21013366220739726,-0.24822598454684197,"[0.4691666666666667, 0.7222222222222222]","[12.826167425632157, 20.956803040806264]","[31.747629596007712, 88.89666620660368]","[-0.033333333333333326, 0.06416666666666672]","[-0.32871100855249513, 0.4867928910487479]","[-0.4879040752481737, 0.40866559608666525]"
59,mlp,ml_nn,90,0.6,14.360745335385776,60.99079137774283,-1.7741951110983578,0.21824247857048024,0.5981198171507021,1.0836076742103682,-0.011111111111111183,-0.38330065385732937,0.3307962391929635,"[0.4691666666666667, 0.7222222222222222]","[11.85737048430978, 21.48283203775124]","[31.780360063451493, 93.25402450562902]","[-0.05555555555555558, 0.06416666666666672]","[-1.9426753927028206, 0.37067948855093197]","[-0.61994227012966, 0.9126420124480997]"
59,cnn1d,ml_nn,90,0.6,14.384343870661304,60.65999513854987,-2.535045633146524,0.21630998182866015,0.5548765546981101,1.0,-0.011111111111111183,-0.3597021185818008,0.0,"[0.45555555555555555, 0.7111111111111111]","[10.590891815852217, 20.754328803157296]","[29.539588664119872, 85.35829703437012]","[-0.04444444444444448, 0.0444444444444444]","[-2.493825450685, 0.5016213824756387]","[-0.7253640376951603, 0.3830423680800271]"
59,gated_residual_cnn,ml_nn,90,0.6222222222222222,14.77203499272099,60.242617208704566,-2.535045633146524,0.21630998182866015,0.5988462396317359,1.0,0.011111111111111072,0.027989003477884467,-0.4173779298453013,"[0.4691666666666667, 0.7086111111111112]","[13.080010172910667, 20.25847770159604]","[32.629276298087916, 81.85455378244913]","[0.0, 0.05555555555555558]","[-0.5714325944021759, 0.3193018134035497]","[-0.9275065107673299, 0.021166491349687955]"
60,observed_saturated,observed,10,1.0,34.74864840375581,61.84195837992142,-31.47971861726321,0.20066443601357942,0.5099112316482407,1.0,0.0,0.0,0.0,"[0.3, 1.0]","[20.599769782450167, 51.6000505639278]","[37.83492892063604, 100.47764237376506]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
60,traditional_template,traditional,10,1.0,34.74864840375581,61.84195837992142,-31.47971861726321,0.20066443601357942,0.5099112316482407,1.0,0.0,0.0,0.0,"[0.3, 1.0]","[16.175262081870294, 47.74012047068608]","[40.475709891675045, 100.36300617951001]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
60,ridge,ml_nn,10,1.0,34.74864840375581,61.84195837992142,-31.47971861726321,0.20066443601357942,0.5099112316482407,1.0,0.0,0.0,0.0,"[0.3, 1.0]","[15.68762791397576, 51.42631304285678]","[32.52490525087283, 94.52040756472806]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
60,gradient_boosted_trees,ml_nn,10,1.0,34.6517855654249,61.90184893502824,-31.204701851097767,0.19992900965335436,0.4970102819056207,1.066006509411812,0.0,-0.0968628383309067,0.05989055510681851,"[0.3, 1.0]","[16.094190184240038, 51.43085319602629]","[39.04477989734731, 95.04649088208019]","[0.0, 0.0]","[-0.3135296988140901, 0.17996127275563917]","[-0.5372771091273943, 0.384962705052364]"
60,mlp,ml_nn,10,1.0,34.68356510114296,61.603065799806934,-31.31531127595703,0.20355054651963317,0.5047697443517635,1.0841306247861653,0.0,-0.06508330261284812,-0.23889258011448788,"[0.3, 1.0]","[16.356728189373037, 51.39440575392543]","[32.01059575817811, 94.2770151621344]","[0.0, 0.0]","[-0.2051782400608814, 0.12446334437276331]","[-0.5143094926947143, 0.19982134148537445]"
60,cnn1d,ml_nn,10,1.0,34.75428057955611,61.84195837992142,-31.47971861726321,0.20066443601357942,0.47035608998091744,1.0,0.0,0.005632175800300843,0.0,"[0.4, 1.0]","[15.80994912577517, 50.46625290867162]","[40.4742393107083, 102.05086614315135]","[0.0, 0.29999999999999993]","[-0.0016339788519417198, 1.8180982385028557]","[-0.0032679577038834395, 3.2690618628044765]"
60,gated_residual_cnn,ml_nn,10,1.0,34.74864840375581,61.84195837992142,-31.47971861726321,0.20066443601357942,0.5099112316482407,1.0,0.0,0.0,0.0,"[0.3, 1.0]","[16.04884386190254, 51.08109837454201]","[38.757378684806035, 90.02009064434517]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]"
