run,check,value,pass
58,train_heldout_event_overlap,0.0,True
58,shuffled_target_gbr_res68,0.27888897067175705,True
58,too_good_min_ml_res68,0.03117822594121384,True
59,train_heldout_event_overlap,0.0,True
59,shuffled_target_gbr_res68,0.24670753499788362,True
59,too_good_min_ml_res68,0.03879429838884991,True
60,train_heldout_event_overlap,0.0,True
60,shuffled_target_gbr_res68,0.23840563047023794,True
60,too_good_min_ml_res68,0.03345326201150098,True
61,train_heldout_event_overlap,0.0,True
61,shuffled_target_gbr_res68,0.2328779939792501,True
61,too_good_min_ml_res68,0.03321382467661219,True
62,train_heldout_event_overlap,0.0,True
62,shuffled_target_gbr_res68,0.2434811641702526,True
62,too_good_min_ml_res68,0.033959279317704504,True
63,train_heldout_event_overlap,0.0,True
63,shuffled_target_gbr_res68,0.26746971521892005,True
63,too_good_min_ml_res68,0.03638829722247648,True
65,train_heldout_event_overlap,0.0,True
65,shuffled_target_gbr_res68,0.25268666714178406,True
65,too_good_min_ml_res68,0.030371788508897057,True
