run,n_events,b2_amp_median_adc,b2_amp_p16_adc,b2_amp_p84_adc,downstream_multiplicity_mean
58,16,7641.25,7093.4,8928.9,2.25
59,90,8140.25,7460.3,9079.32,2.3
60,10,7664.0,7178.06,8087.94,2.4
61,10,8280.0,7710.44,8881.98,2.3
62,36,8296.25,7514.6,8972.9,2.3055555555555554
63,74,7968.5,7419.34,9276.22,2.2972972972972974
65,13,7935.0,7222.16,8414.02,2.1538461538461537
