method,family,n_runs,n_events_total,n_events_mean_per_run,n_events_mean_per_run_ci95,tail_frac_abs_gt5ns,tail_frac_abs_gt5ns_ci95,tail_delta_vs_observed,tail_delta_vs_observed_ci95,sigma68_ns,sigma68_ns_ci95,sigma68_delta_vs_observed_ns,sigma68_delta_vs_observed_ns_ci95,q95_abs_ns,q95_abs_ns_ci95,q95_delta_vs_observed_ns,q95_delta_vs_observed_ns_ci95,q_template_median,q_template_median_ci95,q_template_p95,q_template_p95_ci95,amp_ratio_median,amp_ratio_median_ci95
observed_saturated,observed,7,249,35.57142857142857,"[14.142857142857142, 60.714285714285715]",0.6979816354816355,"[0.5860786782661782, 0.8178528116028114]",0.0,"[0.0, 0.0]",19.37500324801181,"[13.518861817306384, 26.289098911528963]",0.0,"[0.0, 0.0]",57.767997150073654,"[43.8724805136318, 67.92615988710615]",0.0,"[0.0, 0.0]",0.21726685921297983,"[0.20270204267111733, 0.23409567024560957]",0.5325859323052801,"[0.4976252042284926, 0.5737363842486928]",1.0,"[1.0, 1.0]"
traditional_template,traditional,7,249,35.57142857142857,"[13.428571428571429, 55.714285714285715]",0.6979816354816355,"[0.5907764392139392, 0.8127024345774344]",0.0,"[0.0, 0.0]",19.374462060832997,"[13.508671722064433, 25.687960467295625]",-0.0005411871788142873,"[-0.014674912814579142, 0.01305135127813628]",57.74339301261915,"[43.93018008809979, 68.28778392771358]",-0.024604137454497885,"[-0.07381241236349366, 0.0]",0.21726685921297983,"[0.20315438319132953, 0.23316617057510008]",0.5325859323052801,"[0.4949925223055714, 0.5662037066804052]",1.0,"[1.0, 1.0]"
ridge,ml_nn,7,249,35.57142857142857,"[15.428571428571429, 57.503571428571426]",0.6979816354816355,"[0.5806509462759463, 0.8146329365079363]",0.0,"[0.0, 0.0]",19.37500324801181,"[13.231352574860649, 26.020708919343278]",0.0,"[0.0, 0.0]",57.767997150073654,"[42.47496276820529, 68.41797625044872]",0.0,"[0.0, 0.0]",0.21726685921297983,"[0.20273418021690112, 0.23630830745433462]",0.5325859323052801,"[0.49962954524009595, 0.5702424051988635]",1.0,"[1.0, 1.0]"
gradient_boosted_trees,ml_nn,7,249,35.57142857142857,"[15.632142857142858, 62.36785714285713]",0.7109011484011484,"[0.6126831501831502, 0.8266825891825892]",0.01291951291951294,"[0.0, 0.034897534897534936]",19.51586732478028,"[13.373397966035933, 26.080539412556906]",0.14086407676847226,"[0.021018128611179878, 0.27789219175503227]",57.86338548883445,"[46.25336757627118, 69.27686093721708]",0.0953883387608064,"[-0.1449864762664759, 0.45569778807208233]",0.21761349073539488,"[0.20353536852710932, 0.23551132624358911]",0.5105708521928586,"[0.47886485346982194, 0.541617592792828]",1.0641046219283465,"[1.0604141613145985, 1.067784547054548]"
mlp,ml_nn,7,248,35.42857142857143,"[14.639285714285714, 58.93214285714285]",0.6975926475926475,"[0.5907014157014158, 0.820259339009339]",-0.0003889878889879065,"[-0.060299227799227834, 0.057524255024255]",19.38138735785466,"[13.421853299405198, 26.517619683354443]",0.00638410984284984,"[-0.3712643525706973, 0.3408845209797419]",59.87871867829454,"[47.672734430404965, 70.30670230497282]",2.1107215282208958,"[0.6258221908545828, 3.7583732039402906]",0.21940615475721853,"[0.2060884582649806, 0.23570495572468467]",0.4955429124047136,"[0.46100494064749054, 0.5382531508269235]",1.0577576630985688,"[1.0256386982401675, 1.0842945048704522]"
cnn1d,ml_nn,7,249,35.57142857142857,"[14.210714285714285, 57.796428571428564]",0.6963943338943339,"[0.5833544636669636, 0.8200694031944029]",-0.0015873015873015975,"[-0.004761904761904793, 0.0]",19.327932098187738,"[13.371273002137947, 25.994304483624678]",-0.04707114982407136,"[-0.1566022626646151, 0.016354360733781378]",57.8422839526125,"[44.02103320697914, 67.88725977366794]",0.07428680253885693,"[0.0015158532027094956, 0.16151688899482256]",0.21726685921297983,"[0.201226332390531, 0.23487867819479444]",0.507286636273668,"[0.47239630452866216, 0.5373369261133603]",1.0,"[1.0, 1.0]"
gated_residual_cnn,ml_nn,7,249,35.57142857142857,"[14.775, 60.51071428571428]",0.6937774312774313,"[0.5838199188199189, 0.8098488598488599]",-0.004204204204204198,"[-0.01737451737451734, 0.004761904761904745]",19.39065657480823,"[13.661983002641229, 26.356395599693176]",0.01565332679642165,"[0.0004953643612875932, 0.03797239353015135]",57.84796791278111,"[44.12135493148288, 68.07299873848063]",0.07997076270746309,"[-0.1176469033879499, 0.2811343420911103]",0.21726685921297983,"[0.20126704259161482, 0.23508598534858222]",0.5158892756178673,"[0.4874648834287329, 0.5502078036716884]",1.0,"[1.0, 1.0]"
